392	Hmgxb4
393	Mmaa
394	Prmt9
395	Thap1
396	Lsm1
397	Psmd7
398	Gpi-ps
399	Zfp961
400	Ubxn8
401	Rps18-ps3
402	6820431F20Rik
403	Rpl19-ps11
404	Gm6483
405	Gm20778
406	Gm21092
407	Gm21182
408	4930467E23Rik
409	Gm21811
410	Gm26978
411	Gm43263
412	Gm21769
413	Gm20786
414	Gm45848
415	Gm7760
416	Gm21112
417	Gm7807
418	Gm40466
419	Gm20946
420	Pih1d2
421	Ift46
422	Fyco1
423	Exosc7
424	Mtmr2
425	Taf1d
426	Pts
427	Stt3a
428	Sltm
429	Irak1bp1
430	Phip
431	Fbxo22
432	Etfa
433	Rcn2
434	Snx1
435	Csnk1g1
436	Trip4
437	Tipin
438	Snapc5
439	2300009A05Rik
440	Atr
441	Snx14
442	Lrrfip2
443	Rbm6
444	Cdv3
445	Gtf2a2
446	Ccdc15
447	Cbl
448	Myo5a
449	Fam214a
450	Ibtk
451	Rab8b
452	Eef1a1
453	Fdxacb1
454	Zfp280d
455	Zbtb44
456	Ubl7
457	Cep70
458	Zfp426
459	Mif-ps6
460	Arih2
461	Mthfs
462	Gm10634
463	Bcl2a1b
464	Tex9
465	Gm20537
466	Gm37665
467	Gm47604
468	Rab5b
469	Cs
470	Cd164
471	Tube1
472	P4ha1
473	Uhrf1bp1l
474	Cdk17
475	Fgd6
476	Ndufa12
477	Herc4
478	Thap2
479	Rnf41
480	Cct2
481	Washc4
482	Nup37
483	Bbs10
484	Zdhhc17
485	Eea1
486	Pdss2
487	Rpf2
488	Gm9797
489	BC048403
490	Slc25a3
491	Rps12
492	Krr1
493	Gm10275
494	AU041133
495	Gm4302
496	Gm4312
497	Gm4307
498	Zfp433
499	Gm8290
500	Gm8689
501	Gm4310
502	Gm32687
503	Gm31793
504	Gm47612
505	Gm4305
506	Gm4303
507	Usp32
508	Heatr6
509	0610009B22Rik
510	H3f3b
511	Vps53
512	Taok1
513	Ndel1
514	Cops3
515	Pus10
516	Sptbn1
517	Limk2
518	Tubd1
519	Ggnbp2
520	Ddx52
521	Taf15
522	Tlk2
523	Lig3
524	Polg2
525	Ankfy1
526	Sfi1
527	Ccdc88a
528	Morc2a
529	Gpatch8
530	Synrg
531	Fam222b
532	Nufip2
533	Ssh2
534	Fam117a
535	Psme4
536	Ehbp1
537	Cltc
538	Akap10
539	Aff4
540	Zzef1
541	Npm1
542	5730455P16Rik
543	Rpl27
544	Strada
