Beerman_Combined Old to Young 				
Feature	Gene	FC	Feature P	FDR (BH)
1425421_at	LOC100134980	-2.96	6E-04	2E-02
1415788_at	Ublcp1	-2.42	5E-05	8E-03
1423154_at	BC005537	-2.71	5E-05	8E-03
1439108_at	Mll5	-4.49	1E-04	1E-02
1423491_at	Fbxo3	-2.5	1E-03	2E-02
1424029_at	Tspyl4	-2.24	7E-04	2E-02
1434142_at	LOC100045551 /// Ppm1d	-3.03	1E-04	1E-02
1424616_s_at	Pgap2	-2.49	2E-04	1E-02
1453271_at	Phf14	-2.95	3E-04	2E-02
1421733_a_at	Tpst1	-2.11	1E-04	1E-02
1433554_at	AU022870	-2.83	4E-04	2E-02
1435689_at	2210404J11Rik	-2.22	2E-04	1E-02
1434856_at	Ankrd44	-2.28	3E-04	2E-02
1426578_s_at	Snapin	-5.4	6E-04	2E-02
1454727_at	Afap1l1	-2.64	2E-04	1E-02
1438673_at	Slc4a7	-2.86	1E-04	1E-02
1418929_at	Ift57	-2.65	6E-05	9E-03
1452319_at	Zfp82	-2.3	1E-04	1E-02
1447526_at	D5Ertd255e	-2.49	9E-05	1E-02
1438562_a_at	Ptpn2	-3.18	2E-04	1E-02
1434752_at	LOC100044751 /// Zfp207	-7.31	7E-05	1E-02
1450853_at	Tle4	-2.63	8E-05	1E-02
1456097_a_at	Itgb3bp	-3.37	1E-03	2E-02
1436684_a_at	Riok2	-3.84	7E-05	1E-02
1434073_at	Gprasp2	-2.26	6E-04	2E-02
1436196_at	C030046G05	-4.79	7E-04	2E-02
1426900_at	Jmjd1c	-2.97	6E-04	2E-02
1436226_at	Tceb1	-2.38	1E-04	1E-02
1424274_at	Uso1	-2.84	9E-04	2E-02
1438166_x_at	Ndufs4	-2.66	1E-04	1E-02
1446670_at	---	-3.91	6E-04	2E-02
1448938_at	Rpa3	-3.42	2E-04	1E-02
1449052_a_at	Dnmt3b	-3.13	1E-04	1E-02
1441823_at	Zmiz1	-4.46	1E-04	1E-02
1455611_at	Pias1	-3.37	1E-04	1E-02
1436994_a_at	Hist1h1c	-3.79	1E-03	2E-02
1448283_a_at	Uba2	-2.4	1E-04	1E-02
1435952_at	Tsc22d1///---	-2.92	1E-03	2E-02
1428124_at	Gtf2e1	-2.18	2E-04	1E-02
1426810_at	Kdm3a	-2.12	2E-04	1E-02
1453078_at	2610002M06Rik	-2.86	3E-04	2E-02
1433266_at	2810416A17Rik	-6.67	2E-04	1E-02
1458099_at	---	-4.91	2E-04	1E-02
1421664_a_at	Styx	-2.27	1E-04	1E-02
1440007_at	D930003E18Rik	-3.47	3E-04	1E-02
1448600_s_at	Vav3	-2.06	1E-04	1E-02
1424610_at	Trub2	-3.12	9E-04	2E-02
1441545_at	Zcchc11	-4.14	9E-04	2E-02
1450744_at	Ell2	-3.71	2E-04	1E-02
1438238_at	2010315B03Rik	-3.71	8E-04	2E-02
1424230_at	Exoc6	-3.2	4E-04	2E-02
1428657_at	Rreb1	-2.23	1E-04	1E-02
1415714_a_at	Snrnp27	-2.41	4E-04	2E-02
1417810_a_at	Kcnb1 /// Pacsin2	-2.85	7E-04	2E-02
1428282_at	Tbce	-3.49	1E-04	1E-02
1434014_at	Atg4c	-4.21	2E-04	1E-02
1438171_x_at	Mettl9	-3.79	2E-04	1E-02
1442003_at	Diap2	-2.88	1E-04	1E-02
1442245_at	Carm1///---	-4.81	1E-03	2E-02
1441635_at	Nr6a1///---	-3.84	2E-04	1E-02
1448762_at	Rad17	-3.2	1E-04	1E-02
1450954_at	Yme1l1	-4.18	5E-04	2E-02
1421855_at	Fgl2	-4.17	1E-04	1E-02
1453175_at	Zbtb25	-2.92	2E-04	1E-02
1447923_at	1810026B05Rik	-2.53	2E-04	1E-02
1416731_at	Top2b	-2.15	5E-04	2E-02
1450423_s_at	Rpf2	-2.57	1E-04	1E-02
1435343_at	Dock10	-2.58	9E-04	2E-02
1437461_s_at	Rnpc3	-5.37	2E-04	1E-02
1444100_at	---	-2.49	6E-04	2E-02
1426612_at	Tipin	-2.94	9E-04	2E-02
1458802_at	Hivep3	-2.4	1E-04	1E-02
1423608_at	Itm2a	-3.05	4E-04	2E-02
1453108_at	Arsk	-2.54	8E-04	2E-02
1433647_s_at	Rhobtb3	-2.06	2E-04	1E-02
1449069_at	Zfp148	-2.92	4E-04	2E-02
1428025_s_at	Pitpnc1	-3.8	6E-04	2E-02
1456494_a_at	AI451617 /// Trim30	-3.38	4E-04	2E-02
1419637_s_at	4833420G17Rik	-2.7	2E-04	1E-02
1456585_x_at	E130309D02Rik	-2.64	2E-04	1E-02
1434174_at	Lysmd3	-2.77	3E-04	1E-02
1439107_a_at	Mll5	-3.58	5E-04	2E-02
1448760_at	Zfp68	-4.27	1E-03	2E-02
1429396_at	Atg16l2	-2.32	8E-04	2E-02
1455337_at	Fgd4	-3.62	2E-04	1E-02
1439722_at	---	-4.32	9E-04	2E-02
1436390_a_at	Clcc1	-3.23	8E-04	2E-02
1448317_at	Tmem128	-2.13	2E-04	1E-02
1434940_x_at	Rgs19	-4.17	7E-04	2E-02
1438229_at	Pggt1b	-2.14	3E-04	1E-02
1457677_at	C920016K16Rik	-2.19	2E-04	1E-02
1421074_at	Cyp7b1	-2.12	8E-04	2E-02
1449738_s_at	Fam48a	-3.09	3E-04	1E-02
1453976_at	4432414F05Rik	-3.28	1E-03	2E-02
1451137_a_at	Brd8	-2.42	6E-04	2E-02
1455860_at	Pigh	-3.57	6E-04	2E-02
1437480_at	Fam33a	-2.43	6E-04	2E-02
1435953_at	Btaf1	-3.37	4E-04	2E-02
1417250_at	Rlim	-2.07	5E-04	2E-02
1428441_at	Cisd2	-3.12	3E-04	1E-02
1460361_at	5033414D02Rik	-2.66	6E-04	2E-02
1429270_a_at	Syce2	-3.78	2E-04	1E-02
1439422_a_at	Fam132a	-2.27	4E-04	2E-02
1434884_at	Mtdh	-2.41	2E-04	1E-02
1452960_at	Scyl3	-3.46	2E-04	1E-02
1455817_x_at	Zxdb	-3.97	6E-04	2E-02
1456615_a_at	Bptf	-2.29	8E-04	2E-02
1456700_x_at	Marcks	-2.41	2E-04	1E-02
1440295_at	1110057K04Rik	-4.81	7E-04	2E-02
1436981_a_at	Ywhaz	-5.33	3E-04	2E-02
1434245_a_at	Cybasc3	-2.61	7E-04	2E-02
1441248_at	Clcn3///---	-3.49	3E-04	2E-02
1434860_at	Dpy19l4	-3.6	5E-04	2E-02
1424398_at	Dhx36	-3.12	2E-04	1E-02
1423666_s_at	Gm15500 /// Gm15616 /// Gm7424 /// LOC632230 /// LOC675821 /// Rpl5	-2.12	4E-04	2E-02
1452854_at	Sec63	-2.61	8E-04	2E-02
1436804_s_at	Scyl1	-3.12	3E-04	1E-02
1428091_at	Klhl7	-2.02	3E-04	2E-02
1454664_a_at	Eif5	-2.94	6E-04	2E-02
1421402_at	Mta3	-2.71	8E-04	2E-02
1456355_s_at	Srrd	-3.31	7E-04	2E-02
1423373_at	Rpp30	-2.27	2E-04	1E-02
1455633_at	Zfp647	-4.32	2E-04	1E-02
1416115_at	Orc3l	-2.21	6E-04	2E-02
1416422_a_at	Ssb	-2.5	8E-04	2E-02
1441038_at	Utrn///---	-2.65	4E-04	2E-02
1426525_at	Arid2	-2.01	3E-04	1E-02
1438982_s_at	Flywch2	-5.3	7E-04	2E-02
1419506_at	Ggps1	-4.03	9E-04	2E-02
1434836_at	Nfatc2ip	-2.63	9E-04	2E-02
1449546_a_at	Zfp617	-3.93	7E-04	2E-02
1440373_at	---	-2.81	7E-04	2E-02
1458974_at	---	-3	4E-04	2E-02
1453139_at	Nudt12	-3.53	3E-04	2E-02
1436528_at	Kazald1	-3.09	5E-04	2E-02
1418381_at	Zfp148	-2.89	4E-04	2E-02
1418884_x_at	Tuba1a	-2.02	4E-04	2E-02
1430636_at	Ppp4r1l	-3.26	5E-04	2E-02
1446953_at	---	-3.34	4E-04	2E-02
1435959_at	Arhgap15	-2.9	4E-04	2E-02
1441100_at	Mbtd1	-3.85	6E-04	2E-02
1448210_at	Rab1	-2.62	3E-04	2E-02
1430047_at	Ankrd32	-3.08	6E-04	2E-02
1417842_at	Caml	-2.37	7E-04	2E-02
1415971_at	Marcks	-2.74	3E-04	2E-02
1442465_s_at	Strbp	-2.15	3E-04	2E-02
1429715_at	Ppp2r2a	-2.22	4E-04	2E-02
1423391_at	Git2	-2.83	4E-04	2E-02
1434045_at	Cdkn1b	-3.24	3E-04	2E-02
1436879_x_at	Afp	-5.46	6E-04	2E-02
1428502_at	Actr6	-2.13	4E-04	2E-02
1452056_s_at	Ppp3ca	-2.66	7E-04	2E-02
1420609_at	March7	-2.96	5E-04	2E-02
1454898_s_at	Iah1	-2.62	5E-04	2E-02
1434687_at	C730026J16	-2.91	3E-04	2E-02
1435543_at	Apc	-2.15	4E-04	2E-02
1446127_at	Zeb1	-2.42	4E-04	2E-02
1418443_at	Xpo1	-2.02	4E-04	2E-02
1438161_s_at	Rfc4	-6.32	6E-04	2E-02
1419562_at	Birc6	-4.09	4E-04	2E-02
1434486_x_at	Ugp2	-2	4E-04	2E-02
1435602_at	---	-5.87	4E-04	2E-02
1437181_at	Peli2	-2.42	4E-04	2E-02
1438727_at	Dcaf10	-2.34	8E-04	2E-02
1419584_at	Ttc28	-3.62	5E-04	2E-02
1438418_at	Mudeng	-2.23	4E-04	2E-02
1419397_at	Pola1	-2.5	6E-04	2E-02
1436893_a_at	March7	-3.01	9E-04	2E-02
1436519_a_at	1110057K04Rik	-2.89	6E-04	2E-02
1434380_at	Gbp6	-2.08	4E-04	2E-02
1452225_at	2010106G01Rik	-2.32	8E-04	2E-02
1435222_at	Foxp1	-3.42	8E-04	2E-02
1428586_at	Tmem41b	-2.83	4E-04	2E-02
1418840_at	Pdcd4	-2.3	6E-04	2E-02
1429446_at	Sdccag1	-2.23	6E-04	2E-02
1451645_at	Fbrs	-3.1	4E-04	2E-02
1435483_x_at	Slc25a32	-3.53	4E-04	2E-02
1431777_a_at	Hmgn3	-4.08	5E-04	2E-02
1454708_at	Ablim1	-2.58	5E-04	2E-02
1441254_at	Pard3b	-2.4	7E-04	2E-02
1438714_at	---	-3.91	5E-04	2E-02
1456143_at	Zmynd8	-2.23	4E-04	2E-02
1448419_at	Pop4	-2.53	8E-04	2E-02
1458661_at	---	-2.99	4E-04	2E-02
1439643_at	---	-2.63	7E-04	2E-02
1433659_at	Tubgcp4	-3.35	6E-04	2E-02
1451602_at	Snx6	-4.14	9E-04	2E-02
1445263_at	---	-2.4	7E-04	2E-02
1418774_a_at	Atp7a	-2.45	5E-04	2E-02
1436506_a_at	Snhg6	-2.75	5E-04	2E-02
1428251_at	Smchd1	-2.04	7E-04	2E-02
1446234_at	---	-3.11	5E-04	2E-02
1429119_at	Iah1	-2.64	5E-04	2E-02
1422636_at	Dmtf1	-2.19	1E-03	2E-02
1445545_at	Dram2	-2.87	9E-04	2E-02
1425814_a_at	Calcrl	-2.25	6E-04	2E-02
1452123_s_at	Frmd4b	-2.16	7E-04	2E-02
1455124_at	Trim68	-2.01	9E-04	2E-02
1440992_at	3110052M02Rik	-2.52	9E-04	2E-02
1450904_at	Tmem167	-2.78	8E-04	2E-02
1429031_at	4833408D11Rik	-2.5	6E-04	2E-02
1450998_at	Zfp110	-2.13	8E-04	2E-02
1427284_a_at	Ttpa	-3.58	7E-04	2E-02
1427266_at	Pbrm1	-2.94	6E-04	2E-02
1418072_at	Hist1h2bc	-5.51	8E-04	2E-02
1434705_at	Ctbp2	-3.25	9E-04	2E-02
1424321_at	Rfc4	-4.96	8E-04	2E-02
1417893_at	Sfxn3	-2.1	9E-04	2E-02
1440742_at	---	-3.44	9E-04	2E-02
1439266_a_at	Polr3k	-2.55	7E-04	2E-02
1417037_at	Orc6l	-2.54	7E-04	2E-02
1437918_at	4930539E08Rik	-3.26	7E-04	2E-02
1416499_a_at	Dctn6	-2.8	8E-04	2E-02
1456423_at	Mbd5	-3.78	7E-04	2E-02
1428090_at	Ptcd3	-2.06	8E-04	2E-02
1417948_s_at	Ilf2	-2.25	7E-04	2E-02
1418408_at	Zfand1	-2.07	8E-04	2E-02
1441062_at	Ddx11	-2.2	8E-04	2E-02
1424139_at	Rap1a	-2.03	9E-04	2E-02
1438336_at	Fbxw11	-4.41	8E-04	2E-02
1453040_at	Mcart6	-3.39	9E-04	2E-02
1441765_at	---	-3.08	9E-04	2E-02
1439224_at	---	-2.51	9E-04	2E-02
1434299_x_at	Ift27	-2.7	8E-04	2E-02
1443862_at	Mbtd1	-4.39	8E-04	2E-02
1438975_x_at	Zdhhc14	-2.42	8E-04	2E-02
1417530_a_at	Srp9	-2.1	8E-04	2E-02
1447156_at	---	-3.69	9E-04	2E-02
1455570_x_at	Cnn3 /// LOC100047856	-2.65	9E-04	2E-02
1417019_a_at	Cdc6	-2.45	9E-04	2E-02
1456071_a_at	Cycs /// Gm10053	-3.04	1E-03	2E-02
1458084_at	Zdhhc17	-2.09	1E-03	2E-02
1433440_x_at	Uba2	-2.26	1E-03	2E-02
1417771_a_at	Psmc6	-2.19	1E-03	2E-02
1426628_at	Tmem184c	-2.33	1E-03	2E-02
1434056_a_at	Ndufb6	-2.38	1E-03	2E-02
