reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1445723_at	Plcl1	1.5005555802	5.8694742186866e-05	0.0137874561
1438868_at	Phf11d	1.2016643764	5.95806966368618e-05	0.0139230518
1417178_at	Gipc2	2.0427969883	6.15821458943641e-05	0.0142807144
1451660_a_at	Hoxb6	1.6061646861	6.17445135777078e-05	0.0142807144
1450781_at	Hmga2	-1.4920503641	6.21682121771102e-05	0.0143053497
1439018_at	Fhdc1	1.6921345921	6.61877090837489e-05	0.0151529536
1445980_at		1.2997901214	6.68731949353787e-05	0.0152325655
1425792_a_at	Rorc	1.4008780843	6.83573561540014e-05	0.0154575278
1419905_s_at	Hpgd	-1.482416382	6.85462752453192e-05	0.0154575278
1448529_at	Thbd	1.2543653208	6.94933998678275e-05	0.0155489315
1436171_at	Arhgap30	-1.005211433	6.96411202871459e-05	0.0155489315
1434465_x_at	Vldlr	1.1065991445	7.17351735130506e-05	0.0159327103
1444009_at	Rassf4	-0.9723319119	7.20665373129168e-05	0.0159327103
1454906_at	Rarb	2.1565918177	7.26403503534321e-05	0.0159812314
1450743_s_at	Syncrip	-1.2034121225	7.5942633987478e-05	0.0166266443
1450780_s_at	Hmga2	-1.1783033222	7.67267172115267e-05	0.0167171578
1422868_s_at	Gda	1.7139956718	7.71492088529587e-05	0.0167283965
1448852_at	Rgn	2.0386766568	7.82387123384323e-05	0.0168319438
1456532_at	Pdgfd	1.0635093825	7.83731669814292e-05	0.0168319438
1422851_at	Hmga2	-1.29792457	7.94506401892448e-05	0.0169824802
1453220_at	Nxpe2	1.7337330232	8.35224242778593e-05	0.0177686078
1426246_at	Pros1	1.2555830555	8.45034670447724e-05	0.0177918174
1456789_at	Zfp462	1.1396366072	8.4609075703544e-05	0.0177918174
1416996_at	Tbc1d8	1.1175102482	8.48149872177446e-05	0.0177918174
1420444_at	Slc22a3	-0.9260576082	8.52813783170883e-05	0.0178068308
1418892_at	Rhoj	1.0382173	8.62937254514433e-05	0.0179351766
1438855_x_at	Tnfaip2	0.931832029	8.7079329602159e-05	0.0180154351
1417552_at	Fap	2.815496319	8.8198288792652e-05	0.018145788
1439045_x_at	Tc2n	2.1996846575	8.85140762105377e-05	0.018145788
1450389_s_at	Pip5k1b	0.9000488818	8.9067810884206e-05	0.0181766848
1456606_a_at	Phactr1///Chst11	1.1829563041	9.06699772975398e-05	0.0184203002
1419062_at	Epb41l3	-1.0229103743	9.44609849483488e-05	0.0189850109
1450932_s_at	Dock9	1.2392197745	9.47540606557506e-05	0.0189850109
1429097_at	Rnf150	1.1990764669	9.53364054263202e-05	0.0189850109
1455892_x_at		-1.0927196576	9.56345680879305e-05	0.0189850109
1422679_s_at	Ctr9	-0.8276180902	9.56856861680817e-05	0.0189850109
1427797_s_at	Ctse	-1.039712473	9.59753107736309e-05	0.0189850109
1455257_at	Itgb3	1.5307195645	9.84433205554057e-05	0.0192765568
1452196_a_at	Nckap1	0.9675705769	9.84455406775587e-05	0.0192765568
1460677_at	Spats2	0.8905911061	9.91517396621559e-05	0.0192765568
1449195_s_at	Cxcl16	1.3358705548	9.95438947097459e-05	0.0192765568
1443926_at		1.5542101553	9.95862118593817e-05	0.0192765568
1442845_at	C130075A20Rik	0.9554915444	0.0001020644	0.0196050741
1417216_at	Pim2	0.9889979296	0.0001021528	0.0196050741
1444028_s_at	Dock9	1.2952877269	0.0001031299	0.0197087333
1446799_at		1.7629428983	0.0001050031	0.0199820542
1421193_a_at	Pbx3	1.0543732418	0.0001058404	0.0200567539
1449297_at	Casp12	1.132005603	0.0001072061	0.0201649168
1423428_at	Ror2	1.7122202921	0.0001073054	0.0201649168
1419759_at	Abcb1a	1.4107646623	0.0001096305	0.0205163655
1437103_at	Igf2bp2	-1.0257506808	0.0001138865	0.0212247747
1426968_a_at	Rdh10	0.9839378666	0.0001145845	0.0212669859
1442537_at		1.3326802197	0.0001151891	0.0212675696
1454901_at	Ypel2	0.839934334	0.0001155308	0.0212675696
1419573_a_at	Lgals1	-1.3560922359	0.0001165329	0.0213648343
1460632_at	Rdh10	1.0523786629	0.0001185157	0.0216006853
1429246_a_at	Anxa6	-0.9789671536	0.0001190411	0.0216006853
1443852_at		1.789842193	0.0001196664	0.0216006853
1434969_at	Celf5	1.2968649499	0.0001197351	0.0216006853
1439272_at	Lcorl	-0.8223637131	0.0001210959	0.0216814854
1451013_at	Slc29a3	-0.9348491201	0.0001211444	0.0216814854
1429185_at	Arhgef26	1.2321447674	0.0001216281	0.0216820117
1434891_at	Ptgfrn	1.8056778529	0.0001302073	0.0231199965
1448876_at	Evc	0.9770756079	0.0001312748	0.0232181277
1439764_s_at	Igf2bp2	-1.3420860648	0.0001331412	0.0234144642
1449232_at	Gata1	-1.1555491245	0.0001334231	0.0234144642
1455653_at	Ccnj	0.8059652118	0.000135405	0.0236701645
1455234_at	B3galt1	2.5581248791	0.0001397741	0.0243222843
1428614_at	Ldhd	0.8515849652	0.0001402141	0.0243222843
1430135_at	Gm38426///Dnase2a	0.8755820488	0.0001438293	0.0248538214
1418261_at	Syk	-0.8547767021	0.0001444631	0.0248680601
1415818_at	Anxa6	-1.1338153503	0.0001473147	0.0252275791
1436387_at	C330006P03Rik///Homer1	0.918439195	0.0001476704	0.0252275791
1443172_at	Orc1	-1.0395317647	0.000149232	0.0253981531
1422769_at	Syncrip	-1.1234201767	0.0001504009	0.0255008652
1416579_a_at	Epcam	1.318538054	0.0001510674	0.0255179437
1457140_s_at	Rassf10	1.9198677306	0.0001533504	0.025806933
1458318_at	3110047M12Rik	2.4392565897	0.0001564173	0.0261532523
1426880_at	Etl4	1.139826756	0.0001566086	0.0261532523
1460187_at	Sfrp1	1.1932652137	0.000157148	0.0261532523
1418773_at	Fads3	1.081581316	0.0001589892	0.0263623951
1441317_x_at	Jakmip1	-1.6405794183	0.000161611	0.0266989741
1441280_at	Kcnk12	-1.292699064	0.0001632151	0.0268655627
1455340_at	Dennd5b	1.4927344578	0.0001656176	0.0271618849
1450138_a_at	Serpinb6a	1.0537088067	0.0001667371	0.0272464088
