reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1418501_a_at	Oxr1	1.3921097125	1.71457837738389e-05	0.0060889133
1449740_s_at	Dsg2	2.1767160087	1.73018153457566e-05	0.0060963217
1447693_s_at	Neo1	2.1909954301	1.78320499097915e-05	0.0062344441
1448794_s_at	Dnajc2	-1.1265955766	1.85368470838142e-05	0.0064310026
1451006_at	Xdh	1.9007551649	1.8788851940967e-05	0.0064686718
1421457_a_at	Samsn1	1.0332801813	1.91167570519284e-05	0.0065317035
1418911_s_at	Acsl4	1.0929495193	2.012198074157e-05	0.0068234696
1418872_at	Abcb1b	1.252703384	2.15640323794111e-05	0.0072579062
1428738_a_at	Tmem254b///Tmem254c///Tmem254a	1.3149189915	2.19265856835869e-05	0.0073252662
1421834_at	Pip5k1b	1.0334772825	2.20909077582019e-05	0.0073258973
1449708_s_at	Chek1	-1.2513541321	2.32210371025378e-05	0.0076444671
1457123_at	Nrg4	1.902468061	2.3472540977272e-05	0.0076712686
1454609_x_at	Irf2bpl	1.6702322421	2.39011982144913e-05	0.007755165
1416411_at	Gstm2	2.5345589875	2.45544715329729e-05	0.007910223
1447869_x_at	Rhobtb3	-1.512598447	2.53846720493471e-05	0.008062558
1436966_at	Peli2	-1.4223354056	2.55242735247755e-05	0.008062558
1436624_at	Dnm3	2.0186626881	2.55636414099065e-05	0.008062558
1418465_at	Ncf4	-1.6098490704	2.58700170511136e-05	0.0080813338
1431146_a_at	Cpne8	1.7941145718	2.59815392252479e-05	0.0080813338
1449297_at	Casp12	1.0327150692	2.6632980047025e-05	0.0082272194
1422679_s_at	Ctr9	-0.8979733641	2.69036804771263e-05	0.0082543054
1453065_at	Aldh5a1	1.2087309508	2.73387451778162e-05	0.0082770036
1443541_at	Gm5148	1.6575475495	2.75787342298162e-05	0.0082770036
1450380_at	Epdr1	1.3553712717	2.76151954650224e-05	0.0082770036
1448390_a_at	Dhrs3	2.3037493594	2.77117479283562e-05	0.0082770036
1434035_at	Dnajb6	1.1829770123	2.86129194918086e-05	0.0084038027
1455869_at		-3.7586381271	2.86513262224023e-05	0.0084038027
1459903_at	Sema7a	1.0927425259	2.86952752789084e-05	0.0084038027
1427318_s_at	Myof	1.412520382	2.89826699871761e-05	0.0084327009
1457424_at	Eya1	1.0412319465	2.93102267028133e-05	0.0084327009
1422573_at	Ampd3	1.3211588964	2.95630627820995e-05	0.0084327009
1434137_x_at	Zg16	3.2769370769	2.96062117662313e-05	0.0084327009
1421182_at	Clec1b	1.4181645611	2.97288186149887e-05	0.0084327009
1435085_at	Crebl2	1.0605823939	3.11600237806223e-05	0.0087834265
1428579_at	Fmnl2	0.9224627348	3.14682078922161e-05	0.008801713
1419392_at	Pclo	2.2436324305	3.16152083782021e-05	0.008801713
1425494_s_at	Bmpr1a	2.4452362691	3.19179861083806e-05	0.0088314914
1420565_at	Hoxa1	1.1401636883	3.22178909578615e-05	0.0088601165
1424208_at	Ptger4	1.1379721913	3.30849065367014e-05	0.0089402525
1428682_at	Zc3h6	1.5562671491	3.31422523160245e-05	0.0089402525
1452730_at	Rps4l	-1.7323973961	3.31789138893653e-05	0.0089402525
1421642_a_at	Cysltr2	1.716098835	3.33367078119452e-05	0.0089402525
1452280_at	Farp1	1.5634302141	3.3552689157083e-05	0.0089402525
1436876_at	Rgs7bp	-1.6587845865	3.36986524014295e-05	0.0089402525
1420404_at	Cd86	-1.5965210149	3.4125451619829e-05	0.0089629078
1429447_at	Evc2	1.2159498613	3.41815069445664e-05	0.0089629078
1433741_at	Cd38	2.7694661174	3.53565498586246e-05	0.0092174321
1448749_at	Plek	2.0329205419	3.60526310436485e-05	0.0093448834
1435176_a_at	Id2	1.5837421558	3.64296432445426e-05	0.0093886477
1453760_at	Mier1	0.8152694595	3.69030567522671e-05	0.009456618
1447602_x_at	Sulf2	0.9726815925	3.72419983988477e-05	0.0094895558
1415945_at	Mcm5	-1.0255513016	3.8229716944997e-05	0.0096852313
1420514_at	Tmem47	1.7523951841	3.85345798979937e-05	0.0096852313
1419669_at	Prtn3	1.3080026208	3.8654168161184e-05	0.0096852313
1455257_at	Itgb3	1.6329878179	3.91634572934041e-05	0.0097586248
1452191_at	Prcp	1.1819939142	4.07121341918498e-05	0.0100105303
1417644_at	Sspn	2.8172231103	4.10205991753376e-05	0.0100105303
1453851_a_at	Gadd45g	2.6754834764	4.11521336799176e-05	0.0100105303
1456226_x_at	Ddr1	2.570384679	4.11864839799166e-05	0.0100105303
1420959_at	Asph	1.0646108198	4.12959631049174e-05	0.0100105303
1438321_x_at	Fam63a	1.0128166992	4.1506156351611e-05	0.0100105303
1422556_at	Gna13	-1.4006043483	4.20626220601827e-05	0.0100907783
1450068_at	Baz1b	-2.3716529666	4.35425485547939e-05	0.0103905422
1438310_at	Dgkh	0.9222351801	4.40634035193812e-05	0.0104594924
1428942_at	Mt2	2.2115480237	4.46429620184848e-05	0.0105415824
1455772_at	Pgr	1.5048442237	4.49559334994944e-05	0.0105601956
1435342_at	Kcnk6	1.2667144516	4.63614067332844e-05	0.0108339161
1422445_at	Itga6	1.1751800275	4.72893730957325e-05	0.0109599629
