Genes	direction
D4Wsu114e	-1
Sars1	-1
Isyna1	-1
Brpf1	-1
1110025L05Rik	-1
1110069M14Rik	-1
8430432M10Rik	-1
Gli	-1
AW212394	-1
Rps14	-1
Tacc3	-1
Gpld1	-1
BI651113	-1
Rabac1	-1
Mbtps1	-1
Cox7c	-1
2810403L02Rik	-1
Cyc1	-1
1110005F07Rik	-1
B4galt3	-1
Supt5h	-1
NA	-1
2400004H09Rik	-1
Nkx2-3	-1
Man2c1	-1
Timm9	-1
1110007C09Rik	-1
Fkbp2	-1
Phgdh	-1
2610510H01Rik	-1
Mrpl44	-1
Il17re	-1
3100002L24Rik	-1
Slc16a6	-1
Tsta3	-1
Gfi1	-1
2210018M11Rik	-1
2610317D23Rik	-1
BC006909	-1
2700043M03Rik	-1
BC032204	-1
Scand1	-1
1810073G14Rik	-1
1110021E09Rik	-1
D130050K19Rik	-1
Tpcn1	-1
Dtymk	-1
Psmb6	-1
Rfxank	-1
1190005P08Rik	-1
0610008F14Rik	-1
D10Bur2e	-1
2610524G07Rik	-1
Rpl18	-1
Copg2as2	-1
Ptpn18	-1
Uba52	-1
Araf	-1
2310016M24Rik	-1
Smarcb1	-1
Myo9b	-1
na	-1
D19Ertd144e	-1
D1Ertd161e	-1
Pitx2	-1
Fdxr	-1
Nola2	-1
Ofd1	-1
0610025L06Rik	-1
Cherp	-1
Dazap1	-1
D11Wsu99e	-1
Ccm2	-1
Hdac5	-1
Vrk2	-1
Scyl1	-1
2410006N06Rik	-1
2410014A08Rik	-1
Inhba	-1
Rpl37a	-1
Zfp288	-1
Dnpep	-1
Tacc3	-1
2310047I15Rik	-1
Akap8l	-1
AI194308	-1
Gig1	-1
Gpx2	-1
Coro1a	-1
Pmm1	-1
2410012H22Rik	-1
G630055P03Rik	-1
2900092E17Rik	-1
0610043B10Rik	-1
2610002J02Rik	-1
Bnip1	-1
1110060O18Rik	-1
6330505F04Rik	-1
Ppp5c	-1
BC027663	-1
2610524G07Rik	-1
NA	-1
Ndufs8	-1
Rhbdf1	-1
1810042K04Rik	-1
Spna2	-1
BC027414	-1
Fbxw2	-1
Tcirg1	-1
E130307C13	-1
Ict1	-1
Gnb2	-1
1700040I03Rik	-1
Kcnab2	-1
Dhx16	-1
Gcnt2	-1
Fech	-1
Rad52	-1
Tnpo3	-1
BC008155	-1
Hoxa5	-1
Cd2bp2	-1
1200014P03Rik	-1
Sipa1	-1
Stk11	-1
Son	-1
Mrpl28	-1
Pold3	-1
Commd4	-1
Polr2i	-1
BC032204	-1
Frda	-1
Hagh	-1
9430010O03Rik	-1
1500026D16Rik	-1
B3Gat3	-1
2310032N20Rik	-1
Ece1	-1
D11Ertd99e	-1
Tarbp2	-1
Ddx27	-1
1700023M09Rik	-1
D130023A07Rik	-1
Tceb3bp1	-1
Aqr	-1
Serf2	-1
Relb	-1
9430093H08Rik	-1
AW488620	-1
Grcc10	-1
9530058B02Rik	-1
Rufy1	-1
1110003H18Rik	-1
Skiip	-1
Glb1	-1
2410006F12Rik	-1
AI450757	-1
Hcngp	-1
Hook2	-1
Siva	-1
D10Bur2e	-1
Bzrp	-1
BG066235	-1
Rpl41	-1
na	-1
Jak3	-1
Itgb5	-1
Cox5b	-1
9130404D14Rik	-1
Mrps11	-1
Ppp2ca	-1
A730011O11Rik	-1
1110021H02Rik	-1
1110060O18Rik	-1
Zfp7	-1
Mrpl33	-1
Cox4i1	-1
Vps11	-1
Dvl1	-1
A830037N07Rik	-1
Myst2	-1
1110013E13Rik	-1
Rasgrp2	-1
Ncor2	-1
Vps28	-1
Ece1	-1
2010110M21Rik	-1
Gli	-1
Fstl1	-1
2510006D16Rik	-1
Dctn3	-1
Ddx54	-1
H2-Ke2	-1
Pgbpll	-1
Trim41	-1
BB323901	-1
A730011O11Rik	-1
Dtymk	-1
Tce4	-1
Nudt6	-1
Prodh	-1
Bmp1	-1
2410001C21Rik	-1
Fes	-1
2700079M14Rik	-1
na	-1
2310033P09Rik	-1
p47	-1
Sh3glb2	-1
Pex16	-1
6330406L22Rik	-1
1110030J09Rik	-1
1110025L05Rik	-1
na	-1
Nfix	-1
2210010N04Rik	-1
AF119384	-1
Sdc1	-1
Anxa6	-1
Ubc	-1
Zfp1	-1
Ngfrap1	-1
2610528H13Rik	-1
2810410M20Rik	-1
2610011A08Rik	-1
Ihpk1	-1
2900010M23Rik	-1
na	-1
Lrp1	-1
Man2c1	-1
Hba-a1	-1
AL033326	-1
Dctn1	-1
Dpm2	-1
Plekhh1	-1
BC037527	-1
Tcof1	-1
Rrbp1	-1
Tex9	-1
Grim19	-1
D10Wsu52e	-1
2610042O14Rik	-1
Ramp1	-1
Enc1	-1
2400004O09Rik	-1
Ptk9l	-1
Emp3	-1
na	-1
Pitpnm	-1
Cog1	-1
Zbtb9	-1
Csnk2a2	-1
Ddx24	-1
Serf2	-1
Ars2	-1
Adprhl2	-1
Thy28	-1
Ewsh	-1
C330027C09Rik	-1
Rpl36	-1
D13Ertd275e	-1
5730408K05Rik	-1
Vps11	-1
Ndufb2	-1
Lass4	-1
5730470L24Rik	-1
BC021438	-1
Wdfy2	-1
Ddx41	-1
2400010D15Rik	-1
0610008F14Rik	-1
Psmb5	-1
D630024B06Rik	-1
4930432F04Rik	-1
Hmgcl	-1
Rasa4	-1
Dmtf1	-1
1700012G19Rik	-1
AA798895	-1
Rpl35	-1
Atp6v1f	-1
Elac2	-1
Abca3	-1
2410015M20Rik	-1
Tm7sf2	-1
AA536749	-1
Rent1	-1
Ifi205	-1
1700007D05Rik	-1
Timm17b	-1
Cenpa	-1
Erbb2ip	-1
Mrps18a	-1
Ncor1	-1
Tm7sf1	-1
9130229H14Rik	-1
2700038C09Rik	-1
Slc40a1	-1
G630024C07Rik	-1
Perq1	-1
Lrrc8	-1
Atp5j2	-1
2810051F02Rik	-1
Ripk3	-1
Dhx30	-1
P5cr2	-1
Wdr4	-1
Stub1	-1
Tm4sf7	-1
ICRFP703B1614Q5.6	-1
Fxr2h	-1
Map4k4	-1
Gna11	-1
na	-1
9330160A12	-1
Ltb	-1
Rpl35	-1
Srp14	-1
Trpv2	-1
Tnfrsf13c	-1
Gcn5l2	-1
Gcnt2	-1
H2av	-1
Stoml2	-1
D11Wsu99e	-1
NA	-1
0610012G03Rik	-1
Gfm	-1
Tce4	-1
Pdhb	-1
AU020206	-1
1110015E22Rik	-1
Fdps	-1
1110067D22Rik	-1
1810073E21Rik	-1
1500001M02Rik	-1
C78541	-1
2310016E02Rik	-1
Eng	-1
Fcho1	-1
Ppp1ca	-1
Smyd5	-1
Casp6	-1
D330001F17Rik	-1
Ccm2	-1
Csad	-1
1110015K06Rik	-1
BC012312	-1
Prr3	-1
1300006N24Rik	-1
Upp1	-1
TOB3L	-1
Ard1	-1
Map2k2	-1
Mea1	-1
Mat2a	-1
Ntan1	-1
Mpg	-1
1300007F04Rik	-1
1500004O14Rik	-1
Rps27	-1
Ppp5c	-1
Cox6b	-1
Defcr6	-1
Mrpl28	-1
Cib1	-1
Hip1r	-1
Gpr105	-1
Lats2	-1
Rbbp6	-1
Cd97	-1
Pla2g6	-1
2810429O05Rik	-1
Tceb2	-1
1110020B03Rik	-1
Snrp116	-1
Hmg20a	-1
Srp14	-1
Arhgap4	-1
Grcb	-1
Smarcb1	-1
Pparbp	-1
Polr2k	-1
Ypel1	-1
Ndufs8	-1
Slc12a6	-1
Blm	-1
1110007L15Rik	-1
na	-1
Mrps15	-1
AF061179	-1
1600010O03Rik	-1
A230050P20Rik	-1
Sp4	-1
Dnpep	-1
Trim39	-1
C330027C09Rik	-1
Col1a2	-1
Hdgfrp2	-1
Dnahc8	-1
5530601I19Rik	-1
Nfix	-1
Pinx1	-1
Nola3	-1
BB559175	-1
Ercc3	-1
Irf3	-1
Rps13	-1
Flt3	-1
Gps1	-1
Mthfr	-1
Rnaseh1	-1
Mad2l2	-1
Ubadc1	-1
Fliih	-1
Thap7	-1
2310034L04Rik	-1
9430010O03Rik	-1
Narfl	-1
Abca3	-1
BG066596	-1
2610016F04Rik	-1
Nrf1	-1
Map2k2	-1
Elk4	-1
1110057H19Rik	-1
Rxrip110	-1
Synj2bp	-1
Mrpl49	-1
Mrps24	-1
Jag2	-1
Xab2	-1
1190002H23Rik	-1
Sap18	-1
Coxvib2	-1
Rps15a	-1
2610104C07Rik	-1
Mcrs1	-1
Pcp2	-1
AFFX-r2-Ec-bioC-5	-1
AI323624	-1
Ndufs8	-1
Zfp100	-1
B230208H17Rik	-1
Ndufa7	-1
BC023957	-1
Mrpl12	-1
Myh9	-1
Fyco1	-1
1110011K10Rik	-1
Vps41	-1
BG067065	-1
Atp5j2	-1
Cox5b	-1
C920005C14Rik	-1
Ndufa7	-1
Nfkbib	-1
BB447409	-1
Serf2	-1
1200011O22Rik	-1
Bace	-1
Klf13	-1
Nola3	-1
4921518A06Rik	-1
2810410A03Rik	-1
Rpl36	-1
Emilin1	-1
Mrps16	-1
1110061O04Rik	-1
1110017O22Rik	-1
1190002H23Rik	-1
Ndufb7	-1
1110069M14Rik	-1
Grasp	-1
Eif2b4	-1
Ptpn21	-1
Paxip1	-1
AI325941	-1
Sh2bp1	-1
A930019K20Rik	-1
Abca7	-1
Dnajd1	-1
H2-Oa	-1
Cog1	-1
Zfp2	-1
Cyba	-1
Kifap3	-1
2610524G07Rik	-1
1500001L15Rik	-1
Anxa9	-1
Mto1	-1
Scnm1	-1
Arvcf	-1
Vamp8	-1
Hist1h2ae	-1
Hist2h2aa1	-1
2810008P14Rik	-1
AW552001	-1
Mettl1	-1
Ube2j2	-1
AI118201	-1
Polr2j	-1
Gba	-1
1700021F05Rik	-1
6530402N02Rik	-1
Elovl1	-1
BB327213	-1
4930467B06Rik	-1
Il16	-1
Pms2	-1
Stard5	-1
Srebf1	-1
Hmga2	-1
5430413I02Ri	-1
Srrm1	-1
Ndufa7	-1
Brms1	-1
B3gnt1	-1
Skp2	-1
1110003H09Rik	-1
Xpo6	-1
Eif4ebp1	-1
Arid2	-1
Pitpnm	-1
Nsep1	-1
na	-1
2410005O16Rik	-1
AFFX-r2-Ec-bioB-5	-1
Nrk	-1
2410015N17Rik	-1
1110014P06Rik	-1
Gpsm2	-1
AFFX-18SRNAMur/X00686_5	-1
Fxc1	-1
Cxcl12	-1
D1Ertd161e	-1
Atp6v0a2	-1
Prx	-1
Rps15	-1
Ndufs5	-1
1500010J02Rik	-1
5830416A07Rik	-1
Cpsf2	-1
Lsm7	-1
Commd9	-1
Ppib	-1
4933435E07Rik	-1
MGC18837	-1
Mrps15	-1
Pik4ca	-1
D9Bwg0185e	-1
Apba3	-1
Mrpl44	-1
1110019J04Rik	-1
Bace	-1
Helz	-1
Kif23	-1
Kifc1	-1
Lamr1	-1
1110012M11Rik	-1
Gstt2	-1
Mta3	-1
na	-1
1300004C11Rik	-1
9530003A05	-1
AA111360	-1
BE945631	-1
425O18-1	-1
Lst1	-1
2700067D09Rik	-1
Rnpc2	-1
Hip1r	-1
Taf1a	-1
Wbp5	-1
B2m	-1
1190017O12Rik	-1
Purb	-1
AW494914	-1
1500040F11Rik	-1
2810437L13Rik	-1
5730436H21Rik	-1
Triobp	-1
Pin1	-1
Ptdss2	-1
BM246777	-1
9430059D04Rik	-1
Dnpep	-1
BC003993	-1
Doc2g	-1
0610011L14Rik	-1
Ndufa8	-1
Acvr2b	-1
6530403A03Rik	-1
Myo7a	-1
Mrpl22	-1
E030025C11Rik	-1
Grcc2f	-1
1110013L07Rik	-1
1200003M09Rik	-1
Rpl29	-1
Pfdn5	-1
2010209O12Rik	-1
Phb	-1
Tcf19	-1
Gcl	-1
U2af1l4	-1
Tirap	-1
Idh3g	-1
BC005613	-1
Ndufb10	-1
Za20d1	-1
Rpl18	-1
Mrp63	-1
S3-12	-1
BM225255	-1
2410004C24Rik	-1
Pabpn1	-1
Eif3s2	-1
Edf1	-1
AI256711	-1
Slc19a1	-1
Dtx2	-1
Csf2ra	-1
8430406I07Rik	-1
AW208927	-1
E330018D03Rik	-1
Rps15	-1
Wwox	-1
Tor1b	-1
D7Wsu180e	-1
Srp14	-1
Cox6a1	-1
Vps29	-1
1500032D16Rik	-1
Tmlhe	-1
Hmbs	-1
