Gene	direction
1700040I03Rik	-1
Copa	-1
Eif3i	-1
2310061C15Rik	-1
Mki67ip	-1
Mrpl54	-1
Exoc7	-1
Rps26	-1
Ndufa2	-1
Cbr4	-1
1110031I02Rik	-1
Gdap2	-1
Cpsf3	-1
Uqcrc2	-1
Sod2	-1
Polr2g	-1
Psma7	-1
Msh6	-1
Eif3m	-1
Wdr75	-1
Psmd12	-1
Acat3	-1
Sephs1	-1
Tmem107	-1
Aimp2	-1
Ppia	-1
Ndufa9	-1
Impdh2	-1
Snord116	-1
Ppie	-1
Mrpl20	-1
Gm6644	-1
Fabp5	-1
Hmgn2	-1
Angel2	-1
Prkab1	-1
Prmt5	-1
Txndc9	-1
Pars2	-1
Psenen	-1
Eif4a3	-1
Mrps31	-1
Ptpn2	-1
Brp44	-1
0610012G03Rik	-1
Psmb3	-1
Exosc7	-1
Eif2b1	-1
Ncbp1	-1
Dis3	-1
Prkaca	-1
D930014E17Rik	-1
Il12rb2	-1
Sf3b4	-1
Ppid	-1
Efcab7	-1
Nme3	-1
Lgals1	-1
Ctss	-1
Mcm7	-1
Plac8	-1
Mcm6	-1
Gmnn	-1
Mlec	-1
Dscc1	-1
Nup133	-1
Parvg	-1
Cks2	-1
Cd37	-1
Cd34	-1
Umps	-1
Ly9	-1
Mcm5	-1
Fen1	-1
Snrnp25	-1
Ptgr1	-1
Ahcy	-1
Sla	-1
Lig1	-1
Tipin	-1
Abcd1	-1
Dtl	-1
Ass1	-1
Prim1	-1
Fbxo5	-1
Snrpa1	-1
Ass1	-1
2810417H13Rik	-1
2700094K13Rik	-1
Gins1	-1
Tmsb10	-1
Yipf5	-1
Satb1	-1
Psmb5	-1
Ms4a6b	-1
Dhfr	-1
Srm	-1
Nasp	-1
Nucb2	-1
Syce2	-1
Sell	-1
Slbp	-1
Rrm1	-1
Sgk3	-1
Ipo5	-1
Eif3g	-1
Tmsb10	-1
2900010M23Rik	-1
Pole	-1
Itgam	-1
Cks1b	-1
Ndufs6	-1
Ttc7	-1
Anxa6	-1
Cenpk	-1
Zbed4	-1
Ern1	-1
Ezh2	-1
Sms	-1
Csf2rb	-1
Ppp1r14b	-1
Chek1	-1
Hist1h2af	-1
Mad2l1	-1
Arhgap30	-1
Taf1d	-1
Mrps14	-1
Slc35b1	-1
H2afy	-1
Dhrs7	-1
Mtbp	-1
Nudt4	-1
Ect2	-1
Spc25	-1
Psmc5	-1
Ndufb6	-1
Cdc25a	-1
