Genes,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Alcam,0,5.892824377,0,0,4.332540183,0,8.62199983,6.900320028,4.023360812,0,0,0,0,8.014251881,0,0,0,0,8.296726344,0,6.430838513,0,0,6.433322154,0,0,6.100523482,0,0,4.819634833,0,0,6.150449125,0,7.277912323,4.404965314,0,1.034677561,6.74281805,8.75551871,0,0,0,8.630465556,2.772975804,5.275907607,4.629532812,0,6.473669379,0,4.628938294,0,0,0,8.017135533,3.97214101,0,0,0,1.400538273,1.279810039,4.704491858,0,6.871991555,0,0,0,0,0,0,0.918370046,0,0,7.64498843,8.153042345,2.035864662,0,7.155745531,0,0,6.721422746,0,0,0,0,6.780467935,0,4.935194966,0,6.818945645,0,4.282470029,0,3.72894754,0,5.68645802,2.744389241,6.854105634,8.058782328,7.309122429,7.525445026,0,8.14622621,0,7.202683815,2.809255383,0,3.483710027,0,8.277472279,0,6.997617737,5.310826817,3.392926353,0,0,2.682727657,0,0,0,6.185286875,5.330647651,5.332032023,0,7.369009286,0,5.535419035,5.972745456,0,0,0,8.852139672,7.438489662,5.556245367,7.17963204,0,1.89533614,6.066850793,2.392389138,6.274710957,8.521895954,6.593782492,9.007016513,0,0.86214546,5.230055435,0,0,4.738241106,0,5.697962705,8.07898129,0,8.331783789,7.108401254,5.973617038,2.189997588,7.313346621,7.247352448,8.357215002,0,0,0,0,4.509485078,0
Muc13,7.708917881,0,1.432787706,5.862207549,0,6.855502199,0,7.777495348,6.734100857,7.532477637,1.084590364,0,0,7.398214594,0,0,6.299369656,6.377275671,0,0,0,0,0,0,5.388516383,0,0,0,0,0,0,0,1.013906807,5.180012632,0,1.127486221,6.567758815,8.143289773,7.924050608,0,8.800677191,0,1.463983005,0,1.072733474,0,3.770203738,1.052275231,9.07624245,4.646976861,0,8.95928995,5.895115325,0,0,6.791509093,7.361961911,0,0,0,2.971626885,1.071072831,1.258515789,7.777995826,4.825220886,0,1.751321773,0,0,0,0.918370046,0,0,8.784843003,8.186590921,7.702360677,0,7.98251157,0,0,0,0,6.459947628,8.167359069,0,9.988628726,0,6.058998,4.801324414,0,0,9.760117446,8.228520354,0.862797219,7.27941046,0.951345443,7.464621036,0,0,0,0,2.540955549,8.08330738,7.913825833,0,8.262923326,7.326165275,0,7.322117481,7.517529604,7.968612091,9.453120942,3.799412968,7.378926496,7.967759716,0,0,0,0,5.914258676,0,1.923557844,7.652443478,3.648264712,4.088953857,0,0,4.182733979,8.533473582,8.634810723,7.945639623,7.240063735,0,0,5.665541829,3.867598809,0,0,7.302538417,6.475279327,8.024940567,8.372681048,8.660738718,6.724027421,4.734776213,6.754211298,5.849832661,7.591384605,1.008042096,9.424104311,0.911976442,8.706257165,1.07005385,3.909928882,4.613106437,3.282548874,2.542508464,0,2.392552141,6.700746944,9.527092669,7.671281178,0,5.184188695,6.498672695,0
Pros1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.278339824,0,0,0,5.027947704,0,0,0,0,0,2.104871381,6.263741486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.249064897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.663469523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.427890113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23288307,0,0,0,0,0,0,0,0,0,0,0,1.734238958,8.597655732,0,0,0,1.575084695,0,0,0,0,0
Fhl1,0,0,0,0,0,2.136294748,0,0,0,4.312644435,0,0,0,0,0,0,0,8.07056343,0,0,7.343344776,0,0,0,0,0,0,0,0,0,0,0,4.521448076,6.450799732,4.835340283,0,5.137931944,5.954452965,0,0,0,0,0,0,0,0,0,8.879931644,0,0,1.132472263,0,0,6.580723208,0,0,6.050583532,0,6.566719707,5.724648149,0,0,0,1.851523002,4.280622753,7.894232833,0,0,4.693999846,0,7.475120154,5.294540243,2.397996637,0.937481171,0,6.663597389,0,3.232453478,0,0,2.279845591,0,2.825297225,6.82098896,6.364867805,4.279175126,0,0,7.130519635,0,0,0,0,0,5.702198506,0,0,0,0,7.679943676,7.009556435,0,6.530288791,6.776565521,8.91895879,0,0,3.299621178,6.92404141,0,0,0,0,0,0,0.974278875,6.092031492,5.448460381,0,0.989456534,0,7.97337305,0,0,8.347339723,0,7.173001197,7.43322628,0,1.001055204,6.137303042,0.932014926,0,0,7.476580956,0,0,4.238510814,0,0,0,6.374997177,0,0,7.328103541,0.976202458,0,0.971537905,0,0,0,2.376092039,5.910508734,0,0,0,3.284996382,0,0,7.625766429,6.672400986,0,5.915749895,0,0,0
Rfc2,6.689852797,0,0,4.810638245,0,0,0,0,0,6.173793134,0,0,0,0,0,0,0,0,0,0,0,3.650680269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.072733474,0,0,0,0,6.930323283,0,0,0,4.413313104,0,0,0,0,0,0,0,6.650776797,1.994700332,0,6.333716155,5.310835041,0,0,3.585286653,6.35523513,6.459285009,0,0,0,0,0,0,0.934388603,2.623310313,7.011703579,0,0,0,2.727615754,0,0,6.882356012,2.821225114,5.628157065,0,0,0,0,0,0,9.005023469,0,0,7.275466622,0,9.173857734,0,6.115568972,0,5.618851999,1.404627691,0,0,0,6.846120292,0,0,0,0,6.256623579,0,0,0,0,0.989456534,0,5.704594074,1.213945057,0,0,0,0,0,0,0,0,0.932014926,7.824247575,0,6.427078555,0,0,5.689873049,0,0,8.706373922,0,6.012389427,0,0,6.457296008,0,0,0,0,6.287911373,6.738570849,0,0,3.150801269,0,0,0,0,0,0,6.281181125,0,0,0,0
Tmem176a,0.754180128,0,4.599007366,0,0,2.136294748,0,8.219921679,7.036588624,5.380703354,0,0,6.831120101,1.040752499,0,0,0,9.897700207,0,0,0,9.285002274,0,8.930792082,7.478632509,0,8.795897555,0,8.539890213,0,9.227743838,8.930185091,5.501726774,9.163792327,0,8.873727777,7.534088605,0,8.384164285,9.369584875,0,0,7.755695602,0.980274548,0,8.833985724,3.907011472,5.308090986,0,5.01493028,9.0405188,8.732931678,8.620551425,8.601578418,10.38028447,7.503259582,9.365670045,7.645211653,1.001850742,9.803767911,6.811057002,0,6.742563788,7.859428519,0,5.668391083,6.278422883,9.147166698,2.413753756,8.600808783,6.508913579,1.170436106,8.217298561,6.307298746,10.71808413,0.876799185,9.209382155,7.142332109,8.315696947,4.106434753,8.440392861,0,3.974611315,6.832251469,0,0.959578595,0,8.781177806,0,0,8.359376578,0,0,8.936467062,8.210027134,10.01805409,6.22734387,7.174383977,7.393040681,8.869868204,0,0,5.711854585,1.031463387,0,0,0,7.045072865,8.456687027,0,8.367039622,4.729788875,0,0,4.649826343,0.974278875,0,6.289069597,8.668660851,5.796217572,9.561917213,8.080604379,7.514106925,0,8.420923162,0,7.619885652,0,8.519855804,8.730301725,8.075844089,4.431626121,2.303140617,7.73468439,7.458245639,7.55358951,6.881832382,8.111720709,7.040240344,9.076441025,9.231668075,7.467506681,7.806790459,8.968560961,8.095691533,8.106171176,8.588453926,8.650458711,8.851980253,0,0.911976442,0,5.250637171,3.188409674,8.080216157,4.562660873,6.241974617,8.403766957,5.754835397,8.422109552,9.115263091,1.598286455,2.169458062,1.842554249,8.437087638,0
Satb1,0,0,0,10.65668527,0,0,0,0,0,0,0,0,0,0,0,1.872487562,0,0,0,0,0,0,0,7.535142065,0,0,0,0,0,0,1.072541213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.075763242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971125084,0,0,0,0,0,6.27510679,0,0,0,3.995311905,0,0,0,0,0,0,0,0
Enpp5,0,0,0,0,0,0,9.46869723,0,0,0.953373575,0,0,0,0,0,0,0,0,0,0,0,0,2.948020643,0,0,0.994535316,7.783475165,4.726261341,0,0,0,0,0,4.9768293,0,0,0,0,0,0,6.383760849,0,0,0,0,0,1.089833289,0,0,0,0,0,0,0,0,4.268394562,6.376813456,0,0,0,5.531246963,0,0,6.871991555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.936686277,3.978298448,4.001370773,1.012943003,0,0,0,0,0,0,4.765713893,0,0,0,0,6.651587852,5.125665425,0,0,0,8.27477868,0,0,0,0,0,0,0,0,0,0,3.382118478,0,0,0,0,0,0,3.407089807,0,0,3.323139861,0,5.211864524,0,7.479011848,0,0,7.751952698,0,5.522490345,0,0,0,3.298202489,7.751871361,0,0.950490853,5.10175851,2.782502947,0,8.266866789,0,0,0,0,0,0.911976442,0,0,0,3.886450054,0,0,0,0,2.044597181,5.96260679,0,0,0,0,0
Ehd3,0,5.317038816,0,0,0,0,0,0,0,2.21366489,0,0,8.005938496,8.471258412,0,0,0,0,0,0,0,0,0,0,6.475726472,0,0,0,0.872494404,0,0,0,0,0,0,5.100253776,0,0,7.071990691,7.994108797,7.248540201,0,0,0,8.368286452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.135956986,0,5.817765001,0,0,0,0,8.295422412,0.927671731,0,6.47305221,5.874940087,0,0,0,3.559545694,3.519988827,0,7.396935062,5.744232017,5.057197196,0,5.195671343,5.411944384,7.428806243,3.054417059,0,0,5.937402063,0,4.134057656,0,8.703123886,0,0,0,5.311236094,0,0,8.497612859,0,7.371384308,0,0,5.71329038,0,8.305107474,0,2.993742149,0,6.032171547,0,0,0,0,0,8.19870409,0,0,0,8.391077049,0,0,0,2.779798076,1.001055204,0,5.388313543,6.745876982,8.613610605,5.306212987,6.978337131,4.136871229,0,6.672245516,2.883730894,0,8.934789476,9.828099533,0,0,0,7.489375249,0,0,0,0,0,0,8.264625429,3.488911753,0,5.570765676,0,0,0,7.125240583,5.829960594,0,8.201923153,0,0
Vldlr,0,0,0,0,0,0,0,0,0,0,0,0,0,1.040752499,0,0,5.373076099,0,0,0,0,0,0,0,4.766571451,0,0,0,0,0,0,0,0,0,0,0,0,10.15575685,0,0,8.595318118,0,0,0,0,0,1.089833289,0,0,0,0,0,0,0,0,0,5.950524456,0,0,0,0,0,0,0,0,0,0,0,0,3.147555359,0,0,0,0,0,0,0,0,0,0,0,0,0,7.098339488,0,0,0,0,0,0,0,0,0,0,0,0,0,7.914627202,0,0,0,0,0,0,0,0,0,0,0,8.057301408,0,0,0,7.862690496,0,0,0,0,0,7.497536465,2.507330799,0,7.993782677,0,0,0,0,0,6.307690705,0,5.39924516,8.395989931,0,0,0,6.546698588,0,6.436237755,0,8.274431791,9.347574779,0,0,2.194931042,7.391730997,0,0,0.971537905,0,3.74728944,0,0,0,0,3.329267906,0,0,0,8.202114316,0,0,7.917754607,5.594819568,0,7.186142952,3.934734547
Cd63,7.646083121,6.175594534,7.543146662,5.969638047,0,6.354698982,0,5.592787428,7.100362531,5.882243458,1.084590364,0,7.956167524,1.040752499,0,0.936243781,8.539275924,7.522650684,5.801959307,0,0,0,0,7.747252735,8.546900719,3.440526919,0,0,8.963829171,0.95544375,0,7.095682841,3.368125509,7.023810428,8.98083464,8.577160109,1.826113765,9.575970388,0.865083178,9.962213688,6.878167921,0,8.479210635,9.252607415,5.10072699,0,7.003557252,1.052275231,9.249176836,7.935039098,6.964418038,0.993008724,5.94124383,9.139894683,4.627779041,1.540245084,8.261099857,8.530802908,8.807433066,7.821953736,8.465572063,3.963440446,6.604599635,7.744288125,7.478805613,8.951274354,7.439487945,8.618761526,8.755853403,8.410527922,8.747952988,9.901224206,5.566030385,9.976723083,7.297252376,0.876799185,10.77317931,8.933066044,2.623310313,8.723595692,6.480296366,7.794746286,7.925087128,8.0506832,4.022196659,0,0,8.128754722,4.256783453,6.41559492,0,0,6.086220846,5.94882959,4.050198804,0.951345443,7.408050708,7.351531495,7.621522515,9.230368733,2.245564127,0,8.388910383,0,2.904904343,3.2614445,8.95367923,6.375311804,0,0,7.968612091,0,8.348870481,7.931986762,7.444034018,0,8.897285559,5.431521181,0,5.746125273,4.319394394,8.939988718,8.877438114,7.968193347,3.701789557,0,8.21827014,7.41278151,8.544716712,9.715873807,9.417693126,0.932014926,5.808974492,9.110020548,6.643236387,0,8.343598532,9.387639601,8.282867377,4.198665006,5.157615016,9.212393047,8.819077707,6.401614607,8.713891313,8.042350955,1.576122387,7.681843921,7.748316104,6.918814682,6.882589959,7.658391803,7.854034751,7.315239697,5.865702312,7.557401983,6.301594875,8.73122178,4.595070231,8.70155274,7.645539595,7.562893186,6.275784983,7.706774895,3.148897275,0
Klhl4,1.949527349,0,0,1.023444302,0,0,0,0,0,6.746848988,0,0,0,0,0,0,0,1.017630907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.736191009,0,1.127486221,0,0,5.190499069,0,0,0,2.927966009,0,0,0,4.544523078,7.216483534,0,5.326030462,0,0,0,7.830464858,0,0,0,0,0,0,0,3.006881585,0,0,0,0,1.751321773,0,0,0,0,0,0,0,3.406606787,0,0,0,0,7.019134972,5.977133982,0,3.482141424,0,0.83667562,0,0,0,3.689871171,0,0,0,0,0,0,0,0,0,7.666017191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.302724101,2.565859109,0,0,0,0,0,6.55045791,0,7.0498098,5.620065357,0,0,3.823291764,6.462121928,0,8.0637824,0,0,0,0,4.128671194,0,0,0,0,0,0,8.604628843,0,0,0,0,0,0,0,0,7.041460568,3.243870289,2.140107699,8.176948321,0,5.470914791,0,0,0,0,0,0,1.36877564,0,2.352924489,8.175266214
Tmem47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.473147394,0,0,0,0,0,4.307710859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.090826221,0,0,0,3.406606787,0,0,0,0,0,0,0,0.891282041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.136119719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casp12,0,6.099676363,0,0,0,6.922068743,0,5.894038153,0,6.00985799,0,0,0,6.01696457,0,0,4.790200911,0,0,0,0,0,5.284271728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18728904,2.742248795,6.732413301,0,0,6.771351192,6.554606281,0,6.268366207,0,0,2.885407307,9.504568557,0,4.491936486,0,0,2.208011743,0,0,0,0,0,7.259626898,0,0,2.712432171,0,0,4.066443228,2.285074227,0,6.612465282,2.911164171,0,6.534885285,0,0,0,0,0,0,6.693856945,0,5.33567199,0,0,0,6.780467935,0,0,0,0.963561301,0,0,5.688930928,4.710382416,0,0,0.914796414,0,0,0,8.819035781,0,0,4.381581703,0,0,0,5.267077102,0,0.978017185,2.948837654,0,0,0,0,0,0,0,0,6.002131585,0,7.859143563,0,0,0,0,0,7.094346113,0,0,0,0,0,0,4.057979581,3.501393603,0,4.044567195,2.392389138,2.385097704,0,5.669850299,3.667681753,1.69823047,0,5.789600366,0,7.693475796,6.875027497,7.2815098,0,0,6.929383487,3.700335699,0,0,0,0,5.285295911,6.835600064,0,0,0,0,0,0
Rdh10,0,0,0.903988395,0,0,0,7.554475112,4.82277144,0,0,1.084590364,0,0,0,0,0.936243781,0,0,0,0,0,0,0,0,0,0,5.719776764,0,0,0,0,0,0,0,0,9.336454944,0,8.168590789,0,0,0,0,0,7.672166279,0,0,0,0,0,0,0,4.667577647,0,0,6.469357473,4.567823634,0,0,0,2.219800644,0,0,0,0,7.525528536,1.359350847,0,0,0,0,0,1.170436106,0,0.937481171,1.135535596,8.435000906,0,5.47363068,0,0,0,0,0,0,1.942700628,5.735669869,0,5.307529608,0,0,0,5.090665804,0,0,0,0,0,0,0,9.742551782,0,0,0,0,0,6.169570681,0,0,0,8.37028253,4.771539671,0,0,0,6.897691396,0,0,0,0,0,1.079848598,6.122027411,0,0,0,0,0,5.270939834,0,0,0,0,0,0,7.252957007,0,0,0,0,0,0,0,3.292520886,0,0,0,8.665641893,0,0,0,0,0,0,0,0,0,1.094998794,7.785280626,0,0,0,0,0,0,0,0
Selp,2.262540383,0,0,1.023444302,0,0,0,0.91247009,4.782296447,3.022122732,7.075392433,0,3.50543775,7.482827878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.153105676,0,5.395952318,0,0,0,0,0,7.232135597,8.180000679,5.523106215,5.920164923,0.980274548,4.981619984,0,7.747106586,4.209100923,0,0,0,0,0,0,0,0,3.910019403,0,0,0,2.559620078,0,0,0,0,0,2.775779337,0,4.479069435,4.734391949,5.129062271,0,0,0,0,3.58388409,0,6.110115468,2.623310313,0,0,8.332197169,7.174685446,6.135273559,5.020053719,4.753940733,5.109683728,5.978695127,6.381769966,0,0,6.74893803,6.489977291,0,6.813691283,5.524800644,6.612897414,1.803858672,0,0,0,0,0,7.43628719,0,0,5.647285729,6.92084746,0,5.094934914,5.167182426,3.342669939,5.870372148,0,5.131718217,5.075460364,3.822427489,0.874718089,0,5.335463707,0,7.281779258,4.03263819,0,3.001094334,0,0,6.648106907,0,4.252409942,4.229804399,8.587882949,6.564457125,6.011639269,6.138911521,3.945625341,5.924346668,3.581957181,5.520131846,0,0,7.141380615,7.88378217,5.204467591,5.554754483,6.188977155,7.542657442,4.983292874,6.726085628,9.499585438,0,0,7.36479869,0,5.251335449,1.094182958,5.264047843,5.419905044,6.550924077,0,0,4.561589186,0,0,4.591586321,0
Plxdc2,0,0,0,0,0,0,0,0,0,5.407940429,0,0,0,0,0,0.936243781,0,0,0,0,0,0,0,0,0,0,0.976407532,5.771071025,7.453747459,0,0,0,0,0,0,0,0,0,0,7.708437338,0,0,6.820109366,0.980274548,0,6.268366207,0,0,0,0,0,7.058826801,0,2.129377161,6.965501524,0,7.729023912,0,0,0,4.7358599,7.556721334,0,6.784041399,0,0,6.842222565,0,5.852939498,0.877988363,7.261451484,1.170436106,0,0,0,4.21508488,0,0,0,4.756335257,3.633373141,0,0,1.249676005,0,0,0,0,0,0,0,0,0,0,1.956225522,0,7.194129282,3.414324322,0,0,0,0,0,0,1.781133943,0,0,0,2.51054522,0,0,0,2.579570397,0,0,0,2.866820617,0,3.314079809,7.271247089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.655762904,0,0,0,0,0,0,7.895267562,0,0,0,0,0,0,0,2.357424905,0,7.572573772,7.482188795,2.10053418,5.081228303,0,0,7.669328967,2.044597181,0,0,0,6.948721195,2.11350125,0
Cytip,7.247051648,0,4.345793058,5.162656417,0,4.680730712,2.914989846,0,4.721647049,0,0,0,0,6.89951947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.313353221,3.762626088,0,1.152149508,0,0,0,7.104082816,0,0,3.732253125,0,0,0,7.723542355,1.242677288,0,4.529889052,0,0,0,0,6.780426098,0.977504851,0,7.521689634,0,0,1.697610273,3.989400664,8.1507255,0,0,0,0,0,0,0.918370046,7.952429652,0,7.536335188,1.799781337,0.876799185,0,2.16958315,2.623310313,0.934913021,3.519988827,0,0,6.862660438,0,0,0,0,0,0,0,3.211852521,0,7.500716368,0,0,7.880705671,0,0,0,0,0,8.503404932,8.066228283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.124562354,0,5.155411743,0,0,0,0,0,0.924654955,0,0,3.329930206,0,7.617303456,8.654626646,0.955284564,7.042588646,5.748750217,5.997379836,0,6.475279327,0,0.994633849,6.511696277,0,8.978973592,9.002136013,0,0,2.82993194,0,0,0,8.498918222,0,0,0,0,0,0,4.418300999,0,7.758162096,3.538233702,0,6.441568387,0
Stom,0,0,0,0,0,0,0,0,0,6.882564504,0,0,0,0,0,0,0,0,5.082170091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.467684877,0,0,0,0,4.04124212,0,0,0,0,0,0,0,0,0,0,0,0,0,5.746253622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.155668158,0,0,0,0,0,0,0,0,0,0,0,0,0,2.455644132,2.595228893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.259441718,0,0,0,0,0,0,0,0
Nckap1,0,0,0,0,0,0,6.3233851,0,0,0,0,0,0,2.081504998,0,6.488859731,5.110980275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.978281125,0,0,0,0,0,0,0,7.182499434,0,0,1.847340873,7.912249118,0,0,7.929762589,0,0,0,0,0,0,0,0,0,6.763222376,0,0,0,1.279810039,0,6.455283663,0,0,3.513870965,5.551558674,0,0,0,7.749933666,0,0,0,8.595840497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75328652,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52551845,0,5.761513489,0,0,0,0,0,0,0,7.363898987,7.978651876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.511813361,0.950490853,8.080526051,7.23912438,0,0,6.61998002,0,4.983292874,8.075654315,0,4.978873024,0,0,0,4.750948251,0,7.614836574,0,0,0,0,7.722590078,0,0,0,0
Meis2,0,0,0,0,7.841791961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.481076087,0,0.826064513,7.597710605,3.311323877,0,5.856515048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.551558674,0,0,0,0,1.855097338,0,0,0,0.876799185,0,0,0,0,0,0,0,0,0,0,0,0.940408371,0,0,0,0,0,0,0,4.992591928,3.164675638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.577484447,0,0,0,0,0,3.854842066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.262916705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971537905,0,0,0,0,0,0,0,7.391082789,0,0,0,0,0,0,0,0,0,0
Dnmt3b,0,7.799273233,0,0,0,6.978560441,6.675681133,0,8.423764341,0,0,0,7.464285125,0,0,0,0,5.652521291,0,7.867897454,0,5.956970152,0,0,4.240605117,0,0,0,0,0,6.94549099,0,8.455830691,0,0,0,0,0,0,0,0,0,7.240840784,2.533972947,0,0,0,0,0,0,0,0,0,0,0,5.273170571,6.853508652,0,0,0,4.7358599,1.071072831,0,0,0,0,0,0,3.652352935,0,0,7.221502995,0,5.666505677,1.135535596,0,0,0,0,0,1.556236723,0,2.825297225,1.249676005,0,0,0,0,5.122310284,0,0,0,0,0,7.420200703,0,0,0,0,8.169914691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.122189932,0,0,0,0,7.823524563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.972441221,0,2.892546688,0,0,6.678215863,0,0,0,2.740546775,0,3.22737906,0,0,0,0,0,0,5.471317426,0,0,5.947217851,7.346128153,0,2.568852493,0,0,0,0,0
Procr,2.390694442,4.055234385,0,0,0.971545379,0,0,0,0,0,0,7.936287815,3.857988,0,0,0,6.369507814,0,1.783080023,0,0,0,0,2.678125517,0,0,4.476791918,0,0,1.514342515,0,0,0,0,5.218208552,8.987805519,4.386642099,9.474901393,3.913257354,6.913513384,0.826064513,5.600987068,8.563776301,8.928854693,8.720554014,8.881587109,0,7.006271024,0,1.398879424,0,2.979026172,0,6.326014219,7.087346034,0,0,7.927562611,0,0,0,7.742591302,7.522501158,5.28433891,6.433149049,0,5.253965319,0,5.03667118,0,0,0,7.008178515,5.726626661,9.231090232,2.266493015,3.798742365,6.464906957,2.623310313,5.249265345,7.107216269,0,6.008548456,0,0,0.959578595,0,0.940408371,0,0,0,0,0,4.710382416,0,0,0,6.952161209,7.204067722,8.007730377,0,0.982975787,7.87532043,0,0,0,0,7.925946025,0,0,0,0,8.551979314,7.812647395,5.463099096,5.991568705,0,7.535442531,0,0,7.763921973,6.369041619,0,0,0,5.502378289,1.03319931,0,0,0,2.089443171,0,0,0,6.620826392,6.716229968,5.079773516,0,8.879918334,0,0,0,5.201470487,0,0,0,5.749114233,6.778691916,1.597708922,0,0.911976442,3.998027183,5.350269248,8.818821502,0,0,7.67728539,0,0,0,8.30108833,0,5.065071744,0,0,6.808852525
Tm4sf1,0,4.805166502,0,0,0,0,0,0,0,6.514296783,0,0,0,0,0,0,0,7.94500567,0,0,0,6.582429169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865083178,0,3.836124803,0,0,0,8.557495207,0,0,0,6.473669379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.996575812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.463407777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.328221055,0,0,2.062926775,0,7.023138457,5.550198503,0,0,0,0,0,4.239066547,0,0,0,0,0,6.983757954,0,0,0,0,0,0,0,5.738997369,4.537180705,0,0,5.378799949,3.224241902,0,0,0,0,8.74492068,0,5.754443323,0,0,0,6.845747678,0,0,7.297829349,0,0,0,0,0,0,0,0,0,0,0,0,4.595070231,0,0,5.253246527,0,0,8.174041335,0
Wwtr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358931475,0,0,7.420235329,0,0,0,0,0,0,0,0,0,0,0,0,5.566315493,0,0,0,0,0,0,0,0,5.961521036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.493900688,0,0,0,0,0,0,0,0,0,7.412034012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.942327001,0,0,5.499410046,0,0,0,0,0,6.953380721,0,0,0,0,0,0,3.588745367,0,0,5.475587268,2.035466604,4.128671194,0,7.979046118,0,0,7.178816536,0,0,4.353434644,0,0,0,0,0,0,0,0,0,4.700016167,3.909928882,0,0,0,7.057807566,0,0,0,0,0,0,1.442689045,0
