Genes,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,
Mmrn1,6.154460455,8.805633938,7.105683524,0,7.869505725,9.357979507,7.815756409,7.64890996,4.948914739,7.437992538,6.748220962,8.337306357,8.649007946,7.957375343,8.127638964,7.877735913,8.107425215,6.793369751,7.994268927,7.672187155,7.584038101,5.306391563,8.274646756,8.954061396,4.090699675,6.821809603,6.556295768,5.767621215,6.116002175,0,8.752385447,6.409035405,4.867902943,8.487741792,6.155544457,8.23273823,4.45475089,0,6.952853807,3.934409448,0,0,5.123949116,7.308228971,6.837264725,7.98104626,6.746125122,7.464784853,7.83622707,4.721813763,8.086429696,0,3.585545039,8.275435268,0,0,8.408436661,6.412560222,0,6.617243317,6.014559576,7.724576652,0,8.373802724,7.294165744,7.411022761,7.742786998,8.527771181,8.865796087,2.889811417,6.831088669,6.771995119,6.828053194,6.18815108,7.187499135,8.804932904,0,4.521480667,7.728581666,4.596393844,8.235497435,0,5.825074325,7.982860665,6.070243416,0,8.045838332,7.251070167,6.287637835,6.477030345,5.488254484,7.767108219,0,4.326464941,7.859083711,6.464262723,6.895772783,1.006108164,5.948889792,7.674938777,5.589239506,7.437116846,7.74604389,7.077967575,7.644144156,3.151383463,6.970625338,6.419472732,8.037193617,5.82346319,3.992225251,6.428763996,0,6.760120041,7.947735638,7.806910993,8.307968119,7.73727958,8.494096686,4.151649883,5.643594246,1.608509906,0,8.426682189,6.704588132,7.274872484,0,7.705402586,7.384950389,7.851204138,8.243118788,1.503407263,6.393436557,6.880088471,6.227802132,7.616165322,5.978927513,7.840015231,7.257019496,7.982538589,4.062990256,6.124583398,6.253910107,7.743780426,6.843810822,6.397465577,7.51220874,0,6.162439995,6.79688786,6.517527125,0,7.8107349,5.395577172,0,0,0,8.323467007,0,0,7.442066768,5.564698534,6.806619795,0,7.399051338,6.690862703,4.503203133,7.256525782,6.123342531,0,8.272206783,3.348801599,6.206856868,7.174391181,2.229227268,7.549847506,0,0,5.143729131,7.370678768,2.306746821,6.63277239,0,6.164685984,0,7.654684476,7.486467525,7.289296774,7.757848272,8.242194931,5.079775383,5.479054446,6.295772712,2.293548342,7.437663147,6.450386521,0,0,8.050492411,6.984416185,6.954966992,7.61633921,7.064528838,0,1.937884736,6.8846234,5.775684056,0,8.174509223,8.705162671,8.365330007,8.575096797,4.788930723,5.873296642,7.653695195,7.586315522,2.862600717
Mt1,0,3.818638271,0,0,0,4.110003697,6.258618185,0,0,4.778231294,4.721888078,3.117772665,0,0,3.976786494,6.291288975,4.552843499,0,4.614579614,2.400439981,0,3.578882018,0,3.102905707,3.478216204,0,0,1.819481916,0,4.608827969,0,2.668015194,1.883161919,0,3.951216512,5.695884873,1.633672045,5.308024921,3.403993589,3.823926397,3.51822796,0,0,0,5.568524293,0,0,0,0,5.409234727,5.133460161,0,5.987172069,4.785472741,0,3.450621795,5.827493866,0,0,0,2.581610995,5.825843103,3.084352197,4.74217513,0,0,5.0951153,3.331282125,7.012509678,4.091903143,0,0,3.546189702,5.034195564,4.281730596,5.117407454,0,0,0,5.168648663,4.979487968,0,5.939438405,2.151625393,0,3.19334262,0,0,0,2.005449001,1.011424015,4.421750447,0,0,0,0,0,0,0,6.686598024,0,6.657089135,0,5.519797613,4.55797433,0,0,3.955957575,5.064338216,6.491958182,0,4.871150133,0,6.085837989,3.915651348,2.250335245,6.436388511,5.783169594,3.584766422,4.215086702,0,0,2.476443314,2.883367698,0,0,0,3.723242409,0,0,5.972932903,0,0,0,0,0,0,0,0,0,0,0,4.326066482,0,0,0,0,0,0,0,0,0,0,4.198243026,0,0,0,3.862528891,0,0,0,0,1.901324612,5.339243633,0,0,1.469212849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.181081716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.433519124,0,0,7.62076232,4.969979633,0,0,0,0,0,0,0,0,0,0,0,0
Muc13,6.697416665,6.130003774,7.180655755,6.78167797,5.148746283,0,0,5.702796732,0,0,8.823290759,6.570111534,7.805321802,0,0,6.901275283,4.83847349,0,7.490613084,8.346565428,5.196921718,0,0,0,5.878867394,5.066099087,0,8.113855185,0,6.885175571,8.260501453,6.034675532,8.138890404,5.841932539,2.849052539,0,0,7.083235138,7.064849722,7.935750587,0,0,7.052451913,0,7.272315421,6.889764295,7.139065096,7.270090251,8.786226031,7.586465458,6.654273462,7.04383621,6.398585002,7.454398273,6.684878871,0,4.474896188,8.103652453,0,0,4.748722603,8.084054529,7.499297321,0,0.950698823,9.349871743,0,8.876674182,7.957716299,0,4.651284603,7.927102226,5.727905685,6.263637682,7.302593447,5.433109839,2.321612664,7.56027534,0,8.369152664,2.576208624,0,0.884602505,0,5.157612059,6.532505427,0,8.439063633,4.919781624,5.743526178,8.416997926,3.593607479,8.806489325,8.749367922,8.47878967,8.62850038,6.521161486,2.012216328,0,7.773548583,7.405482473,0,6.63022259,5.709186178,7.990862952,0,9.972710267,0,8.067590954,8.654097823,5.620799037,0,3.282835162,0,9.136345581,8.18261916,8.000213087,7.27573313,5.897172782,7.258699586,1.496480902,6.757130922,7.592678716,4.651296507,8.609300328,7.179035275,6.49607728,7.505397809,9.491666042,8.96755657,8.096728531,5.602947844,8.534078184,4.79387429,5.099244917,6.180498449,0,0,5.879890752,5.270741191,0,5.506290845,8.659335354,7.856400549,0,8.589229807,0,7.04004364,7.570702826,7.150083976,6.862168227,4.985420939,0,3.283074255,7.223109522,4.328010143,0,7.437152253,0,0,0,7.592437541,5.126272915,5.027155902,7.356346768,8.449059395,7.795253964,7.755233584,6.440598168,6.437847813,0,8.092849595,7.516419299,6.606051847,8.916909074,0,0,7.589274535,0,7.336929239,0,8.283586841,4.824420714,0,3.253853486,5.588461605,7.769353249,8.209858787,6.908126491,5.19368531,4.844780554,0,0,1.146774171,0,0,0,0,8.091657836,0,0,0,7.595025459,0,7.203726281,4.014243865,8.754557618,6.817551841,0,0,7.163108076,7.949399777,2.394465361,0,7.457592044,6.942739732,7.7560386
Myo1e,0,0,0,0,0,0,0,0,5.571930616,0,6.099059522,0,0,0,0,5.590193242,5.87064699,0,5.900910298,1.20021999,4.553002787,0,0,0,4.525263613,0,0,0,0,6.733992748,0,0,0,0,0,4.002962135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.621023674,0,0,0,0,0,0,0,0.998703461,0,0,0,0,0,0,5.539115443,4.351570534,1.526747577,3.81344525,0,6.455323938,0,0,2.996894374,1.423490287,0,0,0.911188487,0.917664027,0.914085488,0,0,0.900433604,0,0,0.911603119,0,1.002724501,0,0,2.130571361,0,7.693575907,0,0,0,0,1.127448012,0,0,6.262580085,5.963546748,0,0,0,1.012559087,0,2.548453154,0.976700072,3.829924884,2.07123838,0.962655364,2.272965218,3.474426053,0,0,0,0,1.888348653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971668321,0,0,0,0,0,0,0,1.000957533,0,0,4.207176675,0,0,0,0,0,0,0,0,0,0,0,0,0,7.181575845,0,3.648539364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979507501,0,1.042696702,1.658573044,1.086601649,0,0,0,0,0,0,0,6.531461227,0,1.896050796,0,3.493797223,0.96696792,4.966984985,0,0,0.944988786,0,0,8.001865856,0,0,6.408267875,0,0,0,0,0
Ndn,4.688658349,0,6.29256222,0,7.142882579,6.092489479,0,0,0,0,6.525739381,6.138780677,6.297364358,0,0,0,0,7.028787213,0,0,0,0,0,7.001613256,6.971463081,6.330438282,5.422630114,7.437064721,0,0,0,0,5.649485756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.114087361,6.633451219,0,0,6.72803974,0,7.577123553,0,8.555585462,0,0,0,6.352919463,7.521616728,0,5.573294015,0,5.68259299,0,6.983734677,2.815259994,0,0,5.892053053,0,0,6.18815108,2.474348392,0,0,0,6.740524386,0,0,0,1.76920501,6.000768293,7.28699048,0,0,0,4.919781624,0,7.009914184,0,0,0,7.151099826,7.005235404,7.360569704,5.557300778,6.024362037,0,0,5.065083654,6.554494375,1.558169963,6.981664979,0,0,0,6.561788145,4.884224514,0,0,0,5.709256109,5.916934995,5.747872764,4.608724168,4.915451733,4.115140111,5.43956088,6.825265019,5.027799608,0,0,0,0,0,6.247716993,5.161858806,0,5.373925934,0,0,0,6.14281726,5.972275178,0,5.902138175,6.394919335,4.961774501,0,1.002628939,0,6.246542724,5.769742932,0,0,0,0,0,6.266640545,0,6.636053879,0,5.60200199,0,0,0,0,0,0,4.973644192,0,0,0,7.489898202,0,0,0,0,0,0,6.299077145,0,0,2.105976703,5.089151819,5.444914588,0,5.0996161,0,0,4.824420714,0,4.49100516,4.717492785,2.695331873,0,0,0,5.545314092,0,0,0,0,0,6.697100887,7.610070093,0,5.449543085,0,0.96696792,6.094793912,0,0,0,4.447501129,0,0,0,0,0,6.189603169,0,0,0,0
Ndrg1,0,0,0,6.676133813,0,5.928403575,0,0,0,0,0,6.087951005,7.761418197,0,5.399992473,7.061890242,0,4.454850608,0,8.185715128,6.706616987,4.919068579,0,5.831363878,0,0,6.03692058,0,0,0,5.711097981,0,0,6.705660001,0,6.931496898,6.400284155,0,0,0,6.622785101,0,2.892853747,0,0,5.398392735,0,6.414682204,6.182130981,6.260517465,0,0,0,6.541397534,4.118522138,0,0,0,0,4.666621311,0,7.661568338,0,0,6.825931123,0,2.222970914,7.053228021,0,0,8.051778219,0,3.95654125,7.197878888,0,0,0,0,0,0,6.494139101,6.377830326,0,0,0,6.748525223,0.948826276,7.000638012,4.553321125,0,0,0,0,0,5.940828659,0,0,4.936862688,2.636370135,6.296754871,6.757409044,0,7.533325576,0,5.405928677,0,4.758192035,5.827163636,5.716332664,0,0,0,6.117289253,7.048493353,0,6.968138093,0.930266764,0,0,7.027263843,8.448818604,5.667936939,6.109091124,0,0,6.178093696,6.294864705,7.244037857,7.622959916,5.670886602,6.917066792,0,0,0,0,0,0,0,0,0,0,0,5.252952575,0,0,7.187766919,0,0,0,0,7.13656557,6.910528608,0,0,0,6.739411444,0,0,7.239819373,7.698305367,0,0,0,0,0,1.576232441,0,0,7.037566372,0,6.57141268,6.809532723,3.842567183,5.933849089,0,0,0,6.752432778,7.120543337,0,0,0,0,0,0,0,0,0,5.660600617,0,0,0,0,5.036996171,5.19399218,0,0,0,0,6.99947644,5.747522562,0,0,0,0,3.597907706,0,0,0,7.543584283,0,7.672463575,0,0,0,7.102628538,6.331488649
Neo1,0,5.373198864,0,0,0,3.030513137,0,0,4.400370703,0,0,0,0,0,0,0,4.113921464,0,4.805589455,5.573649031,0,0,0,0,0,0,7.00619902,0,4.104985687,4.40568506,6.232687815,0,2.984741024,0,0,0,0,0,7.045133078,6.104008332,0,0.914616288,0,0,0,0,1.448101782,0,0,0,0,0,0,0.940640333,0,6.724299099,3.180917776,0,0,2.333310655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.719528016,0,4.398231074,6.192314919,0,0,0,0,0,0,0,0,0,3.781451342,0,0,4.675391123,0,0,0,0,0,0,0,0,6.517705453,0,0,0,0,0,0,0,0,0,1.953400144,1.51757183,0,5.754060579,0,0,0,0,4.186827483,0,0,0,0,0,0,0,0,0,0,0,3.542489725,0,0,0,0,3.27750574,0,6.256259928,5.902686292,0,0,0,0,0,5.284197454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.341918587,0,0,0,0,0.931473678,0,0,0,0,0,0,0.968942368,0,0,0,0,0,0,0,0,0,0,0,0
Npdc1,0,4.055526721,6.863278728,0,6.743008862,5.928403575,5.774477496,0,6.65906517,6.8799818,6.40758378,6.643264175,0,1.590286122,5.399992473,6.692762942,6.467862714,5.679846946,0,4.689128193,1.1653776,4.804203477,0,0,4.736383825,0,0,1.819481916,0,5.43415053,0,5.591901782,5.286703882,0,0,5.618401048,0,6.645629558,4.625114304,5.739949993,6.274929377,0,5.953361874,0,0,5.972082789,6.159344686,0,6.256412044,0,0,5.618461367,0,6.666753408,0,5.843063002,6.087125382,0,0,5.311312328,0,5.532895311,7.335637604,7.337288042,6.622362923,0,5.40332329,0,7.808018382,5.12645619,6.486092155,7.223517139,0,0,0,0,0,4.398231074,6.050039553,0,5.44242431,3.811667931,6.676001746,2.601448405,6.701876438,4.942983511,0,0,8.055753489,6.773291198,0,1.71458651,0,5.205236019,5.59275118,0,1.067551015,7.788753136,5.464098647,7.389958173,1.561719104,0,4.257889707,0,0,0,0,3.363648479,3.339377389,0,5.745577889,0,5.178095949,0,7.066936736,5.603100954,6.193912847,6.488310604,6.53073319,3.69282097,0,0,0,0,0,0,5.105323833,7.008708542,2.223091584,5.34741668,6.023880467,0,0,0,3.595600049,5.291258412,0,0,6.131962319,0,5.658429458,4.010515758,1.000957533,0,6.910841268,0,0,0,5.753675172,7.446230323,0,0,0,0,6.270816149,3.652546805,5.49742741,0,0,2.048593087,0,0,4.87621602,0,0,5.059440819,0,5.366328148,0,5.057523397,6.991997957,0,0,7.666709106,0,0,0,3.069328159,0,7.2317979,1.455395203,6.564821065,0,0,0.979507501,0,1.652635172,4.277297212,0,0,0,0,2.332667858,0,0,0,0,0,0,0,0,0,7.210266018,0,0,0,2.910057254,6.958738509,0,0,0,0,0,0,1.478544053,0,0
Nrg4,0,6.011735196,0,0,0,6.723950977,0,0,0,0,4.503449427,0,0,2.816784352,0,4.911486271,0,0,3.899772187,0,0,0,0,0,4.447781496,0,3.701520906,0,0,0,3.603301642,4.725705236,2.984741024,0,0,0,0,0,6.090631478,0,0,0,0,0,0,6.953666301,0,0,0,0,5.801531442,1.513783941,0,0,5.667616566,0,2.006935668,0,0,0,0,0,1.542176098,0,0,2.9551253,4.205123275,2.815259994,1.024398491,0,0,0,0.931405076,0.863070545,0,7.827058888,0,5.789832137,0,0,5.927588033,0,0,2.39536744,0,0,0,0,0,0,0,3.593607479,0,0,0,0,0,0,0,0,0.98533505,0,0,0,0,0,0,0,0,0,0,2.872443663,1.03561919,3.051545305,0,0,0,0,0,0,0,0,0,2.230877776,0,0,0,0,0,0,0,0,0,0,0,0,0,3.022613856,5.454630511,0,0,0,0,0,2.113678982,0,0,0,0,0,0.937207814,0,4.689961759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915180551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.432423731,0,0,0,0,0,0,0,0,0,0,0,0,0,3.351989865,0,0,0,0,0,0,0,0,0,0,0,0
Nt5c3,5.740463223,6.550601213,0,1.614353239,6.90952866,5.132856173,6.918697653,0,7.280007218,6.790888605,5.652575091,4.564749065,1.57434109,7.163531898,0,6.983814675,7.532259387,5.858366123,5.792554912,6.001099952,6.911548446,7.001882345,0,7.202206699,4.978592639,0,7.758029787,2.883810607,0,8.009927204,0,7.39372043,4.372566567,6.042757564,3.661309466,0,8.000081561,2.431147235,6.031060126,4.91356196,6.917843898,0,7.232134367,0,4.548223184,0,0,6.135639456,5.401797595,6.366390319,5.838699649,0,6.515782285,6.969571958,0,6.506948988,6.530362593,3.646287852,0,8.224999255,6.649578849,6.772676633,7.281788567,6.317461113,8.332753108,7.874772033,7.405067604,2.328466281,7.87403954,7.869847516,6.917939008,0.901046511,7.974916058,7.097893608,1.762761361,0,6.213985892,0,7.220178252,8.417928034,6.775759817,6.667906969,7.321080382,6.826036502,6.788511941,7.871546075,7.116050846,8.579562773,7.67401601,5.770566697,4.296455901,6.441152181,0,0,6.647629565,5.325908444,8.040133925,8.298307207,2.039774375,7.337200133,6.941088429,6.487625687,3.593369916,6.502893403,1.644739598,4.994824614,6.004169857,6.993634836,5.606418555,7.191593399,6.083687663,7.81292357,2.404633292,8.1513859,7.825775202,5.497525396,0,5.984525955,6.319639727,6.009203684,7.371504075,5.205487535,5.822735408,0,6.552065898,6.338225088,4.899935119,0,6.273404597,6.522944864,7.927333237,0,0,7.136985397,5.367070174,5.826341927,6.327029659,7.041365057,6.206963367,4.882632416,6.416095846,7.527532178,6.071897668,0,6.791530371,6.816617094,0,0,3.437784956,7.592897398,5.664853402,6.456851408,6.181216531,6.96200168,6.103620512,5.458553458,3.154926609,0,6.085855619,0,5.659993016,7.174073444,0,0,5.445594226,0,6.899386082,5.989188604,6.915357799,5.532097806,7.05137368,6.048538384,0,8.489418791,4.458454537,8.608101517,0,4.970245955,8.23980778,6.830364614,4.834718214,0,7.038868161,8.708847418,0,6.409049612,7.287078471,0,1.722222867,3.101947667,5.184951487,7.919791355,0,6.717781299,6.974747743,6.820623216,6.979306433,6.948264208,7.584203184,6.914481716,0,5.801807521,6.388574988,5.96511026,6.976067572,0,0,0.928840758,5.481372197,0,0,4.60869904,7.590275614,0,6.211162087,7.024937283,0
Nupr1,5.445747882,6.897836032,6.724200039,6.8801467,3.326167407,3.23847168,2.779241128,0,7.287825655,5.617406298,0,4.247926638,2.979895907,3.92001318,4.178004494,4.25190602,2.336958205,2.395417429,1.389126881,0,1.1653776,2.069057818,5.887046392,7.001613256,4.447781496,4.846446157,0,1.819481916,2.802088658,4.743563194,3.603301642,1.683330169,0,4.885882322,4.595941106,3.785800833,0,5.599898604,3.746341357,3.704595611,0,3.573305772,6.188626496,1.462743896,7.360978584,4.261580944,4.894930071,5.547965855,4.422300813,0,5.279467043,5.570942674,0,4.421423182,0,0,6.020807005,3.646287852,0,4.019608808,4.851682431,6.39913606,6.8110335,7.4293857,0,5.745640284,5.50962261,7.496783927,7.528026031,4.230989679,7.140687173,6.347326746,5.30941849,3.193740525,4.324838573,5.54802573,0,7.467314946,5.903063714,5.46713092,2.576208624,2.742256465,0,6.156560024,0,7.285947983,0,7.479312646,6.929543288,5.013622504,0,4.595338505,0,4.326464941,6.699530272,4.957901627,7.373458068,4.486670558,4.793918245,6.659712062,7.473729402,6.242801295,0,6.428619501,6.249502314,0,0,7.017781072,7.029108356,5.592309463,5.924749749,3.913668912,4.924252743,7.132689926,4.158350773,7.428987837,6.679230792,5.121363315,7.303489697,5.713204608,7.24410703,0,0,1.76792881,2.575538795,0,2.061009905,1.594729289,0,0,5.120045885,0,4.182656457,0,0,0,0,1.596909872,3.858134445,1.521149053,1.544317271,0,1.000957533,1.929215521,3.910770828,1.980813779,3.623166646,0,0,0,0,4.510372099,4.580446527,2.554728337,4.578012233,0,0,0,0,0,0,2.548707223,0,0,0.997465415,0,0,0,0,0,0,0,2.076816528,0,0,0,0,0,0,0,0,0,0,0,4.49100516,2.510207833,4.957905515,0,0,0,6.973912958,0,0,0,0,0,0,0,4.027143172,0,0,0,0,0,0,2.194196012,0.970019085,4.258700045,0,0,2.867395824,4.291440346,0,0,0,2.947630384,4.140450305
Ocln,6.410157709,0,0,0,6.120387279,0,6.185358671,6.016377831,6.28352036,0,5.778059355,6.532151741,0,0,6.010986462,0,0,0,0,0,0,0,6.011935722,0,5.750230555,0,0,0,2.802088658,4.349811873,0,6.733320676,0,5.979071176,0,0,0,6.733831304,0,5.890668021,0,0,0,0,0,0,0,0,0,0,6.538975521,0,0,0,0,0,6.723675732,0,0,0,0,0,0,0,0,0,0,0,0,7.177531648,0,0,0,0,4.446031522,0,0,0.896337709,0,5.675627876,0,0,6.088403284,0,6.46503142,0,0,0,0,0,0,6.16664245,2.130571361,0,0,0,6.226907657,0,0,0,0,0,0,0,0,0,0,4.867730911,0,0,0,0,0,0,0,3.072185555,0,0,0,0,0.944174327,0,0,0,0,0,0,0,0,0,3.89876638,0,0,0,0,0,0,4.894600223,0,0,0,0,0,0,0,0,0,0,0,0,3.35985487,0,0,0.988303829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.185616648,0,0,0,0,0,0,0,0,0,6.80925439,0,0,0,0,0,0,7.962195097,0,0
Osmr,0,1.688273856,0,0,0,0,0,0,3.800493302,0,0,5.60400662,0,6.750518401,0,0,0,6.400435638,6.194716336,0,0,0,0,0,0,0,0,0,7.372098422,0,0,0,0,0,0,0,0,5.038756942,0,0,0,0,0,0,6.683221532,0,0,0,0,0,0,0,0,6.37882046,0,0,0,0,0,0,0,7.30842685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.647629565,0,1.067551015,0,0,0,3.123438209,0,1.588679538,0,0,0,0,0,0,0,0,0,1.03561919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.778850998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxr1,4.742969663,7.837133487,4.697312894,5.492309814,6.172592591,6.123329609,7.194014502,6.607449277,0,6.001671124,1.556784481,5.04869345,6.167841556,5.187289905,1.044501124,5.760277391,6.467862714,6.073966787,7.956808277,7.331573164,0,5.505688465,0,7.11906603,0,0,0,0,0,6.158903082,6.232687815,7.275231951,0,5.606017419,5.510819864,6.027507852,6.756026449,5.485810502,6.289879357,5.974288382,0,6.422771979,6.303185195,0,6.357100906,0,5.974505721,5.788345158,4.246675019,6.175338014,7.160051147,6.652960168,4.708708686,6.895756094,0,6.790019244,6.881763336,0.9853661,3.530103067,0,0,1.516845867,6.421746781,0,0.950698823,2.546296028,5.024268515,6.985398844,7.025305382,0,7.551218613,7.518598717,7.000160981,6.394827075,1.762761361,5.117407454,6.764102214,6.594851306,0,0,7.116381296,0.914085488,7.702551702,6.919891173,7.43946784,0,7.370657407,0,8.944977716,4.333703191,0,5.308193989,6.507323633,4.216239791,0,7.448510184,0,5.45940927,3.774031057,5.585598783,5.170966917,4.267833784,6.688073441,0,8.061162556,0,3.002084928,0,6.197107243,3.125153795,4.644098965,0,7.383222302,0,7.858620233,4.888858488,4.881972543,4.248845789,7.42572259,2.835621484,6.377791358,6.177902806,6.683816638,0,5.388590003,6.248828671,5.659381814,5.735566724,4.446183167,0,5.334528053,4.290799245,5.775296914,4.03874336,0,5.845458687,0,7.312093685,6.68372058,0,6.159806769,5.796558558,5.464659202,6.784494412,0,4.416651798,5.63471318,6.381598905,0,5.252903313,0,0,5.777993032,5.713739941,2.856880118,5.993543606,0,3.370067541,0,0,5.659993016,0,0,0,5.600478885,0,0,6.434452816,0,7.381647712,0,4.946586019,1.038408264,0,9.111883625,0,0,0,0,0,0,0,0,0,0,0,3.463763467,0,0,0,0,0,0,1.146774171,0,0,2.736556196,0,7.204910397,0,6.760044887,0,5.20532827,0,0,7.328281728,0,0,2.497898293,0,0,0,0,0,4.332055775,0,0
Pbx3,4.845804758,0,0,0,0,0,0,0,0,0,0,0,5.742616716,0,0,0,0,0,0,6.156268013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.282819286,5.536146062,0,0,0,0,0,0,0,0,0,0,0,0,0,6.610539268,0,0,6.515782285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.780610481,0,0,0,0,0,0,5.760103426,5.050971026,0,0,0,0,0,0,0,0,0,5.149307553,0,4.04569606,0,0,0,0,6.154346607,0,0,0,0,0,1.565124722,4.918398182,0,0,0,0,0,0,0,0,0.957481221,0,0,0,0,0,0,0,2.835621484,0,0,0,0,4.533912633,0,0,5.816985361,0,0,0,0,0,0,0,0,0,4.894600223,5.515264805,4.754731436,0,0,0,5.357999514,0,0,0,0,0,0,0,0,0,0.988303829,0,0,0,0,0,0,0,0,0,0,3.797704858,0,0,0,0,6.315359217,0,0,3.722654687,0,0,0,6.153099848,0,0,0,0,0,0,0,0,0,0,0,7.088513178,0,0,0,6.42188422,0,0,0,0,0,7.540780123,0,1.496453937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.947630384,0
Perp,0,0,0,0,0,5.705541801,0,0,0,0,5.778059355,0,0,0,0,0,0,0,0,0,0,2.904289824,0,0,0,0,0,0,0,0,4.183303658,0,0,0,6.017188842,0,0,0,0,0,0,6.1283313,0,0,5.692142673,0,0,5.928675934,0,0,0,0.955091329,0,0,6.321237368,4.742778658,0,0,0,0,0,5.805388024,0,0,0,0,0,0,5.690112437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.678681317,2.40823473,0,0,0,0,6.395364678,0,0,0,0,2.075430299,0,0,0,0,0,0,0,6.62000659,7.172948343,0,2.505259415,0,0,0,0,4.210480845,0,0,0,0,0,0,0,0,0,6.189515047,0,0,5.40712158,0,0,0,0,0,0,0,0,0,3.672604106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.293548342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.241871289,0,0,0,0,0,0,0,0
Pgr,0,2.753456063,0,0,0,0,0,0,0,5.512578685,0,4.941552759,0,0,3.133503371,0,3.724393095,0,0,0,0,3.436630647,0,5.946857643,6.159406163,0,3.701520906,5.458445747,0,0.948712639,7.206603283,0,5.969482048,0,4.408655891,0,4.955096001,4.521298713,0,0,5.704556584,0,6.176602719,0,0,0,3.948731767,0,5.480325539,6.18990957,0,0,0,0.940640333,4.688324797,1.580926219,6.171073422,6.817613282,0,0,3.165815069,0,5.178261506,0,0,5.169427789,0,0,0,4.58024273,0,0,0,0,1.396955328,0.9021551,5.771572172,0,0,4.002229065,0.917664027,4.394333371,4.707790925,0,0,0,0,0,3.608421618,0,0,0,0,0,0,0,6.649581718,0,0,0,5.411315343,4.466943947,0,0,0,3.151383463,0,0,5.359419662,0,0,0,0,5.157476174,4.001269846,6.646526382,0,0,2.719598865,0,0,0,0,0,3.516157471,0,0,0,0,0,1.024009177,0,5.745471774,0,0,6.238670039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997084188,5.478743565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.378335874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
