Genes,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Exoc6b,0,1.00440706,7.684277102,0,0,0,0,0,0,1.498862511,0,0,8.410161431,0,0,0,0,0,0,0,0,7.710738374,0,0,0,2.666234262,0,0,0,0,0,0.961196858,0,4.881248256,2.274187065,10.07425853,0,0,12.34811708,0.964027359,0,2.59796426,0,1.87717263,1.749347834,0,0,0,0,2.319165142,1.14847603,10.332603,2.537979279,2.160344154,7.833113695,0,4.285691372,0,0,6.698210132,0.875411675,0,0,0,0.970300236,6.762959404,2.03558894,6.897321337,1.469971504,8.402968959,0.991333999,9.899353241,1.639249569,0.934981567,0,3.850123762,7.403179297,6.445405852,0,9.553195361,9.738547229,7.347768826,6.430000412,0.995704378,0,0.912516328,4.82384968,8.145213352,0.969682729,0,9.190897158,0,0.99171717,11.80723178,0.898432355,4.334939379,3.137049484,0,7.899653675,9.207688919,0,7.845940432,8.130376903,11.39523171,2.945314242,12.40373942,10.75334919,6.015071492,0,0,2.834137563,10.67560965,0.938908874,1.418848834,6.284604205,4.503477838,1.623015482
Fap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.968814254,0,0,0,0,0,0,0,0,0,0,2.497380219,0,0,0,0,0,0,0,0,0,0,0,10.25675469,0.964027359,0,0,0,0,0,0,0,0,8.850135607,0,0,0,0,0,7.305017543,0,0,0,0,0,0,0,0,0,0,0,0,1.025178788,0.927448759,0,9.411581685,0,0,0,0,0,0,0,0,0,0,0,0.941036721,0,0,0,0,8.510715513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.096394072,0,0.938908874,0,0,0,0
Fhdc1,0,0,0,0,1.19834932,0,0,0,0,0,0,0,0.883089906,0.898020212,0,0,0,10.64919146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66151452,0,0,0,1.844419015,2.821475264,1.488967309,0,0,0,0,0.900995535,0,0,0,0,0,0,0,0,0,0,4.429410629,0,0,0,0,5.094361188,2.252967378,0.997286634,0,2.050357576,5.975499949,0,0,8.643085059,1.034251327,0,0,4.327658316,0,2.183818802,0,0,0,0,0,0,1.214996296,0,0,0,5.982869716,4.943525718,0,0,0,0,0,0,6.295546189,0.988099603,0,0,0,3.330470751,0.949561634,0,0,0,0,0,0,0,0,0,0,4.256546503,0,0,0
Fhl1,0,1.00440706,3.920227376,0,0,0,0,8.50949519,0,0,0,0,7.084472037,0.898020212,0,0.936556623,0,0,0,0,0,0,0,3.721778657,0,1.505289299,0,0,0,0,0,3.92885644,3.559265747,0,0,0,0,0,0,0.964027359,0,1.005029767,0,0,0,0,3.248828079,1.80199107,6.611728792,4.994050305,0,0,5.623812114,8.736162675,2.837699703,0,3.847315363,2.24693887,7.490175614,3.222888087,0,3.263836612,2.262528427,6.150428981,1.537889488,0.997286634,2.363245574,4.637459763,8.834432452,8.648574861,10.14374675,0,7.092875942,1.481910722,11.03307806,2.500889338,2.085319324,0,0,9.089904395,10.79331144,6.423478362,9.511262412,5.675952782,0,0.912516328,8.965973244,9.843291861,0,3.847245367,0,1.470547163,0,1.478644267,1.423981592,10.57963755,7.050259817,0,0,7.376558924,10.46368664,3.051756376,0.949561634,0,4.94483327,10.02935411,12.30805363,0,2.254783309,0,0,4.747847422,2.816726623,1.418848834,0,6.37396891,0
Flt3,0,1.591947526,0,5.149683597,1.899338735,0,0,0,0.851263795,0,0,0.842467943,0,0,0,0,0.888199641,2.627256697,0.904668109,0,0,2.379925457,0,0,0,0,0,0,0.862013739,0.905259364,9.190236938,0.961196858,0,0,3.104748355,0,5.685856937,0,0,0,1.844419015,9.885523399,0,10.56159778,0.874673917,0,0,1.428044136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.140580143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fyb,6.366823236,0,8.515449947,6.494284912,5.090501047,0,1.229310958,0,2.944888889,6.836127245,5.283375685,9.009653688,5.660068438,1.796040424,0,5.70125364,0,0,0,0,0,0,4.800765098,0.861138495,5.879174284,1.899463613,6.799858149,10.40963429,6.043774219,1.810518728,1.916138254,10.32709218,8.622132687,0,7.240324409,6.388733364,12.08041477,0,4.009044343,1.928054718,3.190320729,3.826505031,9.684001871,5.828107953,1.749347834,0.830627555,0,6.629121504,4.052694269,5.516989254,0,10.14083821,9.377156317,6.934341099,2.444261482,0,8.490355095,6.435143556,4.429410629,0.931623585,8.971155392,1.087945537,3.236946382,7.656356434,1.537889488,8.44868846,1.613166068,10.37770853,1.469971504,1.482622756,3.668371702,9.823231448,1.639249569,6.225305004,9.336822925,7.214008438,3.219648186,0,4.558498818,11.80610449,7.57076572,7.519180866,8.482524263,1.5781541,1.925723568,9.342711493,8.073851633,3.20909842,9.837099894,9.834710802,10.00290779,0.927811959,9.90735763,0,8.08081814,6.770008698,9.038387063,2.294296228,5.740062469,0.950397505,9.637045855,2.488600137,6.036887467,5.302777216,9.893848979,1.53588454,1.733889722,9.611693706,10.03217068,2.207382779,8.979275101,1.505032025,8.810443236,2.837697669,7.606384998,9.30824419,2.048017517
Gabra4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.363025405,0,0,0,0,0,0,0,0,8.753190232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913114023,0,0,0,0,0,0,0,0,0,0,5.531476478,0,0
Gadd45g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.143431389,0,0,0.904668109,1.824599257,7.543572349,0,5.734412488,0,0,0,2.955136683,0,0,0,0,0,0,4.845462345,0.979439057,0,0,0,0,0,0,0,0,0,0,0,0,0,7.468303646,4.638330284,2.296952059,1.199927215,4.243374497,0,6.547629002,1.580030126,6.695724112,1.123469435,4.429410629,0,0.875411675,0,0,0,1.940600472,0.997286634,1.613166068,2.38039143,0,7.285044002,1.571227214,0.932930931,9.368239956,2.170959968,4.266692845,1.781669513,4.117746335,4.367637603,0.928999481,0.91184755,8.821546422,8.726744915,11.23558247,3.569562856,4.203196604,0,0,5.723581922,3.476276223,4.24962266,6.520798962,8.665624532,0.99171717,8.356265573,7.657843842,2.33093997,1.813621328,2.773946284,7.669496729,9.697236482,0.872952092,0,2.204813835,0,0,0,0,0,4.196947939,6.816218388,0,0,0,0,1.530604843,0.89276883,2.048017517
Gda,1.615123744,1.591947526,3.01317217,10.68662946,6.619156714,7.206481169,2.458621916,2.488960464,1.349221194,1.891353909,1.761125228,1.684935885,1.766179812,7.214176226,3.497764788,0,5.406882308,1.016361629,2.338533138,0.912299628,2.134764786,0.920680844,2.551853699,0,1.751253888,8.692216019,1.409958522,0,1.724027477,3.131682866,1.916138254,2.484657834,1.305274548,2.611201523,0.979439057,1.305744642,7.310170228,9.176589325,1.554554792,3.202429568,4.112530236,1.005029767,3.476318061,2.634944911,1.386325359,1.928657455,2.649305189,2.702986605,10.1555239,9.857079258,1.14847603,10.43155159,2.279725679,10.80172077,11.18528866,8.606129473,0,1.780656925,0,1.476588447,0.875411675,8.589131753,0.974417955,9.813833142,6.927508361,9.273975865,3.053383409,5.12589394,8.664295556,0.93543081,8.547333107,8.598587293,6.2286419,10.40868204,2.31955877,4.863451436,9.707510719,8.02225438,5.188427266,10.84764156,0.926095969,9.533604924,10.98750432,10.06380029,1.925723568,1.825032655,5.86624191,10.53651383,1.536910764,11.37205133,5.267275407,3.082124615,13.25235584,9.552733046,9.15929941,3.68579061,8.845836014,3.132201635,9.013873391,10.74091378,2.76719266,10.82691234,8.35392185,8.796022998,8.346487345,5.225345684,11.31869922,1.697383571,1.94216463,1.506773159,0,7.376430784,2.63585045,10.20127419,8.69133723,6.862268085,1.024008758
Gem,5.385981445,0,0,7.453232369,0,0,0,0,0,0,0,0,0,0,0,0.936556623,0,0,0,0,0,0,0,0,3.029171536,0,0,0,0,0,0,0,0,0,0,0,0,8.04758869,0,1.527947214,0,0,0,0,2.455520126,0,0,0,0,0.998810061,0,7.329784737,0.981824409,11.26144517,0,0.996888018,0,0,8.195525603,0,0.875411675,0,0.974417955,0,0,0,1.01779447,1.624869935,0,5.752662932,0,0,1.034251327,9.504000604,0,0.890834756,11.4798354,6.791410873,6.843309516,0.91184755,9.766543046,9.284381186,8.020984792,0,0,0,0,0,0,0,0.928575537,0,0,10.83044272,1.423981592,1.429209299,6.377982983,0,0,9.840652776,0,0,2.204813835,9.220654699,5.13218,0,1.093962615,0,0.971082315,0,0,0,0,2.837697669,8.893607212,0,1.024008758
Ghr,0,0,0,1.864624182,0,0,0,4.977920928,0,0,0,0,0,0,0,0,0,0,0,6.465889717,0,0,0,0,0,0,1.779169566,0,0,2.541384331,0,0.961196858,0,0,0,0,0,0,1.554554792,1.928054718,0,0,0.939433777,0.938586315,7.336779935,0,1.02489115,0,6.507152877,0,3.97307429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01490738,0,0,0,0,0,3.105941535,0,0,0,6.606615703,5.635393711,0,0,0,6.063046419,10.1570794,6.592891579,0,5.442353531,0,1.939365459,0,0,0.927811959,0,0,10.60593795,5.089238229,1.437260898,0.988099603,0.956677078,9.039945988,0,0,0,0,0,0,0,0,7.724179366,0,0,0,0,0,11.60803943,4.783055437,0
Gipc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.698437835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.904509341,0,0,7.849996835,0,0,0,0,0,0,0,0,0,0,0,1.376451265,0,3.354551094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpr183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.044791337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.028261249,0.998810061,0,3.368621572,0,1.363025405,0,6.665692259,0,1.123469435,0,0,0.875411675,5.580380567,0,1.390369894,0.970300236,11.11632396,1.01779447,0,0,0,5.311123452,1.478660541,7.155843482,5.805724437,0,0.890834756,10.81213086,0.844816434,7.662320382,0,0.926095969,8.980953004,6.718579992,9.110443261,0,0,0,6.79832085,8.025214902,10.52979705,0,0,0,9.265968369,9.157085637,9.93858153,0.906810664,0,5.803288483,3.618500617,0,0,0,8.288167605,3.33094351,8.32276727,0,0,1.539129054,0,0,0.949569484,0,0,0.965704137,7.804109257,0
Gpx3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.756329587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93543081,0,0,1.639249569,8.573710845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949561634,0.913114023,0,10.4562281,0,0,0,0.950668018,0,0,0.938908874,0,0,0,0
Gstm1,0,1.591947526,9.136587972,2.164761637,7.269293857,3.749066047,5.482028156,0.886585606,8.777051368,11.24219074,2.044603073,1.335280097,9.601549436,2.694060635,0,0,10.34925657,10.54479197,8.689770992,3.942893395,5.190734998,2.137754719,1.348197473,9.859302637,0,10.17157578,7.04979261,7.916968264,4.42151243,8.517939253,0.958069127,5.871494515,0,7.566063781,4.8060003,5.147249776,10.557434,9.847811838,1.961629744,2.491974572,0,5.486891289,5.328867964,0.938586315,9.798741016,0,0,3.116932442,10.68276073,8.856727219,11.00809968,8.839050497,4.668464611,12.06089787,10.66249658,11.99150819,6.78446361,8.256071466,9.639019589,4.429765342,1.75082335,10.16608503,1.544415919,10.67494719,0,11.10293392,10.0616071,8.118250616,8.516200247,6.403482306,8.805666052,8.292583513,5.304967765,10.49028145,11.37607055,10.98006089,12.08604886,2.678004735,8.812330507,10.35032609,9.935871434,10.29544768,8.442551925,10.01882339,2.429992592,1.825032655,9.227040476,7.520907941,11.149752,11.12855406,10.75270724,10.08779779,9.657433296,8.442790707,6.641497151,9.032463258,10.13070945,1.976199206,10.82927085,10.12698981,0,10.10555153,8.155513899,10.35355919,9.239381263,10.44831176,9.444174001,5.395602161,9.063262102,10.81491857,6.187890472,10.41208899,9.481131938,2.248822197,10.86102392,7.988823347,8.381384037
Gstm2,0,0,2.546425895,0,0,0,0,0,1.976573322,3.141470844,0,0,2.050471263,0,1.103421938,0,3.381691274,2.35991862,2.100574299,0,0,0,0,2.860640161,0,1.505289299,0.889584783,0,0,0,0,0,0,0.93012875,0,0,3.886252658,10.61963653,0,0,0,0,0,1.487624113,3.498695668,0,0,9.053641805,1.856769884,3.455315106,3.224179835,10.01786612,8.774209262,9.151687215,8.67472321,4.23470804,6.033366585,0,2.92071206,0,0,9.25601721,8.02298685,8.509475359,0,8.102077598,3.226332136,1.624869935,1.469971504,0,0,9.715195597,0,2.624825103,4.16706136,4.029746213,5.215574707,7.92568166,1.472429341,0,2.778287906,9.585422204,1.491507914,2.987113133,4.036130332,10.78246054,8.445196268,0.867220834,3.691926313,2.079344975,3.328908479,3.326171082,8.885787758,2.166174697,7.308231796,2.705192013,3.452550045,0,2.870031234,2.668103113,0,3.051756376,2.454581215,9.748366075,6.975816295,2.907105763,0,0,1.539129054,3.288770999,0,3.010064049,2.427044232,0,3.676778398,6.880889997,0
Gstm7,0,0,0,5.529298128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.154940771,6.760766816,0,0,0,0,0,0,0,9.840545574,0,0,0,0,0,0,0,0,0,1.386325359,0,0,0.900995535,0,0,6.864762715,0,0,0,0,0,0,0,1.46035603,0,0,0,9.505337534,0,0,0,0,7.704936051,10.04254174,0.93543081,0,0,1.034251327,0,0,0,8.257794112,4.584197639,0.928999481,9.761904667,0.926095969,0,0,0,1.214996296,0,6.029185466,0,6.537084108,11.08660798,7.975270304,0,0,0,0,0,0,0.988099603,1.516297294,0.950397505,0,0,0,0,0,7.67365765,0,0,8.870279856,7.273610144,9.569240251,0.949569484,0.938908874,7.837099443,0,0.89276883,0
Hnf4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8506179,0,1.751253888,0,0,0,10.4743432,0,0,0,0,1.860257499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hpgds,1.019029626,4.266648385,4.689407384,6.125155819,1.899338735,4.446533084,3.177722728,2.945173632,2.827837117,5.252846669,3.867710512,3.641085871,4.600415682,4.568644458,5.704608665,2.42096375,4.358298464,4.065446515,4.640298768,5.388854096,5.144006071,6.544682298,4.939840046,4.932532802,3.719599787,5.897315364,3.778891675,2.651628248,4.229807107,5.055839601,3.647709206,5.080312006,5.047688581,4.147845555,4.98285981,3.872378038,4.708757409,5.136730873,4.859149419,4.983949145,3.917479139,10.2994722,5.189020671,3.75434526,4.623003462,2.147141081,4.273719229,4.075709124,3.28879205,8.717534762,2.296952059,12.12792483,2.537979279,3.523369559,4.227877728,2.314702297,2.316314654,10.72564412,4.999663052,10.67205301,4.295549316,11.29455332,3.709954998,4.386128674,4.664577615,3.161323835,1.01779447,5.078936969,4.901939728,0.93543081,4.28447426,4.332397078,7.844757529,5.609889401,9.783680707,4.833905241,7.759787985,4.906148875,3.330428304,5.962715943,4.498956616,1.61978056,3.997455777,3.790999963,1.925723568,0,0.868444058,0.867220834,4.190899031,8.661425075,3.084661164,4.075244635,2.784102078,6.326470598,8.147683826,4.587521281,1.437260898,5.185475092,3.309558933,6.229464889,1.38359633,3.19809309,4.463357217,2.894502971,4.015690076,2.72042589,3.467779444,2.546075356,6.139112569,3.619530556,4.657402546,2.204832064,3.118987769,2.837697669,10.70528661,3.303637239,1.024008758
Id2,0,1.591947526,0,7.296785785,1.19834932,4.479372724,1.229310958,0,0,0,0,0,9.44868443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823833145,0,0,0,0,0,1.005029767,5.921984558,0,7.847175142,0,0,0,10.14301999,1.583076492,0,2.786144712,9.125685523,10.13358715,9.48563036,0,8.541455954,1.123469435,0,0.931623585,7.538191643,0,0.974417955,6.110565237,5.328746355,10.43716949,2.03558894,1.025178788,10.15201664,9.680519164,0.991333999,8.36714666,1.639249569,11.78545803,8.917741995,7.510140145,11.52341767,1.339002368,0,0.91184755,0,10.75474093,6.956442146,7.896669885,0,0,0,0.867220834,0.969682729,8.565242749,7.396832419,10.08565439,0.99171717,7.658768675,10.11400147,0.901730671,8.658973536,12.94297298,8.213036841,3.287835178,0,9.263360483,8.972549023,0,8.455818477,1.53588454,10.43123479,0.848691785,3.969262878,0.950668018,0,0,7.875583869,7.391426836,0,0,2.377674705
Il12rb2,0,0,0,0,0,0,0,0,6.169898283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.758003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.527947214,0,0,0,0,0,0,0,0,0,0,0,1.199927215,0,0,0,0,1.835635933,0,0,0,0,0,0,0,0,0,0,9.969365325,0,0,0.991333999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.478644267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848691785,0,0,0,0,6.848984157,0,0,4.814092918,0
Il15,0,1.00440706,0.907055205,0,1.19834932,0,1.229310958,0,0,10.39710668,2.925165687,0,8.827161072,0,0,9.813013897,6.113161083,1.610895069,8.531429678,0,0,0.920680844,0,0,1.387835871,0,0,5.92235841,0.862013739,0,8.410004691,0,5.030593148,1.474219189,8.514740671,0,0,0,0,0,0,0,0,0.938586315,0,10.42599431,2.049782299,0,0,0,6.481833549,0,0,0,0,0,0,0,5.905497888,0,0,2.812298417,0,0,0,0,0,0,9.445949996,0,7.952845963,3.22741076,0,6.837410763,0,0,0,3.216516008,0,0,0,5.767839011,7.496095521,5.40295557,0,0.912516328,0,9.219578236,0,0,0,0,0,0,0,0,0,1.566100817,0,0,0,0,0,0,0,0,0,0,0.971082315,0,9.61338532,0,6.787202021,7.446015835,10.11057641,0,0
Il1rapl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.856769884,0,0,0,0,0,0,0,0,0,1.84276414,1.86324717,1.387494678,3.054249259,2.735537043,7.280278852,1.940600472,2.315627854,2.03558894,0,0,0,0,2.798792792,2.673500896,8.918937651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.026181384,0,0,0,0,0,0.950397505,0,0,0,0,0,0,0,0,2.726172716,2.852004053,0,0,0,0,9.766882647,5.824032777,3.401683464
Itgb3,0,1.00440706,0,0,0,1.707101599,0,0.886585606,0.851263795,0.945676955,0,10.13777312,1.399664386,0,0,1.873113246,4.819606405,0,1.433865028,1.824599257,0.82583975,0.920680844,3.84782277,1.722276991,1.387835871,1.899463613,2.299543305,0.883876083,8.505729837,0.905259364,0,0,0.823536549,0,2.274187065,0,1.402349634,1.428227683,0,4.683226588,0.922209507,0,2.637324038,0,8.830180458,0,0,0.900995535,8.468498676,6.221406776,5.044471275,6.470388426,1.55615487,11.86364169,4.774731099,4.685812035,1.835635933,2.24693887,1.46035603,0,6.157140612,2.175891074,3.605774904,9.563182631,1.537889488,5.569808454,2.857310314,7.440120072,8.637221739,8.105822199,2.562561212,10.36835382,6.575306595,7.615105325,1.422230948,0.890834756,7.005973761,3.216516008,10.63816918,10.34173616,0,6.40445374,8.561582276,8.351985531,3.140719864,2.358820488,0.868444058,0,9.421400542,2.687514394,4.200468972,1.470547163,8.631810619,1.478644267,7.031624389,6.270812105,1.437260898,2.294296228,9.611853148,0.950397505,2.618856275,6.565935984,1.899123267,7.105268672,6.016883646,8.613505574,6.705206477,5.092150712,1.94216463,10.97817975,0,6.267075834,5.094768134,2.248822197,1.530604843,9.023408367,10.01115305
Jam2,0,0,0,0,0,0,1.229310958,0,0,0,0,8.587718339,0,0,0,0,0.888199641,0,0,0,0,0,0,0,0,8.905835099,0,0,0,0,0,0,0,0,0,0,0,0.90111134,0,0,0,1.005029767,7.285203257,0,0,0,0,0,1.171491365,0,1.14847603,1.901839639,10.26226558,11.1013761,1.937031396,0,1.158157327,0,0,3.547021642,0,0,0,4.073710158,8.588854183,5.628542343,0,9.877403915,0.927448759,0.93543081,7.796035097,1.478660541,1.034251327,2.963821444,0,0,0,0,0,1.823695101,0.926095969,9.783958674,10.53930294,7.848782192,2.429992592,0,2.244895323,0,10.39274573,1.647841906,0,1.470547163,0,0,0,0,0.906810664,0,9.581518009,0,0.872952092,7.870180387,0,5.558547685,5.371711032,0.969035254,1.093962615,0.848691785,0,0.950668018,0,6.439372246,0.938908874,0,4.953369828,0,0
Jun,7.013617171,7.086375489,4.760159969,8.819142472,4.296037375,5.993947659,6.670566724,6.656302659,2.944888889,8.227805336,10.33649704,8.223793984,6.239992038,8.29841739,7.438682567,8.488382688,2.062335699,8.970965196,0,10.00671064,5.929454329,0,5.973351759,0,8.031624668,4.034391872,9.512763273,1.400910446,6.551229283,6.893287389,6.05684413,7.651128846,6.815690929,8.323133623,8.305427989,7.442033286,0.884784109,5.278693105,9.824634537,7.982889575,8.82716129,5.862228093,0,4.18556149,5.01006262,0,0,6.306968744,2.34298273,8.908250334,8.973940399,10.98207566,9.880486927,11.5746115,6.459452531,9.895405542,4.285691372,7.496265928,6.651612435,9.648314914,6.433162424,8.514858498,1.544415919,10.26164309,7.518073349,9.718392538,8.022910503,10.79654888,7.055409058,1.482622756,11.38977955,9.314772806,8.020502687,8.169955191,9.341587636,4.327658316,9.31780371,6.388706677,9.214618802,10.68473454,9.486162134,7.407148172,7.29133399,6.381858613,0,6.356391894,7.086391772,10.18025046,7.917369234,9.70342484,9.214559148,9.834725904,10.46335674,4.860006687,9.220853118,9.139679935,8.741876913,9.560809301,10.28735598,9.10773795,5.177249564,7.674379948,10.40375444,7.214392276,7.641275186,9.712027741,12.29700548,5.111134091,3.884329259,8.415074714,9.432964926,0.949569484,4.77666401,4.713313805,9.243481123,8.811953966,4.755349411
Kcnip3,0,0,2.106116965,1.864624182,0,0.853550799,0,0,5.217636723,0,2.791317446,0.842467943,0.883089906,0,0,0.936556623,0,0,0,0.912299628,1.308925035,1.459244613,2.825691499,1.364872223,0,0.949731807,0.889584783,1.400910446,7.42599824,0.905259364,0.958069127,5.247588518,0.823536549,0.93012875,1.958878115,1.305744642,0,0,0.980814872,2.491974572,7.723540988,0,0.939433777,0,6.189906018,0,0,0,0,0,0,0,2.537979279,0,0,0.996888018,0,0,1.46035603,5.651311759,0,3.763673191,0.974417955,2.631677204,0,0,0,1.025178788,1.469971504,1.482622756,0,0,0,4.975904668,0,1.411939683,0.898098149,0.844816434,6.185475014,0,9.64303896,1.02196775,4.82684367,0.995704378,0,0,0,8.11887269,7.037363652,2.079344975,0,0,0,8.826809677,0,1.429209299,0.906810664,1.566100817,0,0.950397505,0,0,3.284943539,0,0.929143194,0.969035254,1.093962615,1.345144654,1.539129054,0,11.0656391,1.505032025,10.35290071,0,0,5.01263794,0
Kdr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823833145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46087432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.956442146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.418848834,0,0,0
Klhl4,0,0,0,5.05897224,1.19834932,0,0,0,0,0,0,0,0,0,0,0,9.589038501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.171491365,10.23928377,0,1.901839639,0.981824409,0,1.222130741,1.580030126,0,1.123469435,0,5.8029144,0,1.087945537,7.089986266,7.823856356,9.489263997,12.13877574,1.613166068,10.13304195,5.776910164,7.29113675,0.991333999,10.05979256,0,8.80156859,1.422230948,0.890834756,0,0,0.928999481,1.445244174,0.926095969,10.3144723,0,0.995704378,0,0,10.67818746,0,0,0,0.928575537,10.22410807,1.98343434,1.478644267,10.63601604,10.13616631,7.791731672,2.964298809,1.913354156,11.45537599,0,5.70965101,9.654590183,0,5.442903174,0.969035254,9.133196484,6.118603848,2.510211369,2.852004053,1.096394072,6.873368256,0.938908874,1.418848834,2.242295566,9.247880917,13.34245762
Klrb1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785961648,0,0,0,0,0,0,5.481348945,0,0,0,0,2.890488347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.364567306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949569484,0,0,0,0,0
Klrb1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.199927215,0,0,0,0,0,1.123469435,0,5.651311759,0,0,2.262528427,0,0,5.377686093,0,10.62396841,0,0,0.991333999,0,0,0,10.14473232,0,0,0,0,10.23347804,0.926095969,0,5.19787463,1.5781541,0,0,0,0,0,0,4.200468972,0,0,0.932920663,9.107400798,0,0,0.988099603,2.870031234,0,0,0,0,0,0,0,0,0,0,0,0,7.525160123,0,1.418848834,0.965704137,1.785537661,0
