Genes,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Bcl6,0,0,0,0,0,0,5.560864282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.261550088,0,0,0,0,0,1.84276414,0,0,0,0,0,1.940600472,0,0,9.223717555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.862418008,0,0,0,0,0,0,0,5.985086995,0,0,0,0,0,0,0,0,0,0,0,0,0
Bmpr1a,0,8.34951833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.160344154,0,5.912280991,3.251358672,1.123469435,9.660527822,0,0,0,10.74309395,0,10.36741411,0.997286634,0,0,0,0,1.982667997,0,1.034251327,0,0,5.968984584,0,0.844816434,7.929266397,0,0,0,0.941036721,10.35832461,1.214996296,0,6.069281686,8.97175097,1.536910764,2.079344975,10.53042405,0,4.422494904,0,0.898432355,11.26293124,0.906810664,5.185475092,4.327588035,0,8.303304374,0,2.204813835,0,0,0,0,0,0,0,0,1.505032025,1.488135358,8.995288787,0,0,6.970791061
Btg2,0,1.591947526,0,10.37956309,1.19834932,5.101912056,0,0,0,0,0,7.052035799,2.050471263,6.53410678,0,0.936556623,0,0,0,0,0,0.920680844,0,5.862075375,9.823806245,2.205208965,0,8.96774676,0,0,0,3.193026847,7.982940793,0,0,0,1.402349634,0,0,0,0,1.005029767,0,0.938586315,0,0,1.02489115,4.235075198,10.31017824,10.44698553,12.49494058,5.572289423,4.441343544,14.71748697,3.159162137,1.580030126,10.81959223,12.43920256,1.46035603,0.931623585,3.33300295,1.724352879,2.262528427,10.89649359,3.075778977,2.577948552,12.47759944,13.32696311,2.397420263,11.88624976,2.974001996,12.74653349,2.903510552,8.43054954,1.422230948,0.890834756,3.106909134,2.183818802,12.13713925,11.31450508,9.157925259,9.043007275,12.33314116,12.74228404,2.821134035,7.198607019,10.65250929,0.867220834,11.80702481,3.727186881,11.44523814,12.93450047,7.716908033,12.58460687,0.898432355,8.379171421,8.967217833,13.10557601,3.989271666,13.97778617,9.029105604,0,2.454581215,10.87953338,9.368996193,0.969035254,12.46921481,2.19383644,1.94216463,11.57401582,1.737743491,11.88241958,11.72659358,5.086519865,2.89711241,6.427643058,3.246030965
C4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998810061,0,0,0,0,1.222130741,0.996888018,0,0,0,0,0,0,0,0,0,0.997286634,0,0,0,0,0,0,0,0,0,0,5.283190834,0,0,0,0,0,0.941036721,7.667361537,0,0,0,0,1.536910764,0,8.144990544,1.470547163,0.99171717,0,0,0,0,0,10.10374209,0,0,0,8.183688216,0,0.929143194,0,0,0,0,0,0,0,0,0,0,0,0
Camk1d,0,1.00440706,0,1.864624182,3.097688055,0,0,0,1.349221194,1.891353909,0,1.684935885,0.883089906,0,0,0,1.407763124,0,0,3.804221029,0,12.10394042,0.8506179,5.548266668,4.253779053,0.949731807,0,0.883876083,7.6330182,1.810518728,0,0,0,2.159692075,7.982180637,0.823833145,1.402349634,1.80222268,3.109109584,6.862853961,10.40750522,2.010059534,1.488967309,4.995088879,0.874673917,0,1.02489115,0.900995535,1.171491365,0,0,1.199927215,0.981824409,0,0,0,0,0,1.84276414,0,0,0,0,0,0,0,0,1.025178788,0.927448759,0,0,1.478660541,0,1.481910722,0,0,0.898098149,1.961603013,0,0,0.926095969,0,0,0,0,0,0.868444058,0,0,1.039672488,0.928575537,0.927811959,0,0.932920663,0,1.803461342,0,0,0,0.950397505,0,0,0,0,0.929143194,0,2.18792523,0,0.971082315,1.506773159,0,0,0.938908874,0,0,0,0
Casp12,0,10.61070633,0.907055205,0.932312091,1.899338735,0.853550799,4.917243832,0,0,1.498862511,0,3.207574468,8.953005489,2.321348572,1.103421938,10.68703008,0,9.985711067,0,0.912299628,0,0,1.348197473,8.895385276,0,2.84919542,0,0,0,2.10194715,0,0,0,0,1.552374178,2.129577788,0,6.743751264,0,0.964027359,0,0,0,0,4.521998552,0,0,0,0,9.396073689,0,8.579176147,1.55615487,8.08374566,1.222130741,0,5.506907799,0,0,0.931623585,7.710061327,10.97893209,6.245425611,7.442221529,9.774941837,8.440559735,2.03558894,0,5.812123399,8.819578597,3.142454427,2.957321082,0,8.767518994,0,4.569343587,0,7.800713647,0,9.463422741,8.801454704,6.584480467,7.664422484,0.995704378,0,0,0,0.867220834,6.076794678,0,0,0.927811959,0,4.160295901,8.74597809,9.344670679,10.06142434,0,9.494840627,7.896224683,0.872952092,8.609154995,7.75784733,7.105268672,9.345314558,8.12410502,1.093962615,6.5470168,0,0,10.81333714,11.25146218,3.668214252,7.601556417,5.772283948,7.924677652,1.024008758
Cd200r4,0,0,4.21223393,0,1.19834932,0,0,0,4.001314154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.307211968,1.005029767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995704378,0,0,0,0,8.456699265,1.039672488,0,0,0,5.181990713,0,0,0,0,0,7.608525595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd34,7.346646565,1.591947526,7.600558766,0,11.55021312,8.72773398,3.451112169,0.886585606,4.986687134,10.28567142,7.083592714,7.498694948,0,0,0,0.936556623,0.888199641,0,3.772398166,0,0,1.459244613,0.8506179,10.23883696,8.197570216,0,0,5.885033883,3.448054955,4.643331481,0,0,8.023841272,8.026412682,11.90242241,6.881599224,9.584768942,4.859078379,0.980814872,8.400771091,10.25877043,9.688733124,1.488967309,11.6352836,2.030929942,0,0,8.106418539,0,0.998810061,10.01989503,1.199927215,7.32385204,2.160344154,0,0,0,7.799702848,6.428740619,8.938299084,9.841884644,1.724352879,8.286280488,0,1.940600472,0,1.01779447,0,0,1.482622756,0,3.09912947,0,0,0,8.788738095,1.423451888,6.382240813,9.460591987,0,0,1.02196775,1.491507914,0,0,0.912516328,5.692293738,7.251651856,0.969682729,0,8.970035872,0,0,0.932920663,8.783463753,0,0,0,0,0,0,0,4.409627669,9.843112907,1.858286389,11.66646911,0,6.907970369,0,0,9.366529449,0.949569484,3.91517959,1.418848834,0,0,1.024008758
Cd37,7.674700831,1.00440706,0,7.442641432,4.145607528,0,0,10.25303083,4.80441044,0.945676955,0.880562614,0,0,0,1.103421938,0,0,0,0,0,0,0,5.934999194,5.04453294,0,0,0,0,3.59453264,3.621037455,0,1.523460976,8.009896134,0,0.979439057,8.523800953,0,2.092315737,0,7.151012769,0,0,2.818301331,9.995246113,0,0,0,0,1.856769884,0,1.14847603,0,0,0,0,0,0,1.780656925,0,6.002398118,0.875411675,0,8.547096834,0,0.970300236,5.271060989,0,0,0,0,0,0,0,0,0,0,0,6.545800652,0,0,0,0,10.42243258,0.995704378,1.925723568,0,0,0,0.969682729,0,0.928575537,0,0,0,0,0,0,5.604921228,0,0,0,0,0,0,0,0,0,0,1.539129054,10.01647325,0,0,1.488135358,1.418848834,0,2.96571386,1.024008758
Cd38,4.672212621,3.01322118,4.044950663,5.340209496,3.097688055,4.602616846,3.896823541,3.37554607,3.405055181,5.926355611,6.382253998,4.286024353,3.994711902,5.346988632,5.987459572,2.629246845,8.586324998,1.016361629,3.534439327,4.82187048,3.226465553,5.322787142,4.939840046,5.08665088,4.115831666,6.865439036,4.525729527,3.820048874,5.352634111,4.304406435,4.333885053,5.531579785,4.623918766,1.474219189,6.174169074,4.718850725,0,2.329339023,5.793566142,3.567325128,5.23116458,4.608023795,4.893936452,0,9.383432205,0,6.669781131,2.856088272,4.68596546,4.749229476,8.981288086,2.399854429,4.378378813,10.5053263,4.888522964,5.193241641,9.122245812,4.027595795,4.278765829,9.445053121,0,2.812298417,3.982897184,8.599019621,9.473247262,5.073658693,5.220555889,6.196584637,10.72603957,0,4.765694378,6.855855797,6.360384117,9.264164457,6.88468072,3.97261668,2.521280259,4.718268103,4.314139991,3.471727259,0.926095969,5.738052385,11.35811127,8.351985531,0,0,7.833009969,5.350687507,5.051516958,3.847245367,5.571453221,1.470547163,3.874530484,4.895900014,5.146149064,3.522963078,3.452550045,5.185475092,4.59908626,3.407139415,10.99891739,7.220266251,6.267024019,3.878842181,10.40096015,3.352311198,1.733889722,2.690289309,5.36383333,4.795544158,1.737743491,4.659433573,9.083184974,2.248822197,10.52117058,3.303637239,0
