Best20 genes, RNDforest scaled
X	Y	ages	KMeans	mismatches
FileGSE100426_SC_Mann_corr_sel_norm_log.tsv0.862
-0.12077135280644942	-0.03469010409114903	1	1	1
0.014418804605550261	-0.08202335777401584	1	0	2
-0.1575194698959831	0.03008247195246461	1	1	1
-0.24293797431620742	0.03417471174483012	1	1	1
-0.14290657724126737	0.003702225142295991	1	1	1
-0.22625014193829673	0.15318495693778414	1	1	1
-0.02976581742121961	-0.2578243867436362	1	0	2
-0.095174476063826	-0.10363393987529161	1	1	1
-0.22969182166998256	-0.06636811094945096	1	1	1
-0.09884993822274483	-0.06212190720920424	1	1	1
-0.14131291567653653	-0.1633474265365705	1	1	1
-0.07453309740349166	0.2516964399732188	1	1	1
0.0004469547358672519	0.058430072025673845	1	1	1
-0.07420563814888105	-0.0721193429199478	1	1	1
-0.23784754852805143	-0.03370027052351762	1	1	1
-0.2808066800185113	-0.04459909411459878	1	1	1
-0.00254498717493335	0.09509521277755958	1	1	1
-0.19421225699310274	0.066481343477082	1	1	1
-0.06600937094729158	-0.20676466202212287	1	1	1
0.14387414454028669	0.23621102645821113	1	0	2
-0.04773297327146032	-0.18863800538547515	1	1	1
-0.1507210664051037	-0.04471545012880303	1	1	1
-0.26791414057256285	-0.05239467418253251	1	1	1
-0.15126126794477324	-0.08582316227590371	1	1	1
0.007296586900059997	0.13824523477285905	1	1	1
-0.11273258822765193	-0.1917348330292029	1	1	1
-0.03727924252139163	0.06401849958956786	1	1	1
-0.06760515977493167	-0.1607440431662554	1	1	1
-0.1486921486128662	0.18679684804838415	1	1	1
-0.14672080050298764	-0.20738054817687154	1	1	1
-0.13025268849374336	0.0963016037082886	1	1	1
-0.14488997526363456	0.08492504293655011	1	1	1
-0.05619087738486106	0.054631195260394755	1	1	1
-0.15164798211952127	-0.12566540178838828	1	1	1
-0.16963886167734957	-0.097926177069069	1	1	1
0.029192224895869957	-0.1721832984003856	1	0	2
-0.10647705938795954	0.0016569072656897233	1	1	1
-0.21390929977929393	-0.13322170782508644	1	1	1
0.018447571601846815	0.26822111277560157	1	1	1
0.026167250227490342	-0.0087353599563795	1	0	2
-0.11626062065211164	-0.13242742098725716	1	1	1
-0.029356623057196083	-0.16122385236743023	1	0	2
-0.0015331157177070427	0.1987119417591885	1	1	1
-0.18243644708504075	-0.058606824156928805	1	1	1
-0.2589254227382558	-0.10786690346530721	1	1	1
-0.09195913413012263	-0.2581549326894764	1	1	1
-0.038455626506699536	-0.20303486751350802	1	0	2
-0.21879358071190913	-0.11422209040645702	1	1	1
0.01151024128481695	0.08106249587872873	1	1	1
-0.033073658231563864	-0.1412031742100638	1	1	1
-0.11069933473083411	-0.16948649127385604	1	1	1
0.037174460504563654	-0.02987304995376403	1	0	2
-0.029965633022395487	-0.03700553487293605	1	1	1
0.05390836163757025	-0.10019629771238378	1	0	2
-0.025140440012252987	-0.010036557675386588	1	1	1
-0.20143036321320393	0.053286834369623545	1	1	1
-0.055056353662522366	0.1548584021814953	1	1	1
0.07182511638516383	0.02749705328224595	1	0	2
-0.2993882779858169	-0.017827242474914944	1	1	1
0.051793095384032865	0.18000015536163036	1	0	2
-0.21182049309764447	0.09870108178638547	1	1	1
-0.11566151618783439	0.0965800485190167	1	1	1
-0.022556751506431792	-0.18925324862917123	1	0	2
-0.23860110335203127	-0.15372051546485532	1	1	1
-0.3051197830077334	0.05370261653920586	1	1	1
