PC1,PC2,ages.actual,ages.predicted,mismatches,study
0.236188883,-0.094561126,0,0,0,Mann
0.112067388,-0.081314014,0,0,0,Mann
0.127824422,-0.164940921,0,0,0,Mann
0.230211548,0.145778274,0,0,0,Mann
0.179204626,0.186327322,0,0,0,Mann
0.074692733,-0.135623327,0,0,0,Mann
0.216299806,0.061274281,0,0,0,Mann
0.135806739,0.089057633,0,0,0,Mann
0.112647056,0.098924047,0,0,0,Mann
0.066651235,-0.171691849,0,0,0,Mann
0.187189828,-0.074273379,0,0,0,Mann
0.269646828,-0.038889262,0,0,0,Mann
0.070425048,-0.134733987,0,0,0,Mann
0.176235962,0.052115092,0,0,0,Mann
0.014513442,-0.155151207,0,0,0,Mann
0.157701216,-0.058739694,0,0,0,Mann
0.181424626,-0.002169735,0,0,0,Mann
0.14281642,-0.097869843,0,0,0,Mann
0.15223172,0.119871038,0,0,0,Mann
0.042016061,-0.040650805,0,0,0,Mann
0.014386999,-0.191766514,0,0,0,Mann
0.174696722,0.215289592,0,0,0,Mann
-0.042337011,0.04995822,0,1,2,Mann
0.110715793,0.075525002,0,0,0,Mann
0.045974131,-0.080694695,0,0,0,Mann
0.225529997,0.085930211,0,0,0,Mann
0.108246957,0.162645891,0,0,0,Mann
0.214926219,-0.014255746,0,0,0,Mann
0.133223107,-0.117768769,0,0,0,Mann
0.089117234,-0.117780996,0,0,0,Mann
0.085503188,0.095941395,0,0,0,Mann
0.001389744,0.309067333,0,1,2,Mann
0.105294366,-0.144694664,0,0,0,Mann
0.101477303,-0.192724731,0,0,0,Mann
0.180422987,-0.127873191,0,0,0,Mann
0.186944412,-0.131866617,0,0,0,Mann
0.047208764,0.018763202,0,0,0,Mann
0.092964331,0.042537023,0,0,0,Mann
0.170300219,0.094327209,0,0,0,Mann
-0.011887198,-0.09516579,1,0,2,Mann
-0.120771353,-0.034690104,1,1,1,Mann
0.014418805,-0.082023358,1,0,2,Mann
-0.15751947,0.030082472,1,1,1,Mann
-0.242937974,0.034174712,1,1,1,Mann
-0.142906577,0.003702225,1,1,1,Mann
-0.226250142,0.153184957,1,1,1,Mann
-0.029765817,-0.257824387,1,0,2,Mann
-0.095174476,-0.10363394,1,1,1,Mann
-0.229691822,-0.066368111,1,1,1,Mann
-0.098849938,-0.062121907,1,1,1,Mann
-0.141312916,-0.163347427,1,1,1,Mann
-0.074533097,0.25169644,1,1,1,Mann
0.000446955,0.058430072,1,1,1,Mann
-0.074205638,-0.072119343,1,1,1,Mann
-0.237847549,-0.033700271,1,1,1,Mann
-0.28080668,-0.044599094,1,1,1,Mann
-0.002544987,0.095095213,1,1,1,Mann
-0.194212257,0.066481343,1,1,1,Mann
-0.066009371,-0.206764662,1,1,1,Mann
0.143874145,0.236211026,1,0,2,Mann
-0.047732973,-0.188638005,1,1,1,Mann
-0.150721066,-0.04471545,1,1,1,Mann
-0.267914141,-0.052394674,1,1,1,Mann
-0.151261268,-0.085823162,1,1,1,Mann
0.007296587,0.138245235,1,1,1,Mann
-0.112732588,-0.191734833,1,1,1,Mann
-0.037279243,0.0640185,1,1,1,Mann
-0.06760516,-0.160744043,1,1,1,Mann
-0.148692149,0.186796848,1,1,1,Mann
-0.146720801,-0.207380548,1,1,1,Mann
-0.130252688,0.096301604,1,1,1,Mann
-0.144889975,0.084925043,1,1,1,Mann
-0.056190877,0.054631195,1,1,1,Mann
-0.151647982,-0.125665402,1,1,1,Mann
-0.169638862,-0.097926177,1,1,1,Mann
0.029192225,-0.172183298,1,0,2,Mann
-0.106477059,0.001656907,1,1,1,Mann
-0.2139093,-0.133221708,1,1,1,Mann
0.018447572,0.268221113,1,1,1,Mann
0.02616725,-0.00873536,1,0,2,Mann
-0.116260621,-0.132427421,1,1,1,Mann
-0.029356623,-0.161223852,1,0,2,Mann
-0.001533116,0.198711942,1,1,1,Mann
-0.182436447,-0.058606824,1,1,1,Mann
-0.258925423,-0.107866903,1,1,1,Mann
-0.091959134,-0.258154933,1,1,1,Mann
-0.038455627,-0.203034868,1,0,2,Mann
-0.218793581,-0.11422209,1,1,1,Mann
0.011510241,0.081062496,1,1,1,Mann
-0.033073658,-0.141203174,1,1,1,Mann
-0.110699335,-0.169486491,1,1,1,Mann
0.037174461,-0.02987305,1,0,2,Mann
-0.029965633,-0.037005535,1,1,1,Mann
