PC1,PC2,ages.actual,ages.predicted,mismatches,study
0.184433041,0.52256434,1,1,1,Mann
-0.033545616,0.907047215,1,1,1,Mann
0.016803683,0.731534749,1,1,1,Mann
-0.712650101,0.006794262,1,1,1,Mann
-0.1189592,0.046470183,1,1,1,Mann
-0.196793404,-0.359443766,1,0,2,Mann
-0.558404972,-0.78543379,1,0,2,Mann
-0.15062085,0.151160363,1,1,1,Mann
-0.593533497,-0.38809271,1,1,1,Mann
0.068296794,0.439518671,1,1,1,Mann
-0.565608428,-0.312497473,1,1,1,Mann
-0.272750722,0.196403064,1,1,1,Mann
0.061085826,0.831688452,1,1,1,Mann
0.302469198,0.583182236,1,1,1,Mann
-0.339906324,-0.515815366,1,0,2,Mann
-0.264819474,0.977326424,1,1,1,Mann
-0.442556212,-0.625944885,1,0,2,Mann
-0.348008794,0.547244344,1,1,1,Mann
0.648812647,0.486904636,1,0,2,Mann
-0.297693506,-0.189683516,1,1,1,Mann
0.269943016,0.494513428,1,1,1,Mann
0.612705417,0.473969603,1,0,2,Mann
-0.443029929,-0.480581681,1,1,1,Mann
-0.403112393,0.667396296,1,1,1,Mann
0.2125772,0.788112914,1,1,1,Mann
-0.484990425,0.431708842,1,1,1,Mann
-0.776898249,0.528734272,1,1,1,Mann
0.407798329,0.388320725,1,0,2,Mann
-0.137794609,0.607370806,1,1,1,Mann
-0.231715207,-0.119923911,1,1,1,Mann
-0.041390743,0.206790438,1,1,1,Mann
0.545473722,0.308945259,1,0,2,Mann
-0.200063261,0.381427929,1,1,1,Mann
-0.12803506,0.847301402,1,1,1,Mann
-0.514791339,0.29632793,1,1,1,Mann
0.023005247,0.479556924,1,1,1,Mann
-0.966316477,-0.045263625,1,1,1,Mann
-0.707676204,0.584989617,1,1,1,Mann
-0.941751246,-0.302213199,1,1,1,Mann
-0.558340131,0.06560733,1,1,1,Mann
0.657215118,0.729654897,1,0,2,Mann
-0.31686723,0.409135315,1,1,1,Mann
-0.322030483,0.591183636,1,1,1,Mann
0.13024816,0.377541134,1,1,1,Mann
-0.113985943,0.359151788,1,1,1,Mann
0.65248283,0.111829312,0,0,0,Kirschner
-0.088630267,0.632172498,0,0,0,Kirschner
0.169312339,0.176288234,0,0,0,Kirschner
-0.765921667,-0.345965959,0,1,2,Kirschner
0.115040414,-0.668841104,0,1,2,Kirschner
0.804278643,-0.068394499,0,0,0,Kirschner
0.150998461,0.968060332,0,0,0,Kirschner
-0.008861134,-0.440237931,0,1,2,Kirschner
0.034392493,0.620058814,0,0,0,Kirschner
1.042919513,-0.111584892,0,0,0,Kirschner
0.062307378,0.022159469,0,0,0,Kirschner
-0.182529715,0.26629991,0,0,0,Kirschner
-0.596841238,0.679905408,0,0,0,Kirschner
0.506857039,-0.155240793,0,0,0,Kirschner
0.113741879,0.303922259,0,0,0,Kirschner
0.321990461,0.47452535,0,0,0,Kirschner
0.783564543,-0.28560577,0,0,0,Kirschner
0.439679159,-0.8372325,0,1,2,Kirschner
0.042866839,-0.307945704,0,1,2,Kirschner
0.295455881,-0.123791422,0,0,0,Kirschner
0.412368593,0.276770186,0,0,0,Kirschner
0.715656287,0.352927735,0,0,0,Kirschner
0.181857077,0.081556794,0,0,0,Kirschner
0.460492279,0.380805651,0,0,0,Kirschner
0.310145516,-0.052351711,0,0,0,Kirschner
0.078106597,0.096631627,0,0,0,Kirschner
0.041380907,0.456615603,0,0,0,Kirschner
0.214166571,0.562793215,0,0,0,Kirschner
0.219345271,-0.23611863,0,0,0,Kirschner
0.535895788,0.23219028,0,0,0,Kirschner
0.549826631,0.301344322,0,0,0,Kirschner
0.430301973,-0.243425189,0,0,0,Kirschner
-0.644810379,-0.555104182,0,1,2,Kirschner
-0.012752283,0.858447025,0,0,0,Kirschner
-0.055756874,0.189448284,0,0,0,Kirschner
-0.112073884,-0.417383455,0,1,2,Kirschner
0.388933518,0.185352794,0,0,0,Kirschner
-0.361711184,0.698750406,0,0,0,Kirschner
0.783651118,0.47348786,0,0,0,Kirschner
-1.142726913,-0.304390272,0,1,2,Kirschner
-0.622501899,0.00781903,0,1,2,Kirschner
-0.653909814,0.475279624,0,1,2,Kirschner
1.034188558,-0.337624865,0,0,0,Kirschner
0.630616002,-0.059589007,0,0,0,Kirschner
0.496200881,-0.537192971,0,0,0,Kirschner
0.990571467,0.464778894,0,0,0,Kirschner
0.510944187,0.763069208,0,0,0,Kirschner
0.117657532,0.639826843,0,0,0,Kirschner
0.402968173,0.066056059,0,0,0,Kirschner
0.392138183,-0.004781844,0,0,0,Kirschner
