PC1,PC2,ages.actual,ages.predicted,mismatches,study
0.026631916,-0.099774121,1,0,2,Mann
0.149534674,-0.023912867,1,1,1,Mann
0.031294164,-0.091553521,1,0,2,Mann
-0.066139608,0.10285785,1,0,2,Mann
-0.014305944,0.053670447,0,1,2,Kirschner
-0.022277712,0.055734595,0,1,2,Kirschner
-0.154551811,-0.050759523,0,1,2,Kirschner
-0.028955255,0.057075107,0,1,2,Kirschner
0.07220214,0.114782041,0,1,2,Kirschner
-0.105404174,-0.140997914,0,0,0,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
0.073167842,0.117798298,0,1,2,Kirschner
0.003234564,-0.095618573,0,0,0,Kirschner
-0.080690018,-0.160354743,0,0,0,Kirschner
0.015718918,0.140202124,0,1,2,Kirschner
-0.063965667,0.084012667,0,1,2,Kirschner
-0.02536764,0.115229032,0,1,2,Kirschner
0.042302915,0.124102419,0,1,2,Kirschner
-0.047238369,0.046706055,0,1,2,Kirschner
-0.178477892,-0.024270126,0,1,2,Kirschner
0.093855397,-0.030058398,0,0,0,Kirschner
-0.035487541,0.056869464,0,1,2,Kirschner
-0.110971071,0.040819169,0,1,2,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
-0.059320035,0.078777371,0,1,2,Kirschner
-0.056657854,0.075740692,0,1,2,Kirschner
-0.047204021,0.065601878,0,1,2,Kirschner
-0.069357074,0.014118089,0,1,2,Kirschner
-0.050475352,0.068852537,0,1,2,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
-0.035055965,0.056514891,0,1,2,Kirschner
0.001667211,0.065920235,0,1,2,Kirschner
-0.074023198,0.095546157,0,1,2,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
0.007064028,-0.003988926,0,1,2,Kirschner
-0.042405081,0.061701908,0,1,2,Kirschner
0.133409709,0.036094559,0,0,0,Kirschner
-0.079883481,0.041720473,0,1,2,Kirschner
-0.06312709,0.101972077,0,1,2,Kirschner
-0.079599933,0.072579317,0,1,2,Kirschner
-0.051390763,0.058069602,0,1,2,Kirschner
-0.071371029,0.092371039,0,1,2,Kirschner
0.118071532,0.092773511,0,1,2,Kirschner
0.127412266,-0.08174918,0,0,0,Kirschner
-0.066934972,-0.054934446,0,1,2,Kirschner
0.037244664,0.076110817,0,1,2,Kirschner
0.10390313,0.05430466,0,0,0,Kirschner
-0.008124695,0.122703599,0,1,2,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
0.076965456,0.071706457,0,1,2,Kirschner
-0.149029125,-0.027100788,0,1,2,Kirschner
-0.057868411,0.047921587,0,1,2,Kirschner
-0.08712962,-0.084873699,0,1,2,Kirschner
-0.017439305,0.109965491,0,1,2,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
-0.129439249,-0.031387315,0,1,2,Kirschner
-0.045182365,-0.090037531,0,0,0,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
-0.041260433,0.060876106,0,1,2,Kirschner
0.002127981,0.027472689,0,1,2,Kirschner
-0.118601253,-0.084286122,0,1,2,Kirschner
-0.086134585,0.067929824,0,1,2,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
-0.003767221,0.062388445,0,1,2,Kirschner
-0.139340713,-0.040225641,0,1,2,Kirschner
-0.047670523,0.006626544,0,1,2,Kirschner
-0.076624856,-0.014494216,0,1,2,Kirschner
-0.031652667,0.052541758,0,1,2,Kirschner
0.057248021,0.009922899,0,0,0,Kirschner
-0.044655574,-0.1839904,0,0,0,Kirschner
-0.077349984,0.099623674,0,1,2,Kirschner
0.078325056,-0.09078851,0,0,0,Kirschner
-0.145371767,-0.089766575,0,1,2,Kirschner
0.02681089,-0.162234986,0,0,0,Kirschner
-0.062694792,0.082591832,0,1,2,Kirschner
0.013883217,-0.026379205,0,0,0,Kirschner
-0.091321686,0.027037634,0,1,2,Kirschner
-0.05812903,0.024344314,0,1,2,Kirschner
0.062674398,-0.204618471,0,0,0,Kirschner
-0.144498304,0.007902445,0,1,2,Kirschner
0.014317396,0.006675682,0,1,2,Kirschner
0.002570542,-0.036192298,0,0,0,Kirschner
-0.128806149,-0.034178645,0,1,2,Kirschner
0.107295064,-0.136661509,1,0,2,Kirschner
0.123572048,-0.200452404,1,0,2,Kirschner
0.090236969,-0.189321328,1,0,2,Kirschner
-0.008554823,-0.097329022,1,0,2,Kirschner
-0.080252543,-0.11254704,1,0,2,Kirschner
0.044719974,-0.113321259,1,0,2,Kirschner
0.022299319,0.066164588,1,1,1,Kirschner
0.037164247,0.052225974,1,1,1,Kirschner
0.080831372,-0.23644486,1,0,2,Kirschner
-0.055244741,0.074132424,1,1,1,Kirschner
-0.013059529,0.110149014,1,1,1,Kirschner
0.137591047,0.036135921,1,0,2,Kirschner
0.008792703,0.134033145,1,1,1,Kirschner
0.050858725,-0.012189507,1,0,2,Kirschner
0.055680738,-0.098874416,1,0,2,Kirschner
-0.006321925,0.123536392,1,1,1,Kirschner
0.087112596,-0.151092008,1,0,2,Kirschner
-0.036033996,0.0933426,1,1,1,Kirschner
0.080882305,0.003838591,1,0,2,Kirschner
-0.121219986,-0.147702721,1,0,2,Kirschner
0.042870253,-0.152390809,1,0,2,Kirschner
-0.077349984,0.099623674,1,1,1,Kirschner
0.019198734,-0.213467385,1,0,2,Kirschner
0.16853146,-0.061431899,1,0,2,Kirschner
0.121913956,-0.161241057,1,0,2,Kirschner
-0.018704288,-0.048717906,1,0,2,Kirschner
-0.008655658,-0.189989719,1,0,2,Kirschner
0.003462832,-0.175084104,1,0,2,Kirschner
-0.095680918,-0.171651836,1,0,2,Kirschner
0.12755228,-0.055775806,1,0,2,Kirschner
0.042386281,-0.177356664,1,0,2,Kirschner
-0.042460936,-0.106683505,1,0,2,Kirschner
0.04633071,-0.208257444,1,0,2,Kirschner
-0.120287115,0.034140457,1,1,1,Kirschner
