Gene	Freq_group	Log2FC
Marcks	2	-1.03024911675
1110057K04Rik	2	-1.4143437118437117
Ywhaz	2	-1.4640445665445663
Cybasc3	1	-2.61
Clcn3	4	0.12876973533092195
Dpy19l4	1	-3.6
Dhx36	2	-0.6134798534798536
Gm15500	1	-2.12
Sec63	3	1.3938502238502235
Scyl1	3	-5.856050061050062
Klhl7	1	-2.02
Eif5	2	-0.5568284493284494
Mta3	2	-1.925637973137973
Srrd	1	-3.31
Rpp30	1	-2.27
Zfp647	1	-4.32
Orc3l	1	-2.21
Ssb	1	-2.5
Utrn	1	-2.65
Arid2	2	-1.5289499389499384
Flywch2	1	-5.3
Ggps1	1	-4.03
Nfatc2ip	1	-2.63
Zfp617	2	-2.915
Nudt12	1	-3.53
Kazald1	1	-3.09
Tuba1a	1	-2.02
Ppp4r1l	1	-3.26
Arhgap15	5	-1.2526634808000001
Mbtd1	2	-2.4369444444444444
Rab1	1	-2.62
Ankrd32	1	-3.08
Caml	1	-2.37
Strbp	1	-2.15
Ppp2r2a	2	0.14860500610500638
Git2	3	-1.7557315849095236
Cdkn1b	2	-2.31619
Afp	1	-5.46
Actr6	1	-2.13
Ppp3ca	2	-2.48
March7	1	-2.96
Iah1	2	-1.81
C730026J16	1	-2.91
Apc	2	-1.21848834375
Zeb1	2	-1.43008345965
Xpo1	1	-2.02
Rfc4	2	-3.66
Birc6	2	16.755000000000003
Ugp2	2	0.6581501831501833
Peli2	1	-2.42
Dcaf10	1	-2.34
Ttc28	2	-2.1060386756000002
Mudeng	1	-2.23
Pola1	2	-1.4269988111
Gbp6	2	-0.8108503567
2010106G01Rik	2	-0.3588797313797315
Foxp1	3	-2.042570909417216
Tmem41b	1	-2.83
Pdcd4	1	-2.3
Sdccag1	1	-2.23
Fbrs	2	-1.7348134304
Slc25a32	1	-3.53
Hmgn3	2	-1.8208434405
Ablim1	3	-1.6517450239
Pard3b	1	-2.4
Zmynd8	2	-1.31638655325
Pop4	1	-2.53
Tubgcp4	1	-3.35
Snx6	1	-4.14
Atp7a	1	-2.45
Snhg6	1	-2.75
Smchd1	1	-2.04
Dmtf1	2	-2.0415781440781444
Dram2	2	-1.2377008919
Calcrl	2	-0.9220532544
Frmd4b	1	-2.16
Trim68	1	-2.01
3110052M02Rik	1	-2.52
Tmem167	1	-2.78
4833408D11Rik	1	-2.5
Zfp110	1	-2.13
Ttpa	1	-3.58
Pbrm1	1	-2.94
Hist1h2bc	2	-1.805
Ctbp2	1	-3.25
Sfxn3	1	-2.1
Polr3k	2	-1.775
Orc6l	2	-1.9854578754578758
4930539E08Rik	1	-3.26
Dctn6	2	-2.3174633699633698
Mbd5	1	-3.78
Ptcd3	1	-2.06
Ilf2	1	-2.25
Zfand1	1	-2.07
Ddx11	1	-2.2
Rap1a	1	-2.03
Fbxw11	1	-4.41
Mcart6	1	-3.39
Ift27	1	-2.7
Zdhhc14	1	-2.42
Srp9	2	-1.55
Cnn3	3	-1.0161396011396011
Cdc6	4	-1.246563889875
Cycs	1	-3.04
Zdhhc17	1	-2.09
Psmc6	1	-2.19
Tmem184c	1	-2.33
Ndufb6	2	-1.69
Mmp2	4	-2.1335046948153846
Ap1g2	1	-2.576135531135532
Prkcabp	1	-2.2023992673992674
4930563C04Rik	1	-2.206807081807082
Ppan	1	-2.0154151404151404
Man2b1	2	-1.5465659340659341
Lap3	1	-2.4072466422466423
Pex6	1	-1.787252747252747
BC025076	1	-2.329065934065934
1110039I09Rik	1	-2.9504517704517705
D330037A14Rik	1	-1.55491452991453
Pmscl2	1	-1.8672893772893775
Dpys	1	-1.7147557997557998
B230354K17Rik	1	-2.667423687423687
Apg16l	1	-1.4966849816849814
Frap1	1	-1.222704517704518
Preb	1	-1.4697741147741141
2810410A03Rik	1	-2.7069780219780215
Prkcl1	1	-2.4065506715506717
1810008O21Rik	1	-1.4192002442002443
2310047I15Rik	1	-2.0571733821733815
Nisch	1	-1.2612148962148968
E130307C13	1	-2.8597435897435894
Icsbp1	1	-1.412124542124542
AU043488	1	-1.5530586080586082
C330027I04Rik	2	-2.0635714285714286
Asph	2	-1.1925523060507328
BC026588	1	-1.567326007326007
Pctk1	1	-1.624511599511599
Sirt7	1	-1.1822222222222223
Myo1g	1	-2.2718803418803413
Ivd	2	-1.419123931623931
1500026D16Rik	1	-1.6224236874236873
2210010N04Rik	1	-3.023296703296704
na	1	-1.738998778998779
2310066E14Rik	1	-1.4611904761904762
Dmap1	1	-1.938626373626374
Pps	1	-1.4681501831501838
Vps16	1	-1.280470085470085
Atp13a	1	-1.6769413919413918
Il18r1	2	-1.0721453902501223
1110012M11Rik	1	-1.0222649572649571
Tle2	2	-1.0943787278699026
Zipro1	1	-1.4357875457875453
1110005L13Rik	1	-3.103101343101343
BC019977	1	-1.553754578754579
Anxa6	4	-1.8003517394496644
Gpsm1	1	-2.1347741147741153
2900006B13Rik	1	-1.2593589743589744
Ppp2r3a	2	-1.8653418803418802
Ptov1	1	-1.9597374847374849
Ptprcap	1	-1.1471916971916976
Mrps7	2	-1.3122557997558
Tarbp2	1	-1.5521306471306475
Mcm7	4	-1.995300690606746
9130415E20Rik	1	-2.1529853479853474
Vars2	1	-1.6386630036630039
Mvp	1	-2.2678205128205127
Pura	1	-2.937576312576313
4921528G01Rik	1	-1.0999816849816848
Rad54l	3	-0.89478895918954
Cd37	5	-1.3235257751589744
Mrpl43	2	-1.3987301587301588
Eif3s4	1	-2.3867155067155066
Atp6v0b	1	-1.055555555555555
Grb10	1	-2.423253968253969
2810407E01Rik	1	-2.1493894993894993
Kif22	2	-1.5660796033563493
Car9	1	-1.5331074481074476
Cops7b	1	-2.578919413919413
Dgkz	1	-1.6547863247863244
Rapgef1	2	-0.9659798541416975
1110033J19Rik	1	-1.4504029304029304
1700006C06Rik	1	-1.913919413919414
Timm44	1	-1.637271062271062
1110007L15Rik	1	-1.995347985347985
Pde6d	1	-1.5509706959706961
Cox5b	1	-2.1274664224664224
2510002D24Rik	1	-1.7042002442002442
Satb1	6	-1.249547183107652
D8Ertd812e	1	-1.0207570207570202
Sh2bpsm1	1	-1.394261294261294
5930416I19Rik	1	-1.7985042735042742
2310004N24Rik	1	-1.1255006105006107
Lgals1	6	-2.034881369822507
Neu1	1	-1.729255189255189
BC023037	1	-2.398315018315018
Trim12	1	-1.37013431013431
2510004L20Rik	1	-1.8507020757020758
2610528K11Rik	1	-1.6489865689865693
Anapc5	1	-2.5505006105006105
9530028C05	1	-1.3695543345543335
Bat5	1	-1.4042368742368743
Zfp106	1	-1.8001282051282053
2900092E17Rik	2	-1.3317429792429798
