Gene	Freq_group	Log2FC
Lrrc18	1	-0.5275471374
Pls3	3	1.2058717152666667
Zc3hav1l	1	-0.5260244803
Glipr1l1	2	1.8075960492
Flad1	1	0.5219431932
Gdap2	1	0.5188381127
Nt5dc2	1	-0.5178034701
Bphl	1	0.5157721665
Mad1l1	2	-0.51036906095
Zfp57	1	0.5146707726
Klhl12	1	0.5133066445
Map6d1	1	-0.5114867206
A630072M18Rik	2	0.7963756599
Rin3	3	-0.6281503597666667
Dnajb9	2	0.56336192285
Prrt2	1	-0.5000606182
Casp4	2	0.5408351442916635
Slc40a1	2	-0.6008362347
Zan	2	-1.15601770405
Mir92b	1	-0.4934736373
Ccdc62	2	0.59888773385
Kctd14	2	-0.9282876035
Fads2	2	0.84117959755
Col9a2	1	-0.4878657185
Ikzf2	2	-0.50839189935
Trpc6	4	0.54608138915
Sorl1	2	-1.24204650035
Tsc22d1	5	0.8221393757
Nrgn	3	0.8868502185000001
Tet1	1	-0.4721425211
Nme2	1	0.4707895
Kcnrg	1	-0.4631640103
Gramd3	1	-0.4604887186
Irf2bp2	3	-0.5486020905000001
Zfp462	2	0.7995806229
Sipa1	1	-0.459372738
Pfkp	1	0.4592734956
Rhobtb3	2	-0.9848792906
Runx2	1	-0.4562509728
Prkcd	1	-0.4560676328
Cobl	1	-0.4558524044
Rbmx	1	-0.447806974
Pacrgl	1	-0.4463148262
Zfp704	1	-0.4452896974
Pde4d	2	-0.43083303159999997
Gm1966	2	-0.33198928505
Mcts2	1	-0.4177453372
Sox12	1	-0.3976283693
Elovl5	3	0.02232413343333332
Vopp1	3	1.8334605370666666
Smc6	1	4.2122760076
Prkrip1	1	-2.8901396383
Acvr2b	2	-1.46794330575
Smek2	1	1.8362943655
Borcs7	2	-1.804067839637502
Capn7	1	2.103116336
App	1	3.2434386613
Rab10	1	3.1918304381
Cacul1	1	1.7438005863
Itfg1	1	1.6989108136
Usp14	1	3.80923495
Inpp5k	1	-1.6740715961
Fam193b	1	-2.7367956265
Fam104a	1	-1.5029673814
Sult1a1	6	2.1569035783333335
