Genes,Bersenev, Chambers, Flach, Grover, Kirshner, Kowalczyk, Lazare, Mann, Maryanovich, Norddahl, Sun, Wahlestedt,Avg,Consistency,Order
Tmem176a,NA,NA,NA,NA,NA,0.530940604,NA,0.663934755,0.56212687,0.646259539,0.722373664,NA,0.625127087,5,115
Procr,NA,NA,NA,NA,NA,NA,NA,0.470474134,0.593281961,0.771538881,0.660624792,0.666536947,0.632491343,5,119
Cldn12,NA,NA,NA,NA,NA,NA,NA,NA,0.489375356,0.612140242,0.754417404,0.720439646,0.644093162,4,215
Mmrn1,NA,NA,NA,NA,NA,0.434037373,NA,NA,0.575332674,0.891205161,0.727998916,NA,0.657143531,4,189
Gstm7,NA,1.002385498,NA,NA,NA,-0.251359894,NA,NA,1.030148923,NA,0.931635042,NA,0.678202392,4,166
Gstm1,NA,0.726687114,NA,0.839688824,NA,NA,NA,NA,0.530122754,NA,0.684383755,NA,0.695220612,4,169
Ppp1r16b,0.824753297,NA,NA,NA,NA,NA,NA,0.301355435,0.894339522,NA,0.784715915,NA,0.701291042,4,144
Klrb1b,NA,-0.509566149,NA,NA,NA,0.682886509,NA,NA,NA,NA,1.95004835,NA,0.70778957,3,221
Nt5c3,NA,NA,NA,NA,NA,NA,NA,NA,0.600671158,0.7657854,0.769986436,0.719818675,0.714065417,4,207
Tnfsf10,0.654600365,NA,NA,NA,NA,NA,NA,NA,0.567190951,NA,0.927431799,0.882228191,0.757862826,4,153
Plscr4,NA,NA,0.791520881,NA,NA,NA,NA,NA,0.597481432,0.996950815,0.669994092,NA,0.763986805,4,179
Ndn,NA,0.797895563,NA,NA,NA,NA,NA,NA,0.771888284,NA,0.874714843,0.700610494,0.786277296,4,162
Npdc1,0.655367781,NA,NA,NA,NA,0.372838599,NA,NA,1.409162462,0.717583707,0.782172331,NA,0.787424976,5,95
Mef2c,NA,1.442368126,0.609960278,NA,NA,NA,NA,NA,0.4193223,0.963394459,0.587802137,NA,0.80456946,5,103
Pla2g4a,0.632782084,1.537270403,NA,NA,NA,NA,NA,NA,0.642225874,NA,0.447556747,NA,0.814958777,4,155
Exoc6b,NA,NA,NA,0.392402509,NA,NA,NA,0.621685462,NA,1.23876377,1.056127484,NA,0.827244806,4,184
Tgm2,NA,NA,NA,0.859769855,NA,0.627232712,NA,0.750888721,0.941823014,1.04492311,0.781257343,NA,0.834315793,6,57
Fyb,0.909174523,NA,1.181019886,NA,NA,0.303729695,NA,NA,NA,0.951851282,NA,NA,0.836443847,4,139
Prnp,NA,NA,NA,NA,NA,NA,NA,NA,0.685558632,1.000955824,0.871529298,0.815446268,0.843372505,4,219
Ndrg1,0.646503444,1.360591786,NA,0.511399564,NA,NA,NA,NA,NA,0.970115105,NA,0.733983659,0.844518712,5,96
Lpar6,NA,NA,NA,NA,NA,0.327618581,NA,0.275761515,NA,1.429686347,1.130516702,1.084896205,0.84969587,5,116
Abcb1b,0.571001259,NA,NA,NA,NA,NA,NA,NA,0.817755723,1.252703384,0.526703336,1.129468177,0.859526376,5,98
Tox,NA,NA,NA,NA,NA,0.500274118,NA,NA,0.786046978,1.28986691,0.883822199,NA,0.865002551,4,187
Evc,0.536347357,NA,NA,NA,NA,NA,NA,NA,1.168595384,NA,0.803343105,0.977075608,0.871340364,4,158
Kcnip3,1.154081726,NA,NA,NA,NA,0.278802912,NA,NA,1.309043313,NA,0.752489675,NA,0.873604407,4,132
