Genes,Bersenev, Chambers, Flach, Grover, Kirshner, Kowalczyk, Lazare, Mann, Maryanovich, Norddahl, Sun, Wahlestedt,Avg,Consistency,Order
Clu,1.9332862,4.788507576,NA,0.941975422,NA,1.362489012,NA,NA,NA,3.129149843,NA,3.108199032,2.543934514,6,36
Ramp2,2.012870419,NA,NA,NA,NA,NA,2.584250633,NA,1.886088402,3.321341622,3.368937875,2.359533701,2.588837108,6,34
Clca3a1,2.701620865,NA,1.726142941,NA,0.720137035,NA,1.534362181,NA,5.157997043,3.317146701,2.567177537,3.057975213,2.59781994,8,9
Tmem215,1.004679256,NA,NA,NA,NA,NA,1.297391407,NA,4.933989283,2.398953686,2.731465676,3.522504204,2.648163919,6,47
Muc1,1.304575593,NA,NA,NA,NA,NA,NA,NA,4.874942177,3.19123172,2.37854933,1.71879361,2.693618486,5,71
Tc2n,NA,NA,NA,NA,NA,NA,1.375399538,NA,3.508899441,2.589634952,3.042865145,2.95498581,2.694356977,5,117
Fap,1.388931372,2.695411615,NA,NA,NA,NA,NA,NA,3.300568434,3.989568416,2.012086137,2.815496319,2.700343716,6,42
Wwtr1,1.396329256,6.721126702,NA,NA,NA,NA,0.96457547,NA,3.910667036,2.185968748,2.000249965,2.22989473,2.772687415,7,30
Matn4,1.015899849,NA,NA,NA,NA,NA,1.049201671,0.44364028,9.21488217,NA,2.755122223,2.246731796,2.787579665,6,46
Plscr2,3.509136504,4.386225148,NA,0.972685321,NA,0.770392991,1.468573549,0.508464911,5.040178553,4.17898566,3.01699787,4.12444739,2.79760879,10,4
Lrrn1,NA,NA,NA,NA,NA,NA,NA,NA,6.063202639,1.573213879,2.124974191,1.810317097,2.892926951,4,212
Tdrd9,1.868244822,NA,1.243826721,NA,NA,NA,0.919707332,NA,4.90831161,4.391028908,3.965166705,3.559316578,2.979371811,7,23
Sbspon,2.253601179,NA,0.97752027,NA,NA,NA,2.466875615,0.606676161,4.673931374,4.966239576,3.880986934,5.998885375,3.22808956,8,11
Rbpjl,0.797807321,NA,NA,NA,NA,NA,1.39160924,NA,8.964569462,NA,2.651250193,NA,3.451309054,4,145
Zg16,2.545090365,2.768805312,1.272623946,NA,NA,NA,2.599980608,NA,10.45824976,3.349646079,3.540909685,2.603982975,3.642411091,8,10
Gipc2,1.027710266,NA,NA,NA,NA,NA,NA,NA,9.734428239,1.379162577,4.70716888,2.042796988,3.77825339,5,80
Gabra4,NA,NA,NA,NA,NA,NA,NA,NA,5.279824715,3.125022735,4.84223671,2.888459126,4.033885821,4,205
Cntn1,NA,2.345401339,NA,NA,NA,NA,NA,NA,9.558266967,2.770110037,3.083557381,2.467810465,4.045029238,5,109
Osmr,1.972656501,NA,NA,NA,NA,NA,1.668346611,NA,8.917008932,3.694586857,3.547208322,4.558600944,4.059734694,6,35
Mab21l2,1.163845253,NA,NA,NA,NA,NA,2.237604955,NA,10.41714027,2.749286144,5.788954271,NA,4.471366178,5,74
Ntf3,NA,NA,NA,NA,NA,NA,NA,NA,9.015957143,3.043263624,3.895196296,2.741950037,4.674091775,4,216
