Genes,Avg,SEM,Consistency,
Satb1,-1.21530797,0.206568133,6,do
Plscr1,0.985733216,0.107024499,6,up
Gadd45g,1.549263089,0.404665685,6,up
Tgm2,0.834315793,0.060337891,6,up
Prtn3,0.979895923,0.101144048,6,up
Rorc,1.183598355,0.257969567,6,up
Bmpr1a,2.034225584,0.327485373,5,up
Klrb1c,1.985399839,0.445899122,5,up
Aspa,2.038503911,0.217249161,5,up
Gem,1.329179254,0.256558801,5,up
Cysltr2,1.472429901,0.306469968,5,up
Sfrp1,1.523469074,0.116531485,5,up
Jam2,1.447320641,0.422873144,5,up
Rassf4,-1.31595982,0.159438238,5,do
Nrk,-1.689792802,0.310016425,5,do
Lpl,1.858772916,0.258202996,5,up
Il1rapl2,1.559711931,0.230341684,5,up
Muc1,2.693618486,0.63185379,5,up
Zswim5,2.418208947,0.920155792,5,up
B3galt1,1.789282588,0.31452035,5,up
Mab21l2,4.471366178,1.673069207,5,up
Casp12,1.109189017,0.062037361,5,up
Hnf4a,-1.352489289,0.094838432,5,do
Pcdhb16,1.410222369,0.165278854,5,up
Dsg2,1.738929957,0.168357039,5,up
Trim47,1.014046197,0.154213414,5,up
Gipc2,3.77825339,1.622834495,5,up
Rhoj,1.229004406,0.15059161,5,up
Tmem56,2.144985866,0.566432142,5,up
Stom,1.120803865,0.38725995,5,up
Cd34,-0.853120059,0.078556738,5,do
Abcb1a,1.260231152,0.195111628,5,up
Serpinb6a,0.891193659,0.07111168,5,up
Il15,-0.746392509,0.059376063,5,do
Tm6sf1,-1.026179481,0.147952403,5,do
Rnase6,-1.121635849,0.222572744,5,do
Stxbp4,1.017984414,0.146549986,5,up
Mmp2,-1.912352771,0.551380861,5,do
Arhgap29,0.984562241,0.106393245,5,up
Arhgap30,-0.929113497,0.15222354,5,do
Slamf1,0.928336835,0.074786706,5,up
Npdc1,0.787424976,0.1704089,5,up
Ndrg1,0.844518712,0.149080898,5,up
Abat,1.667425446,0.348084845,5,up
Abcb1b,0.859526376,0.145468114,5,up
Dennd5b,1.133646535,0.267837361,5,up
Tsc22d1,0.539409616,0.132292611,5,up
Anxa6,-1.565339826,0.600103367,5,do
Ghr,1.363352454,0.212613966,5,up
Mef2c,0.80456946,0.182385402,5,up
Cytip,1.095535668,0.200940502,5,up
Mcm7,-0.917171159,0.302880771,5,do
Perp,1.870117327,0.261519314,5,up
Thbd,1.267631995,0.171893364,5,up
Lamp2,1.149622764,0.369575738,5,up
Cntn1,4.045029238,1.384232484,5,up
Cyb561,2.035888027,0.365626569,5,up
Plac8,-1.364602231,0.379163996,5,do
Cyp26b1,1.11193032,0.285731118,5,up
Lst1,-0.937800686,0.140520047,5,do
Nrg4,1.26010648,0.269642613,5,up
Tmem176a,0.625127087,0.034820707,5,up
Lpar6,0.84969587,0.231574376,5,up
Tc2n,2.694356977,0.360796354,5,up
Vldlr,1.344364781,0.129850551,5,up
Procr,0.632491343,0.049533708,5,up
Runx1t1,1.252861571,0.273188554,5,up
Flt3,-1.138925473,0.31992778,4,do
Cavin2,1.695491654,0.329617425,4,up
Hpgds,1.401521289,0.168726922,4,up
Mmp14,1.52612474,0.143981071,4,up
Jun,0.912554418,0.203906555,4,up
Egr1,1.062983352,0.15251096,4,up
Id2,1.336915292,0.101215918,4,up
Bcl6,1.075617885,0.075051064,4,up
S100a6,1.239248176,0.132093601,4,up
Il12rb2,-1.462415744,0.276308886,4,do
Cyyr1,1.15955331,0.165775033,4,up
Kcnip3,0.873604407,0.230349764,4,up
Mgst1,-0.953878556,0.176360893,4,do
Zfp36,1.524964094,0.386684718,4,up
C4b,2.286843595,0.828704343,4,up
Csf2rb,-1.188339851,0.209681773,4,do
Lsr,1.123838984,0.119090314,4,up
Ect2,-0.784305578,0.054516715,4,do
Fyb,0.836443847,0.187333402,4,up
Myo1e,1.153467545,0.249634042,4,up
Zfp334,1.335894327,0.216176147,4,up
Serpinb8,0.989575574,0.195535836,4,up
Cxcl16,0.946591277,0.15550765,4,up
Ppp1r16b,0.701291042,0.135221683,4,up
Rbpjl,3.451309054,1.877932579,4,up
Nckap1,0.975163521,0.110608508,4,up
Clec1b,1.44430124,0.41028789,4,up
Slc6a15,1.366441751,0.711807515,4,up
Pclo,1.995904444,0.430100647,4,up
Lsp1,-0.550315366,0.067559951,4,do
Slc28a2,-0.618879944,0.114628417,4,do
Arhgef28,0.93732245,0.099922735,4,up
Tnfsf10,0.757862826,0.087196751,4,up
Cd9,1.04150012,0.396325393,4,up
Pla2g4a,0.814958777,0.244905312,4,up
Col4a2,-1.005655872,0.143998653,4,do
Dhx40,0.938130562,0.162582334,4,up
Evc,0.871340364,0.134283416,4,up
Trpc6,0.546081389,0.05167828,4,up
Slc14a1,0.958906276,0.364549818,4,up
Lgals1,-2.131445727,0.521564343,4,do
Ndn,0.786277296,0.035942116,4,up
,-0.3074568,0.53568716,4,do
Sell,-0.581257663,0.617517821,4,do
Mllt3,1.108070737,0.370260798,4,up
Gstm7,0.678202392,0.310547259,4,up
Anxa2,-0.76353506,0.114332303,4,do
Oxr1,1.094401422,0.178011057,4,up
Gstm1,0.695220612,0.064054628,4,up
Dnmt3b,-1.096105119,0.313517784,4,do
Btg2,0.453852273,1.080453006,4,up
Ctss,-0.679404947,0.743241637,4,do
Acsl4,0.948858899,0.314417397,4,up
Muc13,0.624002485,0.065546463,4,up
Socs2,-1.417104579,0.254727745,4,do
Mamdc2,-0.814391005,0.123264844,4,do
Gda,1.599737175,0.405070941,4,up
Mlec,-0.671134667,0.052647543,4,do
Plscr4,0.763986805,0.087363715,4,up
Sema7a,0.930530306,0.063644343,4,up
Plxdc2,-1.025943498,0.181802406,4,do
Rfc2,-0.641827647,0.048326805,4,do
Art4,0.918788814,0.21862433,4,up
Exoc6b,0.827244806,0.194310234,4,up
Mcm5,-0.639348625,0.135926055,4,do
Gpx3,0.947011964,0.351600351,4,up
Tox,0.865002551,0.163331135,4,up
Ly6e,0.51804655,0.050469627,4,up
Mmrn1,0.657143531,0.098435557,4,up
Cd63,0.458354386,0.032916853,4,up
Rdh10,1.205336342,0.083473396,4,up
Amotl2,1.664001094,0.391819863,4,up
Plcl1,1.470922033,0.318553524,4,up
Ptger4,1.211870022,0.092028735,4,up
Maf,1.911184387,0.427569154,4,up
Vmp1,1.037738868,0.126372855,4,up
Rab34,1.181023982,0.258961309,4,up
Tbc1d8,0.96195286,0.14435499,4,up
Ddr1,1.80726476,0.253457644,4,up
Ampd3,1.139253567,0.129407688,4,up
Syk,-0.760615033,0.06190796,4,do
Ocln,1.313844167,0.165791471,4,up
Rgn,2.505512485,0.298874088,4,up
Meis2,1.78685952,0.199898703,4,up
Gabra4,4.033885821,0.601652537,4,up
Antxr2,-0.818575023,0.077496854,4,do
Nt5c3,0.714065417,0.039468843,4,up
Chrna7,2.527824068,0.564236334,4,up
Ldhd,1.231493648,0.161422023,4,up
Pdgfd,1.013039042,0.104972058,4,up
Acpp,1.627089099,0.234043961,4,up
Lrrn1,2.892926951,1.062782749,4,up
Camk1d,-1.692860274,0.241684752,4,do
Asb4,1.587446263,0.052628927,4,up
Cldn12,0.644093162,0.059832274,4,up
Ntf3,4.674091775,1.467743313,4,up
Cd200r4,1.623093604,0.311037096,4,up
Kdr,1.617572633,0.182553466,4,up
Prnp,0.843372505,0.065390112,4,up
Phactr1,0.907630179,0.444781701,3,up
Klrb1b,0.70778957,0.710138717,3,up
