Genes,Bersenev,Chambers,Flach,Grover,Kirshner,Kowalczyk,Lazare,Mann,Maryanovich,Norddahl,Sun,Wahlestedt,Avg
Ehd3,0.000558013,0.038872508,0.099585984,0.831089996,1,0.745758268,NA,0.0001,NA,0.03931635,NA,0.002836233,3.06E-01
Hpgds,0.00540892,0.406694407,0.045215437,1,NA,NA,0.128577366,NA,2.99E-09,0.331658035,1.65E-08,0.102911319,2.24E-01
Pgr,0.018847577,0.981102743,0.186798959,NA,NA,NA,0.077706293,0.019641728,8.29E-07,0.208303218,1.76E-27,0.122150121,1.79E-01
Sfrp1,0.002338647,0.633290578,0.55477079,1,NA,NA,0.252316601,NA,0.043503011,0.256998396,5.34E-22,0.356935155,3.44E-01
Jam2,0.012171742,0.389269499,0.467582787,0.020428737,NA,0.314092636,NA,0.01682546,NA,0.243523649,NA,0.4246849,2.36E-01
Phf11d,0.012055453,NA,0.35888329,1,NA,NA,0.026054805,NA,2.41E-10,0.012268896,2.49E-26,0.013923052,1.78E-01
Nupr1,0.002765425,0.0415793,0.094041616,1.14E-11,5.46E-05,2.196010041,7.89E-06,7.17E-13,3.77E-27,0.000912845,1.80E-24,0.000253479,1.95E-01
Rassf4,0.00212007,NA,0.179559225,NA,NA,NA,0.09336746,NA,2.23E-06,0.380849707,0.000100039,0.195709449,1.22E-01
Ebi3,0.025041374,0.132889658,0.010833696,0.00547546,5.45E-05,-0.856353807,NA,NA,NA,0.029242887,NA,0.00404889,-8.11E-02
Ptprk,0.012262643,0.343326464,0.040834049,NA,1,NA,0.021187201,0.000196765,1.56E-07,0.495070289,1.24E-35,0.59627369,2.51E-01
Mmp14,0.000668897,0.282642835,0.196360551,NA,NA,NA,NA,NA,NA,0.45480613,NA,0.348653366,2.57E-01
Nrk,0.004659101,0.300950629,0.056054482,NA,1,NA,0.014965369,NA,0.009212653,0.514908484,3.68E-17,0.403440655,2.56E-01
Dhrs3,0.000715522,0.218742691,0.420790621,0.00861787,1,1.108024472,0.588267845,7.10E-05,0.000318319,0.008277004,2.29E-09,0.139497984,2.91E-01
Rorb,0.000567048,0.809115436,0.185166954,1,1,NA,0.04052793,0.050879366,1.24E-15,0.101001362,1.89E-50,0.391068206,3.25E-01
Lpl,0.011138267,0.470347456,0.124591036,NA,NA,NA,0.88067411,NA,1.94E-07,0.345817291,1.11E-14,0.045007806,2.35E-01
Wwtr1,0.006044647,0.067557775,0.204173734,NA,0.555733723,NA,0.003452713,NA,9.38E-42,0.049446281,3.59E-29,0.005142401,9.91E-02
Il1rapl2,0.004790288,0.57542211,0.315062076,NA,1,NA,0.508910478,NA,5.82E-08,0.170838728,1.02E-12,0.16683702,3.05E-01
Fap,0.021051369,0.019717319,0.080471817,NA,NA,NA,0.575413761,NA,1.07E-07,0.002539236,1.70E-24,0.018145788,8.97E-02
Jun,0.021051369,0.290930779,0.439366652,1,0.000554305,NA,0.994455917,2.63E-05,0.041066584,0.927510406,0.249350354,0.869305358,4.39E-01
Egr1,0.015448806,0.135273933,0.048039112,3.28E-07,1,NA,0.997572655,NA,0.073430723,0.713056892,0.030680714,0.88905174,3.90E-01
Enpp5,0.001594695,0.013955513,0.125411988,1.72E-06,NA,0.892084164,3.84E-06,0.033412758,1.37E-30,0.0025344,1.27E-22,0.09234014,1.06E-01
Muc1,0.002136277,0.135012002,0.420456144,0.212841507,0.306750864,NA,0.29603703,NA,4.25E-19,0.023494341,1.95E-19,0.007032286,1.40E-01
Id2,0.034205776,0.334086479,0.992613976,2.23E-05,NA,NA,NA,NA,NA,0.37177774,NA,0.318059294,3.42E-01
Vwf,0.00066465,0.395954752,0.056503819,1,1,0.284538469,0.016501552,1.30E-06,8.32E-25,0.032075409,9.41E-18,0.003420329,2.32E-01
Cd38,0.048347047,0.530086934,0.822391394,1,NA,0.265230002,0.000228199,0.019515433,1.26E-16,0.056675972,6.29E-22,0.040049091,2.53E-01
Neo1,0.02925126,0.018235588,0.52122367,0.001322126,NA,NA,0.001406163,NA,0.002404115,0.320097514,1.18E-30,0.243854252,1.26E-01
Bcl6,0.020034487,0.272044543,0.340314903,NA,NA,NA,0.359289753,NA,0.034822385,0.502503686,1.39E-07,0.555443058,2.61E-01
S100a6,0.001033149,0.028031713,0.893906166,0.062874392,NA,0.264935669,0.731830414,NA,1.95E-06,0.293901603,4.20E-13,0.212260163,2.49E-01
Il12rb2,0.007776162,0.913426332,0.040834049,NA,NA,NA,0.701304996,NA,5.07E-05,0.952425899,1.99E-15,0.746741871,4.20E-01
