Genes,Bersenev,Chambers,Flach,Grover,Kirshner,Kowalczyk,Lazare,Mann,Maryanovich,Norddahl,Sun,Wahlestedt,Avg
Rorc,0.055947139,0.817294769,0.540462325,NA,NA,0.364905211,0.150669132,0.001572176,1.14E-10,0.033451168,9.66E-19,0.409466044,2.37E-01
Nrg4,0.114208244,0.486529723,0.08547032,NA,NA,0.252141091,0.090372705,NA,0.001536139,0.009315616,2.58E-10,0.002499077,1.16E-01
Tox,0.270817166,0.464293084,0.114162903,1,NA,0.500274118,0.771174074,NA,0.001714503,0.039157199,1.16E-07,0.593904586,3.76E-01
Ly6e,0.153282536,NA,0.062512346,1,1,0.489786092,0.826078094,NA,0.006580511,0.267036497,0.027308941,0.695274226,4.53E-01
Tmem176a,0.280217306,0.33260747,0.826778311,1,NA,0.530940604,0.831457966,4.49E-07,0.000160344,0.137081149,0.000804429,0.54550187,4.08E-01
Mmrn1,0.05068592,NA,0.232400156,NA,NA,0.434037373,NA,NA,0.011647925,0.467160418,0.001738842,0.482169547,2.40E-01
Cd63,0.691319211,NA,0.396229809,1,NA,0.389365078,0.514092783,0.000267545,0.002348702,NA,0.025370285,NA,3.77E-01
Lpar6,0.10495801,NA,0.062780793,NA,NA,0.327618581,0.773492468,0.001496244,0.316287714,0.0025344,1.47E-10,0.012193386,1.78E-01
Tc2n,0.057486549,0.47301658,0.088015,0.566113479,NA,NA,0.000110136,NA,9.04E-25,0.216931787,9.46E-33,0.24125852,1.83E-01
Vldlr,0.111140041,0.339394879,0.069048877,NA,1,NA,1.69E-09,NA,0.000976616,0.095240273,2.11E-12,0.209675729,2.03E-01
Rdh10,0.327005113,0.575797,0.25078223,NA,NA,NA,0.00052285,NA,0.861105353,0.016537699,1.85E-14,0.021433836,2.57E-01
Amotl2,0.23539178,0.524674374,0.121329259,NA,0.555733723,NA,0.001807321,NA,2.48E-21,0.103570155,6.62E-19,0.003187517,1.72E-01
Plcl1,0.387816205,NA,0.06716763,NA,1,NA,0.009186753,NA,0.739249806,0.14945881,7.36E-15,0.40692102,3.45E-01
Ptger4,0.105524147,0.309287224,0.159055284,NA,1,NA,0.020494891,1,0.613732419,0.006381681,1.16E-10,0.045319001,3.26E-01
Maf,0.357174133,0.355917659,0.286353806,1,NA,NA,0.002038438,NA,3.00E-19,0.557039373,1.34E-17,0.614781157,3.53E-01
Vmp1,0.474933831,0.382434848,0.58865528,0.788917659,1,NA,0.388932155,0.000464106,0.179669188,0.445948841,3.93E-09,0.334371824,4.17E-01
Procr,0.487199205,0.160143063,0.86906405,1,NA,NA,0.627064722,0.002656148,0.009468526,0.015708198,7.39E-05,0.047125775,3.22E-01
Runx1t1,0.310507898,0.532602464,0.067542461,1,1,NA,0.215774919,0.033913395,0.001507926,0.202216232,2.33E-08,0.283505259,3.32E-01
Rab34,0.249720032,0.495054444,0.47646413,NA,NA,NA,0.988542218,NA,6.40E-05,0.066586824,0.01666756,0.068351358,2.95E-01
Tbc1d8,0.185279089,0.151279885,0.138194021,NA,1,NA,0.427650545,1,0.022765302,0.094558544,1.72E-06,0.054996177,3.07E-01
Ddr1,0.497117969,0.524202171,0.722611736,NA,NA,NA,0.995533545,NA,3.64E-05,0.412516924,2.03E-10,0.543814984,4.62E-01
Ampd3,0.065093234,0.160557038,0.0721578,1,NA,NA,0.109880314,NA,3.59E-05,0.008432701,7.48E-08,0.005500069,1.58E-01
Syk,0.435074973,0.296644227,0.469953493,NA,NA,NA,0.783856698,0.706554478,0.002880265,0.397015149,9.53E-05,0.308931802,3.78E-01
Ocln,0.101790432,0.097879437,0.77602998,1,NA,NA,0.87509373,NA,0.000169909,0.053275248,1.76E-13,0.246379591,3.50E-01
Rgn,0.361420622,0.305501729,0.939682211,NA,NA,NA,0.941331092,NA,5.55E-07,0.017827896,3.34E-09,0.016831944,3.23E-01
Meis2,0.233619759,0.088124732,0.867608112,NA,NA,NA,0.997572655,NA,0.006457733,0.087725014,0.001573196,0.136212996,3.02E-01
Gabra4,0.066366051,NA,0.557246189,NA,NA,NA,0.330985318,NA,1.00E-05,0.310550947,1.67E-47,0.240540273,2.15E-01
Antxr2,0.125655638,0.160184633,NA,NA,NA,NA,0.951461681,1,0.012015541,0.031444343,0.002222107,0.031293421,2.89E-01
Nt5c3,0.05068592,0.108363468,0.964197151,1,1,0.305438483,0.76315485,NA,1.93E-05,0.334959717,8.93E-05,0.522320412,4.59E-01
Chrna7,0.883289402,0.554092007,0.763989727,NA,NA,NA,0.997572655,NA,0.018735473,0.124639176,2.30E-09,0.427019052,4.71E-01
Ldhd,0.146133018,NA,0.119844644,NA,1,NA,0.205408171,NA,1.05E-05,0.003768555,7.07E-08,0.01444037,1.86E-01
Pdgfd,0.144255546,0.532960675,0.838619134,NA,NA,NA,0.559904941,NA,0.01246915,0.407540266,5.81E-08,0.346280617,3.55E-01
Acpp,0.063959057,0.521873873,0.21307973,NA,NA,NA,0.258387198,NA,1.60E-05,0.601845288,4.51E-13,0.607310158,2.83E-01
Lrrn1,0.219533415,0.079160453,0.523208138,NA,NA,NA,0.951461681,NA,8.45E-11,0.592391894,6.46E-12,0.63485102,3.75E-01
Camk1d,0.591940403,0.276360755,0.078314843,1,NA,NA,0.995533545,NA,2.09E-05,0.346517867,1.20E-06,0.164007411,3.84E-01
Asb4,0.05375711,0.082370492,0.33059973,NA,NA,NA,0.997572655,NA,0.000411625,0.126930596,9.16E-09,0.04769371,2.05E-01
Cldn12,0.433664699,NA,0.197843374,NA,NA,NA,0.822575248,1,0.035166494,0.058635901,1.92E-05,0.133192872,3.35E-01
Ntf3,0.33887479,0.994926242,0.321604079,NA,NA,NA,0.131930299,NA,1.36E-07,0.140154337,6.16E-15,0.266529942,2.74E-01
Cd200r4,0.201080199,NA,0.688994295,NA,NA,NA,0.997572655,NA,3.77E-12,0.010959963,1.07E-05,0.038133562,2.77E-01
Kdr,0.066113325,0.115939297,0.48232347,NA,NA,NA,0.864395931,NA,6.35E-12,0.0025344,6.62E-19,0.011760474,1.93E-01
Prnp,0.23659363,0.30781243,0.157331409,NA,NA,NA,0.313503966,NA,0.002921003,0.097347451,6.88E-05,0.078597798,1.49E-01
